,0,1,2,3,4,5,6,7,8,9,10,11,12
0,28,male,self-employed,United States,3,,,,,,,,
1,36,female,self employed,USA,4,,,,,,,,
2,31,male,full-time,usa,2,,,,,,,,
3,30,Male,Employed Full-Time,USA,3,,,,,,,,
4,50,Male,Employed full time,USA,1,same,guessing,right,when i reached the end,towards the end I realized its better to pay for the sneak peek,no,pay a little upfront to get better results,no
5,29,Female,Self-Employed,United States,5,,,,,,,,
6,32,non-binary,Self-Employed,United States of America,4,,,,,,,,
7,23,Female,Part-time,USA,2,"The first and second steps had the smallest numbers, so I didn't want to waste my $1 on clicking those.","The last steps had the bigger numbers and I wanted to know which step had 48, so I only clicked on the last steps.",I was most likely to click on the right wing of either last step.,I stop clicking when I saw 48.,I just clicked on the last steps and tried my best to guess where 48 might be.,No.,I don't think I learned anything. I just learned how to play the game.,"No, thank you. I enjoy playing this game. Thanks for making my day a little bit brighter."
8,35,female,employed,United States,3,,,,,,,,
9,20,Male,Part-time,USA,3,"first two nodes are low value, so not worth clicking as there are 6 nodes total (for the first two steps) for a $6 cost to open them. And just blindly picking one towards the greatest last node value would lose less money.","last node gave largest value, so clicked that",last node,when i got 48 in last node,"click last node --> find largest number --> if largest is 24, click on 2nd node",no,how to do math?,"interesting study, really enjoyed it as opposed to the mindless HITs that we normally do."
10,36,male,employed,USA,1,,,,,,,,
11,27,Male,Self-employed,United States,3,,,,,,,,
12,26,Male,Self-Employed,USA,2,,,,,,,,
13,38,Female,Self-employed/ part-time,United States,4,,,,,,,,
14,29,Male,Full-time Employed,USA,2,,,,,,,,
15,25,Man,Self employed,USA,3,,,,,,,,
16,30,male,Employed full time,USA,1,,,,,,,,
17,36,Male,Full-Time,USA,1,,,,,,,,
18,23,female,part time employed,USA,6,i clicked all,i decided to go for it and click all the nodes to see the best money making path,left to right,i clicked all to see all options,clicked all ,none,not sure,none
19,36,Female,Self-employed,United States,2,,,,,,,,
20,27,Female,Employed,United States,4,,,,,,,,
21,23,female,student,usa,4,the middles were useless for clicking.,I just guessed at first and then decided to click on the final buttons or all buttons one direction.,the ends,When I got to the highest possible amount in a corner.,no,NO,to click the final box,N/A
22,30,Male,Full Time,USA,1,,,,,,,,
23,31,FEMALE,EMPLOYED,USA,3,,,,,,,,
24,54,female,employed,USA,3,node selector,node selector,to the right,when I got to the end,I didn't use any strategy,no,nothing,no
25,44,male,part time,USA,4,,,,,,,,
26,25,Male,Full-time,America,2,,,,,,,,
27,36,Male,Full Time,USA,2,,,,,,,,
