key_press,rt,time_elapsed,trial_type,pid
32.0,3064,20753,text,0
32.0,4180,20233,text,1
32.0,14890,50384,text,2
32.0,28110,46631,text,3
32.0,20399,68041,text,3
32.0,9051,78100,text,3
32.0,2122,665863,text,3
32.0,1838,29562,text,4
32.0,15883,71019,text,5
32.0,23912,41378,text,6
32.0,18308,60691,text,6
32.0,15093,76788,text,6
32.0,1602,614426,text,6
32.0,14585,35222,text,7
32.0,6212,42436,text,7
32.0,6798,50237,text,7
32.0,2060,546311,text,7
32.0,2783,30967,text,8
32.0,1715,15932,text,9
32.0,42513,89553,text,10
32.0,42978,133534,text,10
32.0,18842,153381,text,10
32.0,5793,1021723,text,10
32.0,1787,19321,text,11
32.0,2468,13114,text,12
32.0,4332,38140,text,13
32.0,4216,75212,text,14
32.0,12145,52389,text,15
32.0,1690,16343,text,16
32.0,2305,25907,text,17
32.0,2986,27292,text,18
32.0,2917,18995,text,19
32.0,34983,57904,text,20
38.0,3512,62429,text,20
32.0,4295,67733,text,20
32.0,3623,747709,text,20
32.0,53235,81271,text,21
32.0,8380,90653,text,21
32.0,2254,93909,text,21
32.0,3848,614626,text,21
32.0,1641,14937,text,22
32.0,5814,21491,text,23
32.0,2808,25055,text,24
32.0,20582,43680,text,25
32.0,23544,68228,text,25
32.0,8237,77468,text,25
32.0,3140,823700,text,25
32.0,7125,27293,text,26
32.0,4205,27074,text,27
32.0,4435,37164,text,28
32.0,1658,29078,text,29
32.0,14508,35240,text,30
32.0,15062,51312,text,30
32.0,15215,67533,text,30
32.0,1241,797648,text,30
32.0,3848,30946,text,31
32.0,3509,33966,text,32
32.0,2004,30716,text,33
32.0,12996,58479,text,34
39.0,2187,61669,text,34
32.0,7473,70143,text,34
32.0,1731,535672,text,34
32.0,4771,26615,text,35
32.0,2949,18871,text,36
32.0,35082,57086,text,37
32.0,29269,87357,text,37
32.0,26133,114493,text,37
32.0,2187,849165,text,37
32.0,2933,29034,text,38
32.0,16716,31858,text,39
32.0,13791,46659,text,39
32.0,6743,54407,text,39
32.0,1738,476713,text,39
32.0,71350,90818,text,40
39.0,8822,100664,text,40
32.0,4160,105832,text,40
32.0,2366,639648,text,40
32.0,2600,18941,text,41
32.0,2545,28127,text,42
32.0,17749,35754,text,43
32.0,72230,108992,text,43
32.0,8268,118264,text,43
32.0,1698,751517,text,43
32.0,2454,29016,text,44
32.0,3249,21730,text,45
32.0,6098,42936,text,46
32.0,2830,22008,text,47
32.0,12019,29040,text,48
32.0,11279,41329,text,48
32.0,5914,48249,text,48
32.0,1378,508102,text,48
32.0,2064,12802,text,49
32.0,11510,37002,text,50
32.0,14308,52318,text,50
32.0,7956,61278,text,50
32.0,2490,703038,text,50
32.0,2108,17846,text,51
20.0,35847,65745,text,52
32.0,5735,72481,text,52
32.0,13958,87442,text,52
32.0,3025,675195,text,52
32.0,8869,25697,text,53
32.0,2616,28405,text,54
32.0,21288,39041,text,55
32.0,24087,64138,text,55
32.0,11509,76650,text,55
32.0,1318,588993,text,55
32.0,5530,27813,text,56
32.0,3562,23132,text,57
32.0,3908,19216,text,58
32.0,3171,22720,text,59
32.0,62675,89105,text,60
37.0,2705,92816,text,60
32.0,22830,116647,text,60
32.0,3361,663823,text,60
32.0,1388,13376,text,61
32.0,5214,24015,text,62
32.0,2354,16296,text,63
32.0,2365,27700,text,64
32.0,27493,75302,text,65
39.0,3834,80145,text,65
32.0,19968,101119,text,65
32.0,5505,713081,text,65
32.0,7970,30168,text,66
32.0,3534,40380,text,67
32.0,2178,35452,text,68
32.0,36266,64546,text,69
32.0,91166,156719,text,69
32.0,16120,173855,text,69
32.0,1645,991483,text,69
32.0,2448,23354,text,70
32.0,1765,15917,text,71
32.0,4330,22344,text,72
32.0,1930,15021,text,73
32.0,7691,27049,text,74
77.0,2104,19923,text,75
32.0,631,21562,text,75
32.0,1482,24050,text,75
32.0,1128,448634,text,75
32.0,52870,79992,text,76
32.0,32285,113288,text,76
32.0,15616,129926,text,76
32.0,4560,967362,text,76
32.0,28419,49367,text,77
32.0,23013,73393,text,77
32.0,13275,87675,text,77
32.0,1169,669584,text,77
32.0,1878,22351,text,78
32.0,27244,53811,text,79
32.0,23378,78191,text,79
32.0,12760,91954,text,79
32.0,3665,688593,text,79
32.0,3796,28393,text,80
32.0,2769,27485,text,81
32.0,12559,44566,text,82
32.0,22438,40199,text,83
32.0,16726,57927,text,83
32.0,14967,73899,text,83
32.0,1386,719991,text,83
32.0,13228,30433,text,84
32.0,11573,43008,text,84
32.0,10514,54525,text,84
32.0,1743,641573,text,84
32.0,3039,27777,text,85
32.0,103247,126358,text,86
32.0,26051,153416,text,86
32.0,28418,182856,text,86
32.0,2561,1716811,text,86
32.0,4351,54979,text,87
32.0,3746,33198,text,88
32.0,8403,23766,text,89
32.0,1392,13994,text,90
32.0,3508,45366,text,91
32.0,5070,32026,text,92
32.0,2486,44055,text,93
32.0,4792,24384,text,94
32.0,21621,32840,text,95
32.0,22574,56424,text,95
32.0,16188,73617,text,95
32.0,1592,645907,text,95
32.0,3356,16809,text,96
32.0,18880,36497,text,97
32.0,21628,59140,text,97
32.0,11243,71387,text,97
32.0,1887,1580442,text,97
32.0,3655,21902,text,98
32.0,2813,45146,text,99
32.0,2153,31272,text,100
32.0,12093,22650,text,101
32.0,10140,33799,text,101
32.0,13994,48799,text,101
32.0,1465,499555,text,101
32.0,14584,31821,text,102
39.0,2991,35821,text,102
32.0,14395,51217,text,102
32.0,3280,658578,text,102
32.0,2588,15679,text,103
32.0,3908,41382,text,104
32.0,18879,32955,text,105
32.0,12964,46923,text,105
32.0,7063,54987,text,105
32.0,1999,596123,text,105
32.0,4665,40422,text,106
32.0,9222,37577,text,107
32.0,5610,56062,text,108
32.0,2010,18906,text,109
32.0,15771,238129,text,110
32.0,2455,17886,text,111
32.0,9524,31546,text,112
32.0,2318,33920,text,113
32.0,2336,21207,text,114
32.0,2580,13879,text,115
32.0,8930,38708,text,116
32.0,4540,18690,text,117
32.0,21923,44609,text,118
32.0,16676,62318,text,118
32.0,8686,72060,text,118
32.0,1324,652635,text,118
32.0,25223,52349,text,119
32.0,22416,75769,text,119
32.0,10579,87353,text,119
32.0,3393,634998,text,119
32.0,1518,19430,text,120
32.0,21547,46931,text,121
39.0,5457,53398,text,121
37.0,7150,61552,text,121
32.0,2198,688303,text,121
32.0,4894,19636,text,122
32.0,32761,44131,text,123
32.0,15089,60232,text,123
32.0,10002,71240,text,123
32.0,1427,608336,text,123
32.0,18109,37907,text,124
32.0,28647,67563,text,124
32.0,8443,77034,text,124
32.0,1758,706937,text,124
32.0,1548,14187,text,125
32.0,2960,41407,text,126
32.0,42008,62684,text,127
32.0,32520,96230,text,127
32.0,20636,117876,text,127
32.0,3360,735286,text,127
32.0,14760,32149,text,128
32.0,33112,66268,text,128
32.0,2241,69510,text,128
32.0,2517,579749,text,128
32.0,2177,18748,text,129
32.0,1467,19217,text,130
32.0,12900,24300,text,131
32.0,10524,35830,text,131
32.0,7013,43855,text,131
32.0,1271,509694,text,131
32.0,1405,26706,text,132
32.0,1644,31622,text,133
32.0,2655,24127,text,134
32.0,1230,16009,text,135
32.0,1733,18639,text,136
32.0,4776,19002,text,137
32.0,2237,23549,text,138
32.0,6304,19231,text,139
32.0,2420,21474,text,140
32.0,3246,39058,text,141
32.0,1570,34591,text,142
32.0,31360,60514,text,143
32.0,19240,80770,text,143
32.0,19644,101428,text,143
32.0,2564,806040,text,143
32.0,1570,15745,text,144
32.0,9196,47741,text,145
32.0,4541,23929,text,146
32.0,4027,16268,text,147
32.0,52643,81359,text,148
32.0,61083,143447,text,148
32.0,29131,173580,text,148
32.0,2454,1071336,text,148
13.0,38058,75057,text,149
32.0,20192,41792,text,150
32.0,14717,57533,text,150
32.0,11211,69753,text,150
32.0,2097,577301,text,150
32.0,5611,27478,text,151
32.0,2184,22987,text,152
32.0,40098,70147,text,153
32.0,43542,114697,text,153
32.0,21207,136913,text,153
32.0,3657,930334,text,153
32.0,6099,31696,text,154
32.0,32835,61383,text,155
39.0,1333,63725,text,155
32.0,28179,92909,text,155
32.0,3494,608121,text,155
32.0,4655,32508,text,156
32.0,3234,12195,text,157
32.0,2381,14361,text,158
32.0,28302,55015,text,159
32.0,12001,68022,text,159
32.0,17310,86335,text,159
32.0,1365,767934,text,159
32.0,22258,55757,text,160
32.0,26206,82986,text,160
32.0,24457,108507,text,160
32.0,2887,733515,text,160
32.0,8480,24479,text,161
32.0,11521,37007,text,161
32.0,6339,44349,text,161
32.0,1717,718237,text,161
32.0,3112,26238,text,162
32.0,2268,23936,text,163
32.0,1576,15753,text,164
32.0,5953,35421,text,165
32.0,1784,20476,text,166
32.0,1568,13063,text,167
32.0,2581,17748,text,168
32.0,77402,111390,text,169
32.0,17144,129548,text,169
32.0,4854,135408,text,169
32.0,1801,679672,text,169
32.0,2709,35451,text,170
32.0,5332,21310,text,171
32.0,41244,81502,text,172
32.0,103115,185626,text,172
32.0,35786,222417,text,172
32.0,2644,1042338,text,172
32.0,3596,26582,text,173
32.0,19422,38629,text,174
32.0,10842,50478,text,174
32.0,12979,64461,text,174
32.0,2592,492360,text,174
32.0,1910,20606,text,175
32.0,1651,18739,text,176
32.0,6750,80087,text,177
32.0,1910,20458,text,178
32.0,5612,22756,text,179
32.0,3336,17525,text,180
32.0,1806,19509,text,181
32.0,5088,24168,text,182
32.0,9705,33574,text,183
32.0,2474,27642,text,184
32.0,12926,32607,text,185
32.0,2732,23452,text,186
32.0,2936,50957,text,187
32.0,3708,22463,text,188
32.0,3858,39832,text,189
32.0,4829,29216,text,190
32.0,2274,15211,text,191
32.0,2660,31668,text,192
32.0,29260,50122,text,193
32.0,12349,63482,text,193
32.0,7508,71992,text,193
32.0,1216,667318,text,193
32.0,3979,24950,text,194
32.0,3516,21559,text,195
32.0,2216,11216,text,196
32.0,3038,28952,text,197
32.0,2553,32056,text,198
32.0,17790,54810,text,199
32.0,25706,81520,text,199
32.0,23420,105954,text,199
32.0,5618,747506,text,199
32.0,3174,24106,text,200
32.0,1858,14719,text,201
32.0,4278,23250,text,202
32.0,3624,20715,text,203
32.0,2284,27117,text,204
32.0,3223,30754,text,205
32.0,5154,44251,text,206
32.0,13839,33773,text,207
32.0,22196,56985,text,207
32.0,11838,69827,text,207
32.0,2293,541724,text,207
32.0,2349,15781,text,208
32.0,12405,41510,text,209
39.0,1443,43958,text,209
32.0,7390,52352,text,209
32.0,1401,579381,text,209
32.0,37559,53478,text,210
32.0,20337,74825,text,210
32.0,13272,89103,text,210
32.0,1602,543736,text,210
32.0,1332,18714,text,211
