pid,assignment_id,worker_id
0,3AMW0RGHOD2G3VP2TXZFZUZ55ESPNU,A11C01B5PXL1QW
1,3IOEN3P9S7J5FI089E28WNVL78X16S,A12SMSQ6D5227J
2,3WYP994K17R25OBBL39HAA6VEUEY6X,A13V95MSIU0JN3
3,33F859I566DMP52H7UM1ZQXK2Y4BHM,A15A09BRS1Q8W0
4,339ANSOTR52NE3HVJPHFY5HPP5SIK6,A1768BFPFQ8AP1
5,3K4J6M3CXET36Z2EHA4NJF1D5G6AGR,A1CLCA00V8025R
6,3LEIZ60CDJZPSXNEFWEC8R6ZAPM9Z6,A1DK1B0L0V9KHJ
7,3CN4LGXD5XOOQ17X2FG2DCMHI394YJ,A1GWM8H8W65VYM
8,3ND9UOO81K2GZ4JIT6XVEW3CTGVWLU,A1H2OUZUEYPWQZ
9,3EG49X351UCD5JL1G7NFRWZMCOKX6Q,A1IFQKU85DQSKI
10,3A4NIXBJ76ZKUSP4P4R85Y1LVFNML1,A1J6Z70T78B35V
11,3A4NIXBJ76ZKUSP4P4R85Y1LVEHLMS,A1L00Q877QQVWP
12,3JZQSN0I3QAY2QJMSQQFXGC42WJGFA,A1MWLK5NE8AS9Q
13,3CCZ6YKWR7JRLJ3P887WJNZ49QB95W,A1NH9NLE8FFVSW
14,3TYCR1GOTCJKTZON4TH2D0XUAJ1LZD,A1SWNWA75A3KGH
15,3RXPCZQMQPB7CBPELRBU8E8A1N2G1D,A1TA30P0NOOGE2
16,35LDD5557A49AM7M44F7QYO66ECKMO,A1YCUPQAMJB7K1
17,3KJYX6QCM9BXPPVD0BGMCF76IINVJG,A203C9REA20IT3
18,3F6HPJW4JD0AYIXAJ0FQZ043NH52WE,A24IJKTT6TF0Z9
19,31EUONYN2V3BQ0MAGO8RKBOSHD7OV4,A250XXRJTSMSEN
20,38F71OA9GTWYU0F83TOAALW1YJYFMM,A261NEZSEFSRQI
21,3Z3ZLGNNSIUUZ3X7BRUPQLR95TNQ36,A26I76BUCO0LAO
22,3LRLIPTPEQ988LYX71P2H7T6CXNKA4,A26Y58YECZUZZG
23,3ZPBJO59KP1F4201LQD7UGLK5JGDHV,A273DS7TQWR9M1
24,3JNQLM5FT4MUNOLBFM8OQPNNP90L21,A2859W7COFU82O
25,38JBBYETQOAQKWQ62E4869U10QVE43,A286H1M66CL5ZI
26,3OLQQLKKNSPGNE9R5LRCCBJKINLJEZ,A2C3IB7C7HWQ1G
27,3TMFV4NEP8ELKXZZZHOR9RH69GW8WK,A2CT0IK0QSFDRS
28,3TXD01ZLD4H79SNSSEJDARG4MEPU40,A2DBQ3WRHICY9P
29,3EWIJTFFVO79L885JDH6U64OJFK0EG,A2F9DG86SP81O4
30,3LPW2N6LKT2P5BRS6J2NFJMIMBMU59,A2HBRQA37M4NFO
31,3QIYRE09Y3HDM3608VOPYYH72ZQ1N8,A2IR9QOMB7LP7A
32,3SUWZRL0MYD4ZJUKL2XN37EFWH1E6O,A2IUUSQGQDEYID
33,3I2PTA7R3TU0V15EWXMO778BGF9QKH,A2J2P9JE374XCM
34,3PWWM24LHSYZ8H1SLXZKLK1H5A2825,A2JTV44ZIGMS5D
35,3JWH6J9I9SDEZ1OSASHE4AUGOADBNV,A2K3MUBO2FWKRD
36,3E4GGUZ1T8RJ3I3TUMWNBPA80AZ2KL,A2KED6T6BO622W
37,3XM0HYN6NKZC9PCP0YWW975WRNZPEF,A2LEY4X3LD8G26
38,3MTMREQS4VIZ3LSEWF855IN1Z4WAWQ,A2LFM01A16YPKG
39,3Q5ZZ9ZEVOFR7EKF3G1IJR4TPJS853,A2M5S4Q46TQ7LU
40,3ZSANO2JCF71SVSDNQKWMUV7Q7DFST,A2MPCT1O95PVL9
41,3E13VNJ1NNVL82V9BFBXTQLQGZSI13,A2O2Q0LVWOWJ1G
