pid,worker_id,assignment_id,bonus,status
0,A1093UZ147FN0Q,34HJIJKLP5W7M7CSX4TI6DIN0PX4V6,0.0,no bonus
1,A10LQ8RUWDUI5U,3OXV7EAXLEQ1PLENWIGRKGAI5WQ369,0.0,no bonus
2,A112NURLYMSP6T,3907X2AHF05KE9097E1V76W7UNVP25,0.0,no bonus
3,A119R9WIZRH3D5,3OVR4I9USPJFHZGBB5Z80QJFJWRQ45,2.2,bonused
4,A11C01B5PXL1QW,3AMW0RGHOD2G3VP2TXZFZUZ55ESPNU,0.0,no bonus
5,A11EF6L798V32H,3KIBXJ1WD5UXAPSYHKUKI2DB1I6OKU,0.0,submitted
6,A11EVB9AQ9F186,3YMTUJH0DSGS9F83S9T35VU234UT4S,2.29,bonused
7,A11LCWCECSL9SC,3C2NJ6JBKAHKBOOWRZO33HRCU95N2K,1.38,bonused
8,A11UYTAICVYT0N,3URFVVM165INCPBHD7934NTDNASZUJ,0.0,no bonus
9,A121FRZFN86KC1,3SITXWYCNV9JBV2WCY4N2CLEQQYBXU,0.0,no bonus
10,A12F04QMP1PYY9,3YDTZAI2WXGR0VWUQQ9TZPB7BLO14C,2.21,bonused
11,A12MSYRHI3XWDT,3WT783CTPBHV8XR1L280OZ04PAUBCG,0.0,no bonus
12,A12SMSQ6D5227J,3IOEN3P9S7J5FI089E28WNVL78X16S,0.0,no bonus
13,A13BVA9N28CNKQ,30ZX6P7VF8VOSYXBC1WBAAAVLM7J2D,0.0,no bonus
14,A13V95MSIU0JN3,3WYP994K17R25OBBL39HAA6VEUEY6X,0.0,no bonus
15,A13XR0NV702JVZ,358UUM7WRZ3CCNDUQIMF8SDU6MLR7X,0.0,no bonus
16,A148TN9DRGYUBY,3E7TUJ2EGCMMPWIINEPFHZNWMA6D9B,0.0,no bonus
17,A14NSVH4W27CK0,3K5TEWLKGVB1UEB7ITVM0ES657SVI6,0.0,no bonus
18,A14OPFM8OFA4WF,39U1BHVTDLR7RJPZSVOKVQ2WP4YT37,0.0,no bonus
19,A14OQ52EFQAN2W,3LEIZ60CDJZPSXNEFWEC8R6ZASD9Z3,0.0,no bonus
20,A14UV7K9LQL4V4,3DR23U6WE5EA1H5WHF5GEH6TGTRTE1,1.09,bonused
21,A15935HVAR6XH,339ANSOTR52NE3HVJPHFY5HPP8BKIX,0.57,bonused
22,A15A09BRS1Q8W0,33F859I566DMP52H7UM1ZQXK2Y4BHM,0.0,no bonus
23,A15XU9EKQHCPJI,3AQF3RZ558IW5XUGGDHTLPZF8NQ6FI,0.0,no bonus
24,A15ZA8L1162G2T,3VE8AYVF8MXJ9BD49SER53V6EFI8F2,0.0,no bonus
25,A16R3CHSBZD1BU,3VNXK88KKCI8JDI4EZP9NLT3MII9VG,2.32,bonused
26,A1768BFPFQ8AP1,339ANSOTR52NE3HVJPHFY5HPP5SIK6,0.0,no bonus
27,A17U3M6DETD4KS,3NL0RFNU0FNT6WIGY0FB4476KRNK4X,0.0,submitted
28,A17WKHGPRGCSVW,3ON104KXQKWK1WCXNEYESF117Z14WK,0.0,no bonus
29,A17ZMF7GGP6HKO,3C8HJ7UOP7U4ZH6845IHDDCJASQZM0,0.0,no bonus
30,A17ZZAFAR2GUMF,39LNWE0K4UW1HZM7D3LH4SQNR0CUI9,2.18,bonused
31,A1941R1INABJ86,3IRIK4HM3AKP2LA6PBRSDJECB8Z6C4,0.0,no bonus
32,A19HS6ON7R2KBP,32VNZTT0A74FT0VBOKO85GTKFHM4RB,0.0,no bonus
33,A19MHUXGLVOPMW,3AMYWKA6YBMQBA79FG0J8J8T0N2O65,0.0,no bonus
34,A1ANG01DQJZCUZ,3AZHRG4CU4K6BAS8UT0ABF0RSR8035,0.62,bonused
35,A1BD3XVI4DJ14Y,34FNN24DCM96MKBXGKZCI4SVI375Y0,0.0,no bonus
36,A1BZG9RL6FNF3Z,3SBEHTYCWN3IY86CN4I67DW0NOVYIJ,0.0,no bonus
37,A1C39KLU8G513E,34MAJL3QP4NNAYA9DUNCNIQ496G34M,1.56,bonused
38,A1CA7IV5DKG23C,3TS1AR6UQQEF9X8LZNMLR3ZB3XVF79,0.0,no bonus
39,A1CLCA00V8025R,3K4J6M3CXET36Z2EHA4NJF1D5G6AGR,0.54,bonused
40,A1CPIB9M9URF4W,3LYA37P8IQNDRV3PDFPYCIDCUIOBKC,0.45,bonused
41,A1D3Y6TSWBE7U,35K3O9HUABD0ICNVMV0RXDRSPK0EFV,0.0,no bonus
42,A1DE0J98KFXN0Z,3NS0A6KXC48477AMT2KM08SME3NZGV,0.0,no bonus
43,A1DK1B0L0V9KHJ,3LEIZ60CDJZPSXNEFWEC8R6ZAPM9Z6,2.23,bonused
44,A1DNE2EBTDUW6K,39OWYR0EPKRYOH4MMWCL4GJ87UAYFV,0.0,no bonus
45,A1E2BY4R84T3V1,3TK8OJTYM1LTB0YBVOL69BTIRL6VP1,0.0,no bonus
46,A1E5PWE8O010XK,3J4Q2Z4UTY3RQ1ZVLB5RVI263RMQWR,0.0,no bonus
47,A1EBQ9X6IN5OZC,3137ONMDKG56WCJQXF69FYR4QZYEGS,0.0,no bonus
48,A1EIBL2B06W1D7,37UEWGM5HT8Y11YS12567IMH3YT1RE,2.04,bonused
49,A1F7ACYEN4R8UX,3B3WTRP3DB2ZMMK2QP5YLGWSPJF92W,0.0,no bonus
50,A1FUQIDCR4U4QQ,3TR2532VIPUCAZGCZ38E0NR71RA6JI,2.3,bonused
51,A1G1OO4IWM8EP5,3WZ36BJEV3GCUETC7O3QD908DWTTBG,0.0,no bonus
52,A1G3BVCKXMEUPU,3BDCF01OGXUKO9EI87FJZTOS4REYLK,0.72,bonused
53,A1GT7SKWY6Q2AW,3AQF3RZ558IW5XUGGDHTLPZF8NM6FE,0.0,no bonus
54,A1GWM8H8W65VYM,3CN4LGXD5XOOQ17X2FG2DCMHI394YJ,0.0,no bonus
55,A1GZ2WZSN9KRZ2,3SNVL38CI4SW10VVRFLTN2JUC44CK2,2.27,bonused
56,A1H2OUZUEYPWQZ,3ND9UOO81K2GZ4JIT6XVEW3CTGVWLU,0.0,no bonus
57,A1HE3WGI7WSOO8,3OE22WJIGIOEYXAQQBQQDUH9I8JUQY,0.0,no bonus
58,A1I372N3EWHFN,3ON104KXQKWK1WCXNEYESF117WC4WP,0.0,no bonus
59,A1IFQKU85DQSKI,3EG49X351UCD5JL1G7NFRWZMCOKX6Q,0.0,submitted
60,A1J4N2SE30LCUH,3FE2ERCCZX8YLGPEUCZSEJZAVSROPA,0.61,bonused
61,A1J6Z70T78B35V,3A4NIXBJ76ZKUSP4P4R85Y1LVFNML1,0.0,no bonus
62,A1JLYIQ4HT4KQC,3O7L7BFSHEPKS3PLN36C0A4K5A7EIX,0.0,no bonus
63,A1JOGLG7TRDN37,3RSDURM96AM6I34QRLSFMYY8VT7EY5,0.0,submitted
64,A1K0F69IHFY9YC,39OWYR0EPKRYOH4MMWCL4GJ87VUFYY,0.0,no bonus
65,A1K9CP0I5FAQ7W,3TVSS0C0E104IHRN2FZM0NDTNXDTWY,0.45,bonused
66,A1L00Q877QQVWP,3A4NIXBJ76ZKUSP4P4R85Y1LVEHLMS,0.0,no bonus
67,A1L90Z2QJK5FFJ,3NPFYT4IZC4F2CA7SKW13NCB65UGXO,0.0,no bonus
68,A1LYXWW69WCW6H,3IOEN3P9S7J5FI089E28WNVL7BZ615,0.0,no bonus
69,A1MWLK5NE8AS9Q,3JZQSN0I3QAY2QJMSQQFXGC42WJGFA,2.34,bonused
70,A1MZG7NHZC2BD4,3ZOTGHDK5IBVY856MT3M9O4LID9SO7,0.0,no bonus
71,A1NAGLVAIALY55,3QAVNHZ3EM4JSRGFS113W76L11SAL5,0.0,no bonus
72,A1NH9NLE8FFVSW,3CCZ6YKWR7JRLJ3P887WJNZ49QB95W,0.0,no bonus
73,A1NM7ZPZ3NH412,3TS1AR6UQQEF9X8LZNMLR3ZB3V17F3,0.0,no bonus
74,A1OP4BATW0TUUG,3G5F9DBFOPX1YJ0NCBD102RR5UDVHD,0.0,no bonus
75,A1PVCXLQM5WX7R,3R08VXYT7CVHKJUGPCWLVRLBY127WI,2.44,bonused
76,A1PW7SN9ZFZ8HZ,3RWE2M8QWHADFELICCKPKTYXX93N0E,0.45,bonused
77,A1QJT7EWCLVBB5,3R6P78PK7KB8LV1NNAV4EKR5T9PTG1,1.85,bonused
78,A1RIH5BMQBI84L,3P4MQ7TPPXCCYSZV72C5DFUM7PWBBB,0.0,no bonus
79,A1RZT7L92M3XY0,3RGU30DZTA8EZ214MJFVPJOTRRQJM6,0.45,bonused
80,A1S1K7134S2VUC,374TNBHA8BVVF6UV0CNFGFNMEYZYQ9,0.0,no bonus
81,A1SBACFOFDTV44,3VE8AYVF8MXJ9BD49SER53V6EH48FS,0.0,no bonus
82,A1SQC3067DP5TB,3PB5A5BD0V6LNX4GA7S39OZN4CJG7X,0.0,no bonus
83,A1SWNWA75A3KGH,3TYCR1GOTCJKTZON4TH2D0XUAJ1LZD,2.39,bonused
84,A1T4SM1PG43714,3UOUJI6MTDEY7UB2CPLI72D2FCWUXN,2.11,bonused
85,A1TA30P0NOOGE2,3RXPCZQMQPB7CBPELRBU8E8A1N2G1D,0.0,no bonus
86,A1TJA3HLWCJUSX,33SA9F9TRXU2TY9QCKAR11DSKNUWEF,2.08,bonused
87,A1TQ0BT81FJYNS,30JNVC0OR9K9TB46QCJRUFSJO06HQ9,0.0,no bonus
88,A1UGERE8TTY7Y0,386PBUZZXFXUTKJJM7EGP694ROHJLP,0.0,submitted
89,A1UK3TH4ILHRZM,379J5II41OGMI4XR863PSQWCMG2LEN,0.0,no bonus
90,A1UXWUM04RAO59,3ZR9AIQJUB9RT6BCU75TLKSX6RW40M,0.0,no bonus
91,A1VXDD6BFF97OF,3AAJC4I4FGSEY90N185PXLK26VWZJR,0.0,no bonus
92,A1W8N49GL7UPDJ,3FDJT1UU748B2FMGC5YL9WDKKNLK55,0.0,no bonus
93,A1XA3QOXDTGCDL,37Q970SNZE8A2GY5GR5BXSRDP05S1M,0.0,no bonus
94,A1XU7OM3VP6KGB,3MH9DQ757WCNL8GCNFLEJGD7CNSUGP,0.0,no bonus
95,A1Y7I81X0OVNSY,3OB0CAO74HPI2DVSHM0L71VLNBMHYF,2.07,bonused
96,A1YCUPQAMJB7K1,35LDD5557A49AM7M44F7QYO66ECKMO,0.0,no bonus
97,A1YDAIV0KNORTG,35USIKEBNRG8TP7XE106TU8OABJ6NQ,1.93,bonused
98,A1ZT0XICAVUFTD,35DR22AR5DKE80YJX5PHKTN2206X3E,0.0,no bonus
99,A200RY5KR64MUB,35USIKEBNRG8TP7XE106TU8OAECN66,0.0,no bonus
100,A203C9REA20IT3,3KJYX6QCM9BXPPVD0BGMCF76IINVJG,0.0,no bonus
101,A20SBU79K8KMY7,3X08E93BHVI0M415FKEPRJM2FME662,2.03,bonused
102,A21C5JZ5TO54G5,35GCEFQ6I5O3DVYYYND2HE3DA0QZ3Z,0.48,bonused
103,A2223XYV804AY7,39GXDJN2OTE858ZU97JVNPYS2978VR,0.0,no bonus
104,A22YXT1IRJHN9F,3KXIR214I4GYPGEQ9U9748LC3R142V,0.0,no bonus
105,A243EPKB9EW005,326O153BMIY3KS9ZVP519DO7D7NDEM,2.22,bonused
106,A24IJKTT6TF0Z9,3F6HPJW4JD0AYIXAJ0FQZ043NH52WE,0.0,no bonus
