key_press,rt,time_elapsed,trial_type,pid
37.0,28012,28025,text,0
32.0,47923,76963,text,0
32.0,13736,119902,text,0
32.0,4425,493038,text,0
32.0,21768,515817,text,0
32.0,16704,16714,text,1
32.0,30665,48388,text,1
32.0,6234,79983,text,1
32.0,2065,326317,text,1
32.0,14922,342261,text,1
32.0,17645,17655,text,2
32.0,31405,50076,text,2
32.0,7164,78204,text,2
32.0,2446,435282,text,2
32.0,20623,456916,text,2
32.0,36569,36578,text,3
32.0,65505,103100,text,3
32.0,21302,161544,text,3
32.0,2583,470998,text,3
32.0,482737,954745,text,3
32.0,15359,15392,text,4
32.0,22312,38732,text,4
32.0,5911,71192,text,4
32.0,1528,420003,text,4
32.0,9107,430127,text,4
32.0,14312,14320,text,5
32.0,16301,31629,text,5
32.0,5541,75236,text,5
32.0,1390,238766,text,5
32.0,11796,251566,text,5
32.0,582532,582553,text,6
32.0,9051,592619,text,6
32.0,2038,614729,text,6
32.0,870,732264,text,6
32.0,9149,742424,text,6
32.0,30479,30493,text,7
32.0,33734,65255,text,7
32.0,9190,91813,text,7
32.0,2727,405487,text,7
32.0,19313,425815,text,7
32.0,2566,2586,text,8
32.0,2654,6244,text,8
32.0,2083,22100,text,8
32.0,1214,194599,text,8
32.0,4041,199659,text,8
32.0,16879,16904,text,9
32.0,13936,31846,text,9
32.0,3467,54925,text,9
32.0,1822,288890,text,9
32.0,6091,295993,text,9
32.0,47478,47489,text,10
39.0,4863,53368,text,10
32.0,10348,76039,text,10
32.0,3984,268386,text,10
32.0,12790,282185,text,10
32.0,15733,15776,text,11
32.0,19137,35936,text,11
32.0,6295,63201,text,11
32.0,2407,192440,text,11
32.0,9389,202877,text,11
32.0,11868,11876,text,12
32.0,21334,34216,text,12
32.0,7333,89693,text,12
32.0,2571,472588,text,12
32.0,12160,485755,text,12
32.0,55485,55535,text,13
38.0,18233,74797,text,13
32.0,44326,140487,text,13
32.0,1987,273659,text,13
32.0,11967,286664,text,13
32.0,35766,35843,text,14
38.0,1578,38447,text,14
32.0,1159,54846,text,14
32.0,2622,176262,text,14
32.0,10626,187910,text,14
32.0,13234,13241,text,15
32.0,23754,38004,text,15
32.0,5952,68607,text,15
32.0,1998,193592,text,15
32.0,6595,201190,text,15
32.0,14039,14049,text,16
77.0,16285,31336,text,16
32.0,5015,56668,text,16
32.0,1486,311732,text,16
32.0,11083,323820,text,16
32.0,64620,64643,text,17
32.0,25737,91397,text,17
32.0,11836,136280,text,17
32.0,2850,396638,text,17
32.0,16155,413804,text,17
32.0,20881,20891,text,18
32.0,25953,47853,text,18
32.0,8207,82974,text,18
32.0,2540,219446,text,18
32.0,13335,233797,text,18
32.0,37773,37790,text,19
32.0,25118,63935,text,19
32.0,7706,118438,text,19
32.0,3620,286745,text,19
32.0,13975,301752,text,19
32.0,11301,11310,text,20
32.0,16311,28628,text,20
32.0,2171,49288,text,20
32.0,2251,192342,text,20
32.0,8121,201470,text,20
32.0,21497,21504,text,21
39.0,3273,25784,text,21
32.0,2445,48423,text,21
32.0,1007,469095,text,21
32.0,81188,551288,text,21
32.0,14490,14520,text,22
32.0,15496,31024,text,22
32.0,5537,65842,text,22
32.0,1572,217232,text,22
32.0,10342,228590,text,22
32.0,29742,29753,text,23
32.0,71527,102296,text,23
32.0,9247,164406,text,23
32.0,2866,495526,text,23
32.0,37453,533990,text,23
32.0,32410,32419,text,24
32.0,34465,67901,text,24
32.0,5557,103924,text,24
32.0,2453,381875,text,24
32.0,12344,395232,text,24
32.0,26326,26334,text,25
40.0,13327,40668,text,25
32.0,5879,63803,text,25
32.0,1990,184540,text,25
32.0,9629,195180,text,25
32.0,22625,22636,text,26
32.0,19195,42844,text,26
32.0,11021,75016,text,26
32.0,2785,532423,text,26
32.0,51037,584471,text,26
32.0,41835,41878,text,27
32.0,44439,87340,text,27
32.0,22525,161908,text,27
32.0,3327,325022,text,27
32.0,21934,347975,text,27
32.0,25123,25136,text,28
32.0,14181,40319,text,28
32.0,6073,85518,text,28
32.0,1727,313437,text,28
32.0,10042,324485,text,28
32.0,16879,16888,text,29
32.0,13426,31326,text,29
32.0,3272,45022,text,29
32.0,2205,164873,text,29
32.0,4041,169922,text,29
32.0,9594,9604,text,30
32.0,14287,24904,text,30
32.0,8961,71596,text,30
32.0,3111,250486,text,30
32.0,14562,266064,text,30
32.0,32693,32709,text,31
32.0,32141,65874,text,31
32.0,6826,119227,text,31
32.0,2684,450888,text,31
32.0,12844,464741,text,31
32.0,2800,2828,text,32
32.0,14268,18105,text,32
32.0,2001,40543,text,32
32.0,1557,144766,text,32
32.0,12361,158141,text,32
32.0,62999,63014,text,33
32.0,31876,95912,text,33
32.0,6001,145601,text,33
32.0,3302,478744,text,33
32.0,13350,493112,text,33
32.0,7565,7586,text,34
32.0,11306,19905,text,34
32.0,2280,34116,text,34
32.0,934,174884,text,34
32.0,5585,181477,text,34
32.0,8435,8444,text,35
32.0,4671,14122,text,35
32.0,5095,92183,text,35
32.0,2107,280667,text,35
32.0,14761,296439,text,35
93.0,14998,15010,text,36
32.0,16354,32372,text,36
32.0,2166,47839,text,36
32.0,1902,159015,text,36
32.0,15575,175596,text,36
32.0,32583,32603,text,37
32.0,30633,64241,text,37
32.0,7982,103040,text,37
32.0,3665,255091,text,37
32.0,12109,268210,text,37
32.0,19419,19427,text,38
32.0,18436,38868,text,38
32.0,6056,63634,text,38
32.0,2674,353449,text,38
32.0,7633,362085,text,38
32.0,18518,18540,text,39
32.0,24478,44039,text,39
32.0,11482,87018,text,39
32.0,2167,217922,text,39
32.0,13533,232477,text,39
32.0,18425,18449,text,40
32.0,19927,39389,text,40
32.0,5332,72813,text,40
32.0,1975,222876,text,40
32.0,6992,230893,text,40
32.0,144749,144759,text,41
32.0,43560,189339,text,41
32.0,3776,227724,text,41
32.0,2278,457783,text,41
32.0,14252,473047,text,41
32.0,15744,15754,text,42
32.0,22040,38800,text,42
32.0,5440,70609,text,42
32.0,2116,516021,text,42
32.0,12941,529975,text,42
32.0,25929,25941,text,43
32.0,27156,54118,text,43
32.0,5128,76706,text,43
32.0,2018,220424,text,43
32.0,14905,236344,text,43
32.0,27347,27373,text,44
32.0,30984,59377,text,44
32.0,5433,117509,text,44
32.0,3596,393682,text,44
32.0,12624,407335,text,44
32.0,26177,26184,text,45
32.0,17827,45016,text,45
32.0,6263,66863,text,45
32.0,2326,196294,text,45
32.0,7372,204671,text,45
32.0,34580,34594,text,46
32.0,29661,65276,text,46
32.0,10741,95329,text,46
32.0,3297,376127,text,46
32.0,229570,606709,text,46
32.0,33966,33982,text,47
32.0,29095,64091,text,47
32.0,3885,98058,text,47
32.0,1015,248218,text,47
32.0,9347,258571,text,47
32.0,18632,18650,text,48
32.0,33321,52999,text,48
32.0,7743,95245,text,48
32.0,2555,262780,text,48
32.0,16980,280775,text,48
32.0,21486,21508,text,49
39.0,2484,24997,text,49
32.0,7236,53755,text,49
32.0,2357,157590,text,49
32.0,10266,168864,text,49
39.0,36872,36882,text,50
32.0,26703,64592,text,50
32.0,9782,97247,text,50
32.0,1711,329084,text,50
32.0,15987,346077,text,50
32.0,33504,33520,text,51
32.0,16902,51436,text,51
32.0,11317,94073,text,51
32.0,3591,282415,text,51
32.0,8734,292158,text,51
32.0,31423,31637,text,52
32.0,9665,42321,text,52
32.0,1231,62821,text,52
32.0,1121,335725,text,52
32.0,6195,342945,text,52
32.0,23122,23133,text,53
32.0,30713,54850,text,53
32.0,8847,87798,text,53
32.0,2302,208075,text,53
32.0,13108,222188,text,53
32.0,23634,23644,text,54
32.0,33971,58619,text,54
32.0,5128,94419,text,54
32.0,5288,382740,text,54
32.0,15861,399604,text,54
32.0,49393,49402,text,55
32.0,21935,72354,text,55
32.0,7595,108721,text,55
32.0,2009,273694,text,55
32.0,13087,287787,text,55
39.0,26059,26073,text,56
32.0,29467,56552,text,56
32.0,11714,110559,text,56
32.0,2480,318424,text,56
32.0,15783,335212,text,56
175.0,662,672,text,57
32.0,18651,20326,text,57
32.0,1989,53885,text,57
32.0,2135,162814,text,57
32.0,6419,170237,text,57
32.0,31334,31348,text,58
32.0,24930,57288,text,58
32.0,8836,94634,text,58
32.0,2730,538342,text,58
32.0,11748,551096,text,58
32.0,18562,18584,text,59
32.0,21105,40695,text,59
32.0,9487,61637,text,59
32.0,1342,237789,text,59
32.0,7688,246486,text,59
32.0,13720,13748,text,60
32.0,19785,34540,text,60
32.0,5391,58915,text,60
32.0,1071,167066,text,60
32.0,14407,182488,text,60
32.0,11398,11403,text,61
32.0,10190,22596,text,61
32.0,4393,42802,text,61
32.0,1914,331280,text,61
32.0,8340,340623,text,61
32.0,30640,30652,text,62
32.0,39153,70817,text,62
32.0,7102,108384,text,62
32.0,5903,227071,text,62
32.0,16999,245079,text,62
32.0,19168,19213,text,63
32.0,25643,45861,text,63
32.0,6010,71966,text,63
32.0,1780,412057,text,63
32.0,19182,432250,text,63
32.0,2387,2400,text,64
32.0,1205,4607,text,64
32.0,2743,37935,text,64
32.0,942,167904,text,64
32.0,13804,182713,text,64
32.0,27230,27238,text,65
32.0,25533,53789,text,65
32.0,10774,108970,text,65
32.0,3104,290938,text,65
32.0,14113,306068,text,65
32.0,13217,13230,text,66
32.0,18827,33062,text,66
32.0,6546,60071,text,66
32.0,2131,196408,text,66
32.0,7911,205327,text,66
32.0,9824,9832,text,67
32.0,17499,28333,text,67
32.0,7188,50699,text,67
32.0,1692,170826,text,67
32.0,10041,181871,text,67
32.0,23330,23365,text,68
32.0,22577,46973,text,68
32.0,8329,74171,text,68
32.0,2505,186445,text,68
32.0,12179,199664,text,68
32.0,16038,16070,text,69
32.0,18513,35591,text,69
32.0,5418,72289,text,69
32.0,1084,183039,text,69
