action_times,actions,block,button_pressed,key_press,path,queries,responses,rewards,rt,score,simulation_mode,stimulus,time_elapsed,trial_index,trial_type,pid
,,,,32.0,,,,,869,,,,70595,,text,0
,,,,32.0,,,,,901,,,,93053,,text,0
,,,,32.0,,,,,1017,,,,142282,,text,0
,,,,32.0,,,,,883,,,,245152,,text,0
,,,,32.0,,,,,963,,,,70728,,text,1
,,,,32.0,,,,,814,,,,107650,,text,1
,,,,32.0,,,,,1055,,,,170666,,text,1
,,,,32.0,,,,,1020,,,,236558,,text,1
,,,,32.0,,,,,987,,,,105790,,text,2
,,,,32.0,,,,,912,,,,146072,,text,2
,,,,32.0,,,,,1122,,,,211573,,text,2
,,,,32.0,,,,,943,,,,285938,,text,2
,,,,32.0,,,,,565,,,,64565,,text,3
,,,,32.0,,,,,646,,,,96308,,text,3
,,,,32.0,,,,,570,,,,185142,,text,3
,,,,32.0,,,,,983,,,,268773,,text,3
,,,,32.0,,,,,903,,,,98792,,text,4
,,,,32.0,,,,,1012,,,,136498,,text,4
,,,,32.0,,,,,1001,,,,204112,,text,4
,,,,32.0,,,,,842,,,,296252,,text,4
,,,,32.0,,,,,916,,,,78256,,text,5
,,,,32.0,,,,,895,,,,114321,,text,5
,,,,32.0,,,,,2455,,,,198048,,text,5
,,,,32.0,,,,,1367,,,,328478,,text,5
,,,,32.0,,,,,1230,,,,104985,,text,6
,,,,32.0,,,,,1087,,,,138936,,text,6
,,,,32.0,,,,,1598,,,,259016,,text,6
,,,,32.0,,,,,1111,,,,344433,,text,6
,,,,32.0,,,,,1448,,,,127302,,text,7
,,,,32.0,,,,,1130,,,,164493,,text,7
,,,,32.0,,,,,1095,,,,258131,,text,7
,,,,32.0,,,,,891,,,,385264,,text,7
,,,,32.0,,,,,1797,,,,159962,,text,8
,,,,32.0,,,,,1125,,,,207684,,text,8
,,,,32.0,,,,,1455,,,,311326,,text,8
,,,,32.0,,,,,1129,,,,368260,,text,8
,,,,32.0,,,,,889,,,,89827,,text,9
,,,,32.0,,,,,881,,,,119880,,text,9
,,,,32.0,,,,,1079,,,,202564,,text,9
,,,,32.0,,,,,1152,,,,266174,,text,9
,,,,32.0,,,,,1922,,,,123806,,text,10
,,,,32.0,,,,,826,,,,160599,,text,10
,,,,32.0,,,,,951,,,,224709,,text,10
,,,,32.0,,,,,1056,,,,277022,,text,10
,,,,32.0,,,,,1014,,,,181906,,text,11
,,,,32.0,,,,,1143,,,,214163,,text,11
,,,,32.0,,,,,1151,,,,328050,,text,11
,,,,32.0,,,,,1583,,,,435778,,text,11
,,,,32.0,,,,,1002,,,,90146,,text,12
,,,,32.0,,,,,826,,,,118768,,text,12
,,,,32.0,,,,,862,,,,203435,,text,12
,,,,32.0,,,,,805,,,,354854,,text,12
