bonus,bonusRate,completed,inspectCost,pid,startTime,variance,version
0.19,0.001,True,1,0,Tue Jan 16 2018 16:21:22 GMT-0500 (Eastern Standard Time),constant_high,c0.2
0.51,0.001,True,1,1,Tue Jan 16 2018 13:30:04 GMT-0800 (Pacific Standard Time),constant_high,c0.2
0.7,0.001,True,1,2,Tue Jan 16 2018 16:32:06 GMT-0800 (Pacific Standard Time),constant_high,c0.2
0.37,0.001,True,1,3,Tue Jan 16 2018 16:24:12 GMT-0500 (Eastern Standard Time),constant_high,c0.2
0.68,0.001,True,1,4,Tue Jan 16 2018 13:36:58 GMT-0800 (Pacific Standard Time),constant_high,c0.2
0.66,0.001,True,1,5,Tue Jan 16 2018 16:22:04 GMT-0500 (Eastern Standard Time),constant_high,c0.2
0.69,0.001,True,1,6,Tue Jan 16 2018 17:18:15 GMT-0500 (Eastern Standard Time),constant_high,c0.2
0.18,0.001,True,1,7,Tue Jan 16 2018 19:51:43 GMT-0500 (Eastern Standard Time),constant_high,c0.2
0.65,0.001,True,1,8,Tue Jan 16 2018 15:18:55 GMT-0600 (CST),constant_high,c0.2
0.01,0.001,True,1,9,Tue Jan 16 2018 20:03:35 GMT-0500 (Eastern Standard Time),constant_high,c0.2
0.59,0.001,True,1,10,Tue Jan 16 2018 17:50:09 GMT-0500 (Eastern Standard Time),constant_high,c0.2
0.15,0.001,True,1,11,Tue Jan 16 2018 18:17:17 GMT-0600 (Central Standard Time),constant_high,c0.2
0.4,0.001,True,1,12,Tue Jan 16 2018 17:32:30 GMT-0500 (Eastern Standard Time),constant_high,c0.2
0.3,0.001,True,1,13,Tue Jan 16 2018 20:43:53 GMT-0500 (Eastern Standard Time),constant_high,c0.2
0.78,0.001,True,1,14,Tue Jan 16 2018 15:49:32 GMT-0500 (Eastern Standard Time),constant_high,c0.2
0.63,0.001,True,1,15,Tue Jan 16 2018 15:24:13 GMT-0600 (Central Standard Time),constant_high,c0.2
0.8,0.001,True,1,16,Tue Jan 16 2018 16:53:04 GMT-0500 (EST),constant_high,c0.2
0.54,0.001,True,1,17,Tue Jan 16 2018 16:16:00 GMT-0800 (Pacific Standard Time),constant_high,c0.2
0.22,0.001,True,1,18,Tue Jan 16 2018 14:26:14 GMT-0800 (Pacific Standard Time),constant_high,c0.2
0.57,0.001,True,1,19,Tue Jan 16 2018 16:36:55 GMT-0600 (Central Standard Time),constant_high,c0.2
0.29,0.001,True,1,20,Tue Jan 16 2018 16:00:23 GMT-0500 (Eastern Standard Time),constant_high,c0.2
0.64,0.001,True,1,21,Tue Jan 16 2018 18:29:26 GMT-0500 (EST),constant_high,c0.2
0.7,0.001,True,1,22,Tue Jan 16 2018 12:50:34 GMT-0800 (Pacific Standard Time),constant_high,c0.2
0.77,0.001,True,1,23,Tue Jan 16 2018 16:51:44 GMT-0600 (CST),constant_high,c0.2
0.18,0.001,True,1,24,Tue Jan 16 2018 19:05:51 GMT-0500 (EST),constant_high,c0.2
0.64,0.001,True,1,25,Tue Jan 16 2018 18:37:12 GMT-0500 (EST),constant_high,c0.2
