action_times,actions,block,button_pressed,key_press,path,queries,responses,rewards,rt,score,simulation_mode,stimulus,time_elapsed,trial_index,trial_id,trial_type,pid
"[19758, 21059, 21939]","[u'up', u'right', u'right']",train_basic,,,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[2, 2, 2]","[19747, 799, 347]",6.0,"[None, None, None]",,23962,0.0,33291001.0,mouselab-mdp,0
"[3584, 5224, 6110]","[u'up', u'left', u'left']",train_basic,,,"[u'0', u'1', u'4', u'5']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[7, 7, -2]","[3577, 1110, 365]",12.0,"[None, None, None]",,32646,1.0,77739385.0,mouselab-mdp,0
"[3292, 4486, 7174]","[u'up', u'right', u'right']",train_basic,,,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-12, 7, 7]","[3286, 664, 1511]",2.0,"[None, None, None]",,43058,2.0,60035304.0,mouselab-mdp,0
"[7951, 9616, 10549]","[u'up', u'right', u'right']",train_basic,,,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-7, 2, 2]","[7943, 1159, 409]",-3.0,"[None, None, None]",,59024,3.0,61580530.0,mouselab-mdp,0
"[6862, 8058, 9050]","[u'up', u'left', u'left']",train_basic,,,"[u'0', u'1', u'4', u'5']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-2, 7, 7]","[6855, 680, 475]",12.0,"[None, None, None]",,71305,4.0,66498465.0,mouselab-mdp,0
"[14062, 15883, 18384]","[u'up', u'right', u'right']",train_basic,,,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-7, 2, -7]","[14055, 1320, 1376]",-12.0,"[None, None, None]",,93029,5.0,54324908.0,mouselab-mdp,0
"[3397, 5508, 6839]","[u'down', u'right', u'right']",train_basic,,,"[u'0', u'6', u'7', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-2, None, None]","[3392, 1594, 810]",,"[None, None, None]",,103100,6.0,65431907.0,mouselab-mdp,0
"[5246, 9091, 9891]","[u'down', u'left', u'left']",train_basic,,,"[u'0', u'6', u'9', u'10']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-2, None, None]","[5213, 3314, 274]",,"[None, None, None]",,116005,7.0,95503653.0,mouselab-mdp,0
"[3706, 5319, 6158]","[u'down', u'right', u'right']",train_basic,,,"[u'0', u'6', u'7', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[2, None, None]","[3695, 1095, 318]",,"[None, None, None]",,125341,8.0,41054870.0,mouselab-mdp,0
"[2492, 4380, 5531]","[u'up', u'left', u'left']",train_basic,,,"[u'0', u'1', u'4', u'5']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-2, 12, -7]","[2488, 1361, 631]",3.0,"[None, None, None]",,133899,9.0,66744768.0,mouselab-mdp,0
