action_times,actions,block,path,queries,rewards,rt,score,simulation_mode,state_rewards,time_elapsed,trial_index,trial_time,trial_type,pid
[],[],demo,"[u'0', 9, 10, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [12, 7, 8, 11], u'time': [908, 1914, 2918, 3920]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[4, -4, 48]",[],44.0,[],"[u'', 4, -4, -48, -48, -4, 8, -48, -24, 4, -4, 48, -24]",159192,0.0,9382.0,mouselab-mdp,0
[],[],demo,"[u'0', 9, 10, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [12], u'time': [994]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-4, 8, 48]",[],51.0,[],"[u'', -2, 8, 24, -48, -4, 4, -48, -48, -4, 8, 24, 48]",165030,1.0,4716.0,mouselab-mdp,0
[],[],demo,"[u'0', 9, 10, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [8, 12, 3, 11], u'time': [998, 2002, 3004, 4008]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[4, 4, 48]",[],52.0,[],"[u'', -4, -4, 24, -24, -4, 4, 24, 24, 4, 4, 48, -48]",176370,2.0,10252.0,mouselab-mdp,0
[],[],demo,"[u'0', 9, 10, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [12], u'time': [990]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[2, 8, 48]",[],57.0,[],"[u'', -2, 8, 24, -48, 4, 4, -48, -24, 2, 8, -48, 48]",182044,3.0,4582.0,mouselab-mdp,0
[],[],demo,"[u'0', 5, 6, 7]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [3, 4, 8, 12, 7], u'time': [996, 2000, 3002, 4006, 5008]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-4, 8, 48]",[],47.0,[],"[u'', -2, 4, 24, 24, -4, 8, 48, 24, -4, 8, -48, -24]",190754,4.0,7644.0,mouselab-mdp,0
[],[],demo,"[u'0', 1, 2, 4]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [4], u'time': [992]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[4, 8, 48]",[],59.0,[],"[u'', 4, 8, 24, 48, -4, 8, -48, -48, -2, -8, 24, -48]",196140,5.0,4290.0,mouselab-mdp,0
[],[],demo,"[u'0', 9, 10, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [7, 8, 11], u'time': [992, 1996, 3000]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[4, -4, 48]",[],45.0,[],"[u'', 4, -8, 48, 24, -2, -4, 24, -24, 4, -4, 48, 48]",203516,6.0,6288.0,mouselab-mdp,0
[],[],demo,"[u'0', 9, 10, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [7, 11], u'time': [992, 1996]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[2, -4, 48]",[],44.0,[],"[u'', 4, 8, 24, 24, -4, -4, -24, -48, 2, -4, 48, 48]",209824,7.0,5212.0,mouselab-mdp,0
[],[],demo,"[u'0', 1, 2, 3]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [8, 12, 4, 11, 7, 3], u'time': [988, 1992, 2996, 3996, 5000, 6002]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[2, -8, 48]",[],36.0,[],"[u'', 2, -8, 48, -48, -2, 8, -48, 24, 2, 8, -24, -48]",220072,8.0,9156.0,mouselab-mdp,0
[],[],demo,"[u'0', 1, 2, 4]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [11, 12, 3, 4], u'time': [992, 1996, 3000, 4004]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-4, 4, 48]",[],44.0,[],"[u'', -4, 4, -24, 48, -4, -8, -24, 48, -4, 8, -24, -48]",228328,9.0,7164.0,mouselab-mdp,0
