bonus,bonusRate,branching,completed,condition,delay_hours,delay_window,demo,feedback,inspectCost,pid,principle_only,stage,startTime,variance,with_feedback,version
0.55,0.002,312,True,1,20,12,True,False,1,0,False,1,Tue Apr 17 2018 17:54:36 GMT-0400 (Eastern Daylight Time),2_4_24,False,I0.9
0.55,0.002,312,True,0,20,12,False,False,1,1,True,1,Tue Apr 17 2018 15:42:10 GMT-0700 (Pacific Daylight Time),2_4_24,False,I0.9
0.55,0.002,312,True,1,20,12,True,False,1,2,False,1,Tue Apr 17 2018 17:05:47 GMT-0400 (Eastern Daylight Time),2_4_24,False,I0.9
0.55,0.002,312,True,2,20,12,False,True,1,3,False,1,Tue Apr 17 2018 16:04:52 GMT-0500 (Central Daylight Time),2_4_24,True,I0.9
0.55,0.002,312,True,1,20,12,True,False,1,4,False,1,Tue Apr 17 2018 16:56:16 GMT-0400 (EDT),2_4_24,False,I0.9
0.55,0.002,312,True,0,20,12,False,False,1,5,True,1,Tue Apr 17 2018 20:30:06 GMT-0400 (EDT),2_4_24,False,I0.9
0.55,0.002,312,True,0,20,12,False,False,1,6,True,1,Tue Apr 17 2018 16:41:07 GMT-0700 (Pacific Daylight Time),2_4_24,False,I0.9
0.55,0.002,312,True,0,20,12,False,False,1,7,True,1,Tue Apr 17 2018 17:38:36 GMT-0700 (Pacific Daylight Time),2_4_24,False,I0.9
0.55,0.002,312,True,1,20,12,True,False,1,8,False,1,Tue Apr 17 2018 18:23:28 GMT-0500 (Central Daylight Time),2_4_24,False,I0.9
0.55,0.002,312,True,0,20,12,False,False,1,9,True,1,Tue Apr 17 2018 17:02:38 GMT-0400 (Eastern Daylight Time),2_4_24,False,I0.9
0.55,0.002,312,True,2,20,12,False,True,1,10,False,1,Tue Apr 17 2018 17:12:43 GMT-0400 (Eastern Daylight Time),2_4_24,True,I0.9
0.55,0.002,312,True,2,20,12,False,True,1,11,False,1,Tue Apr 17 2018 23:08:30 GMT-0400 (Eastern Daylight Time),2_4_24,True,I0.9
0.55,0.002,312,True,0,20,12,False,False,1,12,True,1,Tue Apr 17 2018 13:51:07 GMT-0700 (MST),2_4_24,False,I0.9
0.55,0.002,312,True,1,20,12,True,False,1,13,False,1,Tue Apr 17 2018 18:25:14 GMT-0500 (Central Daylight Time),2_4_24,False,I0.9
0.55,0.002,312,True,1,20,12,True,False,1,14,False,1,Tue Apr 17 2018 19:45:51 GMT-0400 (Eastern Daylight Time),2_4_24,False,I0.9
0.55,0.002,312,True,2,20,12,False,True,1,15,False,1,Tue Apr 17 2018 19:36:18 GMT-0500 (Central Daylight Time),2_4_24,True,I0.9
0.55,0.002,312,True,1,20,12,True,False,1,16,False,1,Tue Apr 17 2018 19:56:05 GMT-0400 (Eastern Daylight Time),2_4_24,False,I0.9
0.55,0.002,312,True,2,20,12,False,True,1,17,False,1,Tue Apr 17 2018 15:00:58 GMT-0600 (Mountain Daylight Time),2_4_24,True,I0.9
0.55,0.002,312,True,0,20,12,False,False,1,18,True,1,Tue Apr 17 2018 18:58:10 GMT-0400 (Eastern Daylight Time),2_4_24,False,I0.9
0.55,0.002,312,True,1,20,12,True,False,1,19,False,1,Tue Apr 17 2018 20:31:53 GMT-0400 (Eastern Daylight Time),2_4_24,False,I0.9
0.55,0.002,312,True,0,20,12,False,False,1,20,True,1,Tue Apr 17 2018 16:51:06 GMT-0400 (Eastern Daylight Time),2_4_24,False,I0.9
0.55,0.002,312,True,2,20,12,False,True,1,21,False,1,Tue Apr 17 2018 17:43:37 GMT-0400 (EDT),2_4_24,True,I0.9
0.55,0.002,312,True,0,20,12,False,False,1,22,True,1,Tue Apr 17 2018 22:38:06 GMT-0400 (EDT),2_4_24,False,I0.9
