bonus,bonusRate,branching,completed,condition,delay_hours,delay_window,feedback,inspectCost,pid,startTime,variance,with_feedback,version
0.66,0.002,312,TRUE,1,24,12,TRUE,1,0,Wed Mar 07 2018 15:02:46 GMT-0700 (Mountain Standard Time),2_4_24,TRUE,R0.9
4.53,0.002,312,TRUE,1,24,12,TRUE,1,0,Thu Mar 08 2018 11:24:29 GMT-0700 (Mountain Standard Time),2_4_24,TRUE,R0.9
0.83,0.002,312,TRUE,0,24,12,FALSE,1,1,Wed Mar 07 2018 17:49:25 GMT-0500 (Eastern Standard Time),2_4_24,FALSE,R0.9
0.54,0.002,312,TRUE,1,24,12,TRUE,1,2,Wed Mar 07 2018 10:49:46 GMT-0600 (CST),2_4_24,TRUE,R0.9
4.24,0.002,312,TRUE,0,24,12,FALSE,1,2,Thu Mar 08 2018 20:24:39 GMT-0600 (CST),2_4_24,FALSE,R0.9
4.94,0.002,312,TRUE,0,24,12,FALSE,1,3,Thu Mar 08 2018 15:40:38 GMT-0500 (Eastern Standard Time),2_4_24,FALSE,R0.9
0.97,0.002,312,TRUE,1,24,12,TRUE,1,3,Wed Mar 07 2018 12:59:46 GMT-0500 (Eastern Standard Time),2_4_24,TRUE,R0.9
,0.002,312,TRUE,1,24,12,TRUE,1,4,Fri Mar 09 2018 12:28:30 GMT-0500 (Eastern Standard Time),2_4_24,TRUE,R0.9
2.7,0.002,312,TRUE,1,24,12,TRUE,1,5,Thu Mar 08 2018 12:17:30 GMT-0500 (Eastern Standard Time),2_4_24,TRUE,R0.9
0.91,0.002,312,TRUE,0,24,12,FALSE,1,5,Wed Mar 07 2018 12:24:04 GMT-0500 (Eastern Standard Time),2_4_24,FALSE,R0.9
4.59,0.002,312,TRUE,1,24,12,TRUE,1,6,Thu Mar 08 2018 12:53:21 GMT-0600 (Central Standard Time),2_4_24,TRUE,R0.9
0.75,0.002,312,TRUE,0,24,12,FALSE,1,6,Wed Mar 07 2018 12:33:20 GMT-0600 (Central Standard Time),2_4_24,FALSE,R0.9
4.36,0.002,312,TRUE,0,24,12,FALSE,1,7,Thu Mar 08 2018 15:34:26 GMT-0600 (Central Standard Time),2_4_24,FALSE,R0.9
0.69,0.002,312,TRUE,0,24,12,FALSE,1,7,Wed Mar 07 2018 10:49:08 GMT-0600 (Central Standard Time),2_4_24,FALSE,R0.9
