pid,assignment_id,worker_id
0,32EYX73OY09EAYPQ3QFQIKREFMPRUL,A0450532L5P3GX6JEY8C
0,3X3OR7WPZZ0593N0V3HP0G0QC6WL83,A0450532L5P3GX6JEY8C
1,32AT8R96GL9QBDP3IFFV8UWA1PVUS1,A10M4SVDCER758
1,3BF51CHDTVAL5IZ79EPCF911CRA0HN,A10M4SVDCER758
2,3DY46V3X3PI8KW1D5IUF77U2OQW55Y,A119S66722ZWOW
2,3NC5L260MOMMU30KG93N2PL6UCPFO0,A119S66722ZWOW
3,34FNN24DCM96MKBXGKZCI4SVJVC5YQ,A12FCLCVIM2CL3
3,3GDTJDAPVUBPFL5LVFI40TFFC808M0,A12FCLCVIM2CL3
4,3SB4CE2TJVVESLX46K4R711890IXAB,A12FQA7MZPXMB2
4,3U088ZLJVKT328UW4DBCGCBORGU0WW,A12FQA7MZPXMB2
5,32KTQ2V7RDFPTQOV07OI0PAQWHU9M8,A15TM7050JAXO8
5,3QRYMNZ7FYHEVNI9AE8Z4402VCRNT2,A15TM7050JAXO8
6,3A7Y0R2P2OOPTE080QH4004RZO5XJM,A166F8N4LPYBR0
6,3PJUZCGDJ6GA81MR66EZV79VCC198G,A166F8N4LPYBR0
7,33CID57104TJ86HUJMMT9ZSFWKOL3V,A177TGXFNCV6KI
7,3NJM2BJS4W6XCRSB47Q1JJ5T75TCP5,A177TGXFNCV6KI
8,3KGTPGBS6XLX6E85O00PHCJ63V0U22,A17LRY89BBPCUG
8,3Z4AIRP3C6DIYXK4A1BYW08559T1XE,A17LRY89BBPCUG
9,3IUZPWIU1O75FY1086LUZWQX5A8KWM,A17RCU47KDTTB3
9,3PB5A5BD0V6LNX4GA7S39OZN5557GX,A17RCU47KDTTB3
10,3E337GFOL98AQIW3QE9S5LLD5HPGNQ,A17UNG7V8T7YU7
10,3TXD01ZLD4H79SNSSEJDARG4NB9U4F,A17UNG7V8T7YU7
11,3570Y55XZPJ42H0HXGI3M1JK94TGYM,A18G34NUTOMQ26
