pid,worker_id,assignment_id,bonus,status
0,A0450532L5P3GX6JEY8C,3X3OR7WPZZ0593N0V3HP0G0QC6WL83,4.32,bonused
1,A10M4SVDCER758,3BF51CHDTVAL5IZ79EPCF911CRA0HN,2.88,bonused
2,A119S66722ZWOW,3NC5L260MOMMU30KG93N2PL6UCPFO0,4.16,bonused
3,A12FCLCVIM2CL3,3GDTJDAPVUBPFL5LVFI40TFFC808M0,4.31,bonused
4,A12FQA7MZPXMB2,3U088ZLJVKT328UW4DBCGCBORGU0WW,4.43,bonused
5,A15TM7050JAXO8,3QRYMNZ7FYHEVNI9AE8Z4402VCRNT2,3.59,bonused
6,A166F8N4LPYBR0,3PJUZCGDJ6GA81MR66EZV79VCC198G,2.19,bonused
7,A177TGXFNCV6KI,3NJM2BJS4W6XCRSB47Q1JJ5T75TCP5,4.31,bonused
8,A17LRY89BBPCUG,3Z4AIRP3C6DIYXK4A1BYW08559T1XE,4.19,bonused
9,A17RCU47KDTTB3,3PB5A5BD0V6LNX4GA7S39OZN5557GX,3.96,bonused
10,A17UNG7V8T7YU7,3TXD01ZLD4H79SNSSEJDARG4NB9U4F,4.24,bonused
11,A18G34NUTOMQ26,3NC5L260MOMMU30KG93N2PL6UD0FOD,3.97,bonused
12,A19PHD8VGE7UQ8,3HPZF4IVNMTRL5KCVUMKWAY5B9WCYX,4.08,bonused
14,A1C8P0NH84SQ76,3CP1TO84PT1GLZIQNZSH90RQ4EA25V,4.49,bonused
15,A1DREJDQUFBRG7,3DZQRBDBSLF6CJCK3VJULL6AOCKS30,4.37,bonused
16,A1GMAPSKUR0O88,32Z9ZLUT1LK68ZRQBZRN5AXJASYHOY,4.32,bonused
17,A1GNG0J27JYSUB,3C6FJU71TQTN7Z1CHL7KQGKBIDPUYJ,3.8,bonused
18,A1GTRY6DNSNLCL,3R2UR8A0IAG3UPR5G3998WLDYIBOXS,4.06,bonused
19,A1HQL1FCG3DL81,3PH3VY7DJLX04T0M87O4MBEA9MCZWK,4.13,bonused
22,A1NDM9R54FJMPW,386PBUZZXFXUTKJJM7EGP694SIPJLM,2.73,bonused
23,A1NO6ZM4D7A6AB,36U2A8VAG1Z943W0N73IKTBDGIIYK9,4.15,bonused
24,A1NUBZR7PSVWM3,3IOEN3P9S7J5FI089E28WNVL85061V,4.45,approved
25,A1PB4AWMU7RASU,35LDD5557A49AM7M44F7QYO678SMKV,4.41,bonused
26,A1PZS3UIH64YP7,36WLNQG78ZAA5VBFHTEVEN07BCTEBF,4.28,bonused
28,A1R5W4RQZTROD8,3TVRFO09GKFVO4O83BTHGFHJ3GDXLX,4.04,bonused
29,A1TP8A80TXLRVK,3E337GFOL98AQIW3QE9S5LLD5HKNGS,3.83,bonused
30,A1VFH312H69CQ3,3IAS3U3I0FGIAFZZO9JUCMRIE972B5,4.15,bonused
31,A1WJ1S1LXP47NH,3HUTX6F6VUN2T9O8SEOGI6RHLCD2O4,4.28,bonused
32,A1WQGOFWG8P6AQ,3LKC68YZ3A3O5PMF6YDN6D76PI9WOF,3.03,bonused
33,A1X44PCQAEIQ78,3D8YOU6S9EKLOFR6B2CS7P0IJ076U0,4.23,bonused
33,A1X44PCQAEIQ78,3D8YOU6S9EKLOFR6B2CS7P0IJ076U0,4.33,bonused
34,A1XE1L4XWYHSYX,32SCWG5HIH48WAJAUGDYXJDJBJG6P5,3.51,bonused
35,A20NJGHYKL73LC,3B4YI393V9WAW0XZTAKVTTEMGU7SSK,3.99,bonused
36,A20SXG1DHDIDI7,3E4GGUZ1T8RJ3I3TUMWNBPA813HK28,3.67,bonused
39,A24UUWI8IIJKT6,37WLF8U1WPQ7LJMUHO8Q12RKHBMK6Y,4.48,bonused
40,A261RQVIAA7DJD,336KAV9KYQSENNSAY1XEKXPJZI12YW,4.51,bonused
42,A27YILK18RTK2L,3M0BCWMB8VW4MVX62T810T77IJJWB4,4.08,bonused
43,A285VL9K5FQIH5,3GFK2QRXX9H2XFGX1JHOX77F8NEW5K,4.3,bonused
44,A2871R3LEPWMMK,3ZAZR5XV01IRQVUHRGO3AH77H42ZCF,4.34,bonused
