pid,assignment_id,worker_id
0,3X3OR7WPZZ0593N0V3HP0G0QC6WL83,A0450532L5P3GX6JEY8C
1,3BF51CHDTVAL5IZ79EPCF911CRA0HN,A10M4SVDCER758
2,3NC5L260MOMMU30KG93N2PL6UCPFO0,A119S66722ZWOW
3,3GDTJDAPVUBPFL5LVFI40TFFC808M0,A12FCLCVIM2CL3
4,3U088ZLJVKT328UW4DBCGCBORGU0WW,A12FQA7MZPXMB2
5,3QRYMNZ7FYHEVNI9AE8Z4402VCRNT2,A15TM7050JAXO8
6,3PJUZCGDJ6GA81MR66EZV79VCC198G,A166F8N4LPYBR0
7,3NJM2BJS4W6XCRSB47Q1JJ5T75TCP5,A177TGXFNCV6KI
8,3Z4AIRP3C6DIYXK4A1BYW08559T1XE,A17LRY89BBPCUG
9,3PB5A5BD0V6LNX4GA7S39OZN5557GX,A17RCU47KDTTB3
10,3TXD01ZLD4H79SNSSEJDARG4NB9U4F,A17UNG7V8T7YU7
11,3NC5L260MOMMU30KG93N2PL6UD0FOD,A18G34NUTOMQ26
12,3HPZF4IVNMTRL5KCVUMKWAY5B9WCYX,A19PHD8VGE7UQ8
14,3CP1TO84PT1GLZIQNZSH90RQ4EA25V,A1C8P0NH84SQ76
15,3DZQRBDBSLF6CJCK3VJULL6AOCKS30,A1DREJDQUFBRG7
16,32Z9ZLUT1LK68ZRQBZRN5AXJASYHOY,A1GMAPSKUR0O88
17,3C6FJU71TQTN7Z1CHL7KQGKBIDPUYJ,A1GNG0J27JYSUB
18,3R2UR8A0IAG3UPR5G3998WLDYIBOXS,A1GTRY6DNSNLCL
19,3PH3VY7DJLX04T0M87O4MBEA9MCZWK,A1HQL1FCG3DL81
20,3U0SRXB7CD51F85H6P344PZK7QVRNS,A1J9RWANLAAMZT
22,386PBUZZXFXUTKJJM7EGP694SIPJLM,A1NDM9R54FJMPW
23,36U2A8VAG1Z943W0N73IKTBDGIIYK9,A1NO6ZM4D7A6AB
24,3IOEN3P9S7J5FI089E28WNVL85061V,A1NUBZR7PSVWM3
25,35LDD5557A49AM7M44F7QYO678SMKV,A1PB4AWMU7RASU
26,36WLNQG78ZAA5VBFHTEVEN07BCTEBF,A1PZS3UIH64YP7
27,30OG32W0SUBC640CKJJ45I01S2ZNE7,A1QVLNM0795FRM
28,3TVRFO09GKFVO4O83BTHGFHJ3GDXLX,A1R5W4RQZTROD8
29,3E337GFOL98AQIW3QE9S5LLD5HKNGS,A1TP8A80TXLRVK
30,3IAS3U3I0FGIAFZZO9JUCMRIE972B5,A1VFH312H69CQ3
31,3HUTX6F6VUN2T9O8SEOGI6RHLCD2O4,A1WJ1S1LXP47NH
32,3LKC68YZ3A3O5PMF6YDN6D76PI9WOF,A1WQGOFWG8P6AQ
33,3D8YOU6S9EKLOFR6B2CS7P0IJ076U0,A1X44PCQAEIQ78
34,32SCWG5HIH48WAJAUGDYXJDJBJG6P5,A1XE1L4XWYHSYX
35,3B4YI393V9WAW0XZTAKVTTEMGU7SSK,A20NJGHYKL73LC
36,3E4GGUZ1T8RJ3I3TUMWNBPA813HK28,A20SXG1DHDIDI7
37,3QL2OFSM96IX96GYOSD9FU0Y7QENC6,A20XK1WZZP9S45
39,37WLF8U1WPQ7LJMUHO8Q12RKHBMK6Y,A24UUWI8IIJKT6
40,336KAV9KYQSENNSAY1XEKXPJZI12YW,A261RQVIAA7DJD
41,34V1S5K3GS1N4N33DRH1BTD46F969L,A26H9WHLF0BXSY
42,3M0BCWMB8VW4MVX62T810T77IJJWB4,A27YILK18RTK2L
43,3GFK2QRXX9H2XFGX1JHOX77F8NEW5K,A285VL9K5FQIH5
44,3ZAZR5XV01IRQVUHRGO3AH77H42ZCF,A2871R3LEPWMMK
46,3IO1LGZLK9XNQIKT8ZBNBXITM8T86Y,A29AEPWSPGH0HX
47,3QIYRE09Y3HDM3608VOPYYH73VY1N9,A2A1VBVLQV59X0
48,35USIKEBNRG8TP7XE106TU8OB3SN61,A2CNS1J378ZRW
49,35L9RVQFCOI1L4BN7L3W4GP8SETHUI,A2CPFQMIKJ5EU9
50,3LO69W1SU3DK2ITIE1TDSTHO0NELGK,A2DVO0UB7RPJG7
51,35H6S234SA04301RA14KZD82KJG65K,A2EW08X2I87RXL
52,3KMS4QQVK2Q34CF5IHBUV84XAAGFKN,A2FRCLOQP2E8XP
53,3YW4XOSQKQLQHTQ95W0BCT91BO11U5,A2GOPWQ8LUI9RX
55,3RU7GD8VPOTDJ8H71TG1YO9BT7PSPN,A2JFRMQ3M0YZT2
56,3D3VGR7TA0FUB4C7O6JPVB1E2CVR39,A2LNJT95BI2B96
57,304SM51WA34BFEGXIOY0344MC65SB3,A2LQ9NP944M61Z
58,3BEFOD78W6TOWKIJJCSRJHZAAPTM42,A2N2GFB33ZMYGF
59,38JBBYETQOAQKWQ62E4869U11KP4EC,A2N4U7Y8N815FD
60,3ATPCQ38J8A3SQNEBGQTQF8HB93YAF,A2N9AKAOR17XB3
61,352YTHGROVD246H8SFCERCRET3WH4Q,A2NZ7RMSBXESNI
62,3LRKMWOKB5HESD2FUNZXY4YL5DP2Z9,A2OXTS31LD48BC
63,3KMS4QQVK2Q34CF5IHBUV84XAAOKF0,A2OY1N37XCCX2S
64,3V5Q80FXIXRD7KVM9G4OU3T6QH623Q,A2Q0ZO59X93I9O
65,3L2IS5HSFAITV0XYAJY990M4ESRUNX,A2T3Y1ENB8XQAJ
67,3KGTPGBS6XLX6E85O00PHCJ63XRU2X,A2UDKHTHITU4PT
68,3180JW2OT4CGRVGYUKY98HD76RU5JN,A2USG66RL7MM4E
69,3IAS3U3I0FGIAFZZO9JUCMRIECUB27,A2V2DBS6NCSIQP
70,30X31N5D63Q6W4B5CAY48TKGUO8ASE,A2V5E94MHIR821
71,3J2UYBXQQLC58TFQDVY8IICB3B460Y,A2X823PACMMOKP
71,3VNL7UK1XFJ27V5SCQPMWZRTTNKFT6,A2X823PACMMOKP
72,3BDCF01OGXUKO9EI87FJZTOS5JCYL3,A2XH7ZKO6GLD7Z
74,31QTRG6Q2TDAFUTG0Z8QGAXCAVTPYC,A2YTTNEX6T1W1W
75,3MYYFCXHJ37O4AMX89UW6CFDE0QG4R,A309E9ZYRIL8X2
76,3BC8WZX3V3WMU6X9ZWKLD94U8NKRRG,A30DB51RPGJT4V
77,31T4R4OBOSG86LOB8LWKJXE87BGC7R,A30KKDFHZL9L4C
78,3FDJT1UU748B2FMGC5YL9WDKLG9K5G,A30O8IWFSZ1B53
79,3A4TN5196KI5ZAUNLUIWAA32LHAHC2,A31Z5TPD8QKE26
80,3WI0P0II61SSTWE4HVP18KNQTPORDB,A32W24TWSWXW
81,3Z2R0DQ0JHEGHIBJY0LKDUX3H7A2EX,A34LSCB90T5KYE
82,3WSELTNVR327B4OK1A3UIYG2W7ITAI,A34RUC9RQ81ILP
83,3FQ5JJ512LOFS4SMG5U73DD6CY1NKV,A34UER5ZQ5APMB
84,3T111IHZ5EQGQ61N5FKZMO4024YR9J,A362CV8OOYJA6W
85,3LOZAJ85YDDPNI20T5BC1JIAXCPX23,A36E31XCX3ECGU
86,3GNA64GUZE4XDIKBPAII5IPTKJCQ5J,A36V1D3F0N69RP
88,3FTYUGLFSUL3O9G6KOCY5JIU159D5P,A37YMOAGJDRK8U
89,3GFK2QRXX9H2XFGX1JHOX77F8N35WI,A38LEVBZ3P5F6T
90,3EFVCAY5L39ZEDZ0SI5CK1NY8F08JT,A38TKZHXX11XIZ
91,3BV8HQ2ZZW1196D85XV17OOOCW0A6B,A39J4G75HW4TLW
92,3EFE17QCRC5L6RJJIG8WPF7K7H5HSZ,A3A47DTHHB3EA1
93,31JLPPHS2UURERKRWE2L1GW9RNKO32,A3CO6JDHHBD2E4
94,3FPRZHYEPY7M4BTOXQOZW8QHNFPV3H,A3CWEN6Y21V7TL
95,39LNWE0K4UW1HZM7D3LH4SQNSTUIU2,A3EJ44J2ZNRMDA
96,3N4BPTXIO8SSNUCVD66TH850KUUUKU,A3EY0M3X679UI
97,3F0BG9B9MPNL9OPG4DE9GO6RA1BY72,A3GEHPUTISVNB4
98,3QUO65DNQUOBDLXABYYMOPM94Z5UOF,A3H2Z8DCHVGTO6
99,3DY4FPOOA1OENDEQ8GPVE6TXTW1RVJ,A3HI10JU5UKE3Z
100,3ZQIG0FLQEGJV9VC7AZ1151EL9EVWK,A3HQ620MQ8QT4J
102,3KMS4QQVK2Q34CF5IHBUV84XA7XFKY,A3HZFB2JLF3JMY
103,3KOPY89HM82DDGTUG1AGTKFNSV0J38,A3J2184VLLNJ1F
104,3I2PTA7R3TU0V15EWXMO778BH9OKQF,A3J5AO0CCSRGBQ
105,392CY0QWG1R201SSYXUZROSTTDZI42,A3JUAN2Y9XTK5L
106,3EKVH9QMEY4BPCXJ25A07CFIHUED2I,A3L0XKGZL9P2ZC
108,3TVSS0C0E104IHRN2FZM0NDTOQQTWY,A3NILXB4J3BO09
109,3HUTX6F6VUN2T9O8SEOGI6RHLBP2OE,A3OYUJ6E6BJS4H
110,34Q075JO1XDA17ET7PMRNMLUV2G10R,A3PULUGR7E1ASV
111,33FOTY3KEMLUVZ99J5FBINNV4RFC1X,A3QMK7ZL17NUO
112,3VELCLL3GKJ1YBTJA75CQT8Y12F1F1,A3RF8ITRI28D4B
113,3MHW492WW0DNQX1Y38TES7ZNN77MVR,A3RKC05CTZRX2M
114,3B3WTRP3DB2ZMMK2QP5YLGWSQCM92Q,A3RL02A3JRAUS4
115,36V4Q8R5ZK0VLP5HH9Z4MK0F6EJQMQ,A3SXV3VD8DJ0YX
117,32Q90QCQ1SLBYYF9N6RODQJXY6IEKF,A3TM9RWWBPQBVM
118,3KMS4QQVK2Q34CF5IHBUV84XA7IFKJ,A3U7FRXVDY12RJ
119,3X73LLYYQ1EOQEREAKRAQLXEKK7HN1,A3V9JFVZQ2XF4Y
120,3QUO65DNQUOBDLXABYYMOPM94ZHOUL,A3VRW4BA7LREYO
121,3TU5ZICBRD1G003DN8PLH2ZKMAZQ89,A3W3LV2UA53QK7
122,3QJOXOW4XJR6OMFC8I44S3B1NEYMEJ,A4YG74WC1EK5V
123,3RU7GD8VPOTDJ8H71TG1YO9BTALSPP,A7IXXE3TRTZ2
124,3NPFYT4IZC4F2CA7SKW13NCB7ZRXGR,A8ZUM922CBH6S
