pid,worker_id,assignment_id,bonus,status
0,A1160COTUR26JZ,3Z4AIRP3C6DIYXK4A1BYW08522LX1L,1.68,bonused
1,A12BTFPKFKKD2I,3OVHNO1VE611VN0VRCJEUNPPZZMZDA,2.17,bonused
2,A12GJUCS7AJ4K,3MH9DQ757WCNL8GCNFLEJGD7A9NUGQ,1.51,bonused
3,A173LV77LF3SHB,35DR22AR5DKE80YJX5PHKTN20M03XK,2.04,bonused
4,A1931U5JHX67RA,3ON104KXQKWK1WCXNEYESF115KQ4WD,1.16,bonused
5,A1ALU9NOW3R98V,3JPSL1DZ5SZ9GRJ04EHI9ZAA4IKAN5,0.24,bonused
6,A1D24G67HQDIXE,3CCZ6YKWR7JRLJ3P887WJNZ47F095X,0.37,bonused
7,A1GCHROMU3JSBI,3M1CVSFP605UJOWSK69ZDT5F9T6QA7,1.79,bonused
8,A1PKCBFB4QY19G,3OWEPKL089CRXPL2XB5YZ88K3ACN7P,0.76,bonused
9,A1TTFE7OTLIJW8,3TPZPLC3M0C9ZRWSBEF0QG1ZYNT3PY,0.0,no bonus
10,A1Y5TDFGIVWIRP,3PM8NZGV8YG6F14LVG1DX1GDAEGQXC,1.82,bonused
11,A1YAVTFZ9BULVV,39N5ACM9HENVETL8SNGAHT4LYF19PJ,1.91,bonused
12,A22NOME8P61FM4,3IUZPWIU1O75FY1086LUZWQX26FWKU,1.52,bonused
13,A2A028LRDJB7ZB,317HQ483I7SOM92YG29VQXYTHQNNIK,0.42,bonused
14,A2FLZP3C6U67JY,3L4PIM1GQTGVR79VDRCFL5XR86TYR8,1.75,bonused
15,A2G0HRT8HS9HRZ,3PJUZCGDJ6GA81MR66EZV79V952980,1.68,bonused
16,A2G4PA35IX5RIA,3JBT3HLQF82AKK3LWLA9UH6EDIRPZG,1.6,bonused
17,A39ZJ6GDHFZRJW,3OHYZ19UGC5RYCJC5THVOOAFUSNOAW,0.13,bonused
18,A3PNUKFE80TO9Z,3R9WASFE2ZGYT7ERIIE4INSABC2ZFL,1.76,bonused
19,A3S300T3IVQ2GC,3V5Q80FXIXRD7KVM9G4OU3T6NDZ238,1.74,bonused
20,A3SL5QRF7MX2P1,3A7Y0R2P2OOPTE080QH4004RWJMJXC,2.14,bonused
21,A3UFERVCN9A8IH,3AUQQEL7U5TQNJURE36GUASAHZ8V0E,0.45,bonused
22,A7MTKYSUBNLFF,3NKQQ8O39Y5K9O6LLPK6DVAAXH7UDG,1.86,bonused
23,ANS2HYRPWB9B4K,3Z2R0DQ0JHEGHIBJY0LKDUX3E2PE2B,1.76,approved
24,ARO8O2P0NMY3Y,3WT783CTPBHV8XR1L280OZ04NWPBCH,1.63,bonused
25,AVS3DZVA6NT1,3TPWUS5F891NW0PCGT4WBDDPXX6WCH,1.59,bonused
26,AXE6PTRG2TFTZ,3MHW492WW0DNQX1Y38TES7ZNK2AMVH,1.42,bonused
27,debugQwAzf,debugwvckC,1.95,submitted
