bonus,bonusRate,branching,completed,condition,inspectCost,pid,startTime,with_feedback,version
1.86,0.0025,312,True,0,1,0,Sun Mar 04 2018 12:17:50 GMT-0600 (CST),False,T1.0
2.1,0.0025,312,True,1,1,1,Sun Mar 04 2018 12:14:13 GMT-0600 (Central Standard Time),True,T1.0
2.07,0.0025,312,True,1,1,2,Sun Mar 04 2018 13:05:52 GMT-0500 (Eastern Standard Time),True,T1.0
2.23,0.0025,312,True,1,1,3,Sun Mar 04 2018 13:33:03 GMT-0500 (Eastern Standard Time),True,T1.0
2.42,0.0025,312,True,1,1,4,Sun Mar 04 2018 09:52:40 GMT-0800 (Pacific Standard Time),True,T1.0
2.3,0.0025,312,True,0,1,5,Sun Mar 04 2018 14:19:12 GMT-0500 (Eastern Standard Time),False,T1.0
0.43,0.0025,312,True,0,1,6,Sun Mar 04 2018 16:10:14 GMT-0500 (Eastern Standard Time),False,T1.0
2.33,0.0025,312,True,0,1,7,Sun Mar 04 2018 12:41:03 GMT-0600 (Central Standard Time),False,T1.0
2.3,0.0025,312,True,1,1,8,Sun Mar 04 2018 13:09:41 GMT-0600 (Central Standard Time),True,T1.0
1.95,0.0025,312,True,1,1,9,Sun Mar 04 2018 13:58:13 GMT-0500 (EST),True,T1.0
2.39,0.0025,312,True,1,1,10,Sun Mar 04 2018 12:49:51 GMT-0700 (Mountain Standard Time),True,T1.0
1.89,0.0025,312,True,0,1,11,Sun Mar 04 2018 09:52:32 GMT-0800 (Pacific Standard Time),False,T1.0
0.12,0.0025,312,True,0,1,12,Sun Mar 04 2018 08:15:53 GMT-1000 (Hawaiian Standard Time),False,T1.0
0.0,0.0025,312,True,0,1,13,Sun Mar 04 2018 12:08:56 GMT-0600 (CST),False,T1.0
