key_press,rt,time_elapsed,trial_type,pid
32.0,27146,27164,text,0
32.0,47837,76011,text,0
32.0,10638,87657,text,0
32.0,28223,134451,text,0
32.0,2719,278983,text,0
32.0,18820,298817,text,0
32.0,16156,16184,text,1
32.0,19832,37025,text,1
32.0,16505,54541,text,1
32.0,13682,113716,text,1
32.0,1364,345456,text,1
32.0,10441,356910,text,1
32.0,6853,6859,text,2
32.0,8944,16809,text,2
32.0,1615,19426,text,2
32.0,2360,37801,text,2
32.0,1190,235968,text,2
32.0,5749,242720,text,2
32.0,22411,22425,text,3
32.0,23554,46989,text,3
32.0,7093,55086,text,3
32.0,15588,104388,text,3
32.0,2154,345304,text,3
32.0,10405,356720,text,3
32.0,11226,11231,text,4
32.0,15205,27441,text,4
32.0,2467,30919,text,4
32.0,4037,64543,text,4
32.0,2511,200967,text,4
32.0,7908,209887,text,4
32.0,78882,78895,text,5
32.0,23814,103717,text,5
32.0,2798,107517,text,5
32.0,6158,138262,text,5
32.0,1447,277551,text,5
32.0,4798,283358,text,5
32.0,19501,19509,text,6
32.0,36437,56952,text,6
32.0,5404,63362,text,6
32.0,12982,100081,text,6
32.0,2096,205276,text,6
32.0,9310,215593,text,6
32.0,18298,18305,text,7
32.0,25994,45305,text,7
32.0,8396,54703,text,7
32.0,17365,152738,text,7
32.0,4030,377591,text,7
32.0,18248,396844,text,7
32.0,47004,47020,text,8
32.0,34217,82246,text,8
32.0,10938,94186,text,8
32.0,22557,153673,text,8
32.0,3576,429936,text,8
32.0,11561,442505,text,8
32.0,73905,73937,text,9
32.0,40324,115320,text,9
32.0,8024,124365,text,9
32.0,15948,169671,text,9
32.0,2415,479649,text,9
32.0,14471,495160,text,9
32.0,40153,40201,text,10
32.0,42329,83580,text,10
32.0,17283,101882,text,10
32.0,23631,234172,text,10
32.0,2566,566009,text,10
32.0,15907,582945,text,10
32.0,2193,2199,text,11
32.0,2368,5571,text,11
32.0,783,7355,text,11
32.0,1174,39934,text,11
32.0,2102,175979,text,11
32.0,11386,188368,text,11
32.0,349537,349575,text,12
32.0,16468,367053,text,12
32.0,2880,370940,text,12
32.0,9272,397524,text,12
32.0,1709,500554,text,12
32.0,10070,511636,text,12
32.0,9523,9532,text,13
32.0,961,11500,text,13
32.0,11641,24145,text,13
32.0,15670,57141,text,13
32.0,1605,161205,text,13
32.0,1370,163580,text,13
