action_times,actions,block,path,queries,rewards,rt,score,simulation_mode,state_rewards,time_elapsed,trial_index,trial_time,trial_id,trial_type,pid
"[23098, 24292, 25002, 25570, 26249]","[u'up', u'up', u'up', u'right', u'down']",pre_test,"[u'0', u'1', u'2', u'3', u'4', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'12', u'23', u'2', u'3', u'4', u'6', u'5', u'9', u'7', u'8', u'10', u'11', u'28', u'24', u'31', u'30', u'32', u'25', u'26', u'27', u'13', u'14', u'15', u'16', u'18', u'19', u'21', u'22', u'20'], u'time': [2694, 3389, 4295, 5038, 5437, 5950, 6572, 7053, 7693, 8429, 9173, 9524, 9980, 10445, 10812, 11309, 11772, 12364, 13108, 13525, 13860, 14908, 15572, 16253, 16780, 17325, 18356, 18693, 19164, 19677]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[1, 2, 2, 9, 43]","[23093, 698, 208, 75, 187]",27.0,"[None, None, None, None, None]","[u'', 1, 2, 2, 9, -14, -2, 43, 16, -53, 30, -40, 0, -1, 1, -2, 13, 21, -11, 5, -9, 22, 38, 0, 0, -7, -6, -20, -5, -45, -10, -2, 7, 32]",91731,0.0,28426.0,-6.28758616178e+18,mouselab-mdp,0
"[17454, 18101, 18661]","[u'up', u'up', u'left']",training,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'4', u'7', u'8', u'3', u'2', u'11', u'10', u'12', u'5', u'6', u'9'], u'time': [9030, 9160, 11087, 11718, 12359, 12791, 13415, 13775, 14142, 14631, 15167, 16927]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[4, 4, 48]","[17451, 129, 54]",44.0,"[None, None, None]","[u'', 4, 4, -48, 48, -2, 4, -48, -24, -2, -4, -48, 24]",133756,1.0,19910.0,-5.00680981918e+18,mouselab-mdp,0
"[7800, 8663, 9320]","[u'up', u'up', u'right']",training,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'3', u'7', u'8', u'6', u'5', u'2', u'1', u'9', u'10', u'11', u'12'], u'time': [1009, 1689, 2161, 2768, 3129, 4097, 4633, 5016, 5648, 6065, 6353, 7001]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[2, 8, 48]","[7796, 373, 163]",46.0,"[None, None, None]","[u'', 2, 8, 48, 24, -2, 4, 24, 24, -2, -4, -48, -24]",145587,2.0,10799.0,-8.92386760362e+18,mouselab-mdp,0
"[13637, 14309, 14917]","[u'right', u'right', u'down']",training,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'4', u'2', u'8', u'12', u'11', u'7', u'6', u'5', u'1', u'9', u'10'], u'time': [1390, 2039, 5371, 6623, 7702, 8430, 9166, 9703, 10246, 10902, 11766, 12390]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[2, 4, 48]","[13635, 183, 106]",42.0,"[None, None, None]","[u'', 4, -8, 24, 24, 2, 4, 24, 48, -2, 4, 24, -48]",167940,3.0,21325.0,6.72269827856e+18,mouselab-mdp,0
"[10474, 11122, 11769]","[u'up', u'up', u'right']",training,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'7', u'3', u'4'], u'time': [6484, 8035, 9139]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-4, 4, 48]","[10469, 152, 147]",45.0,"[None, None, None]","[u'', -4, 4, 48, -48, -4, 4, -24, 24, -4, -8, 24, 24]",183187,4.0,14217.0,-5.99530113684e+18,mouselab-mdp,0
"[12637, 13309, 13980]","[u'right', u'right', u'up']",training,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'11', u'12', u'3', u'4', u'7', u'8', u'6', u'2', u'5', u'1'], u'time': [2358, 3046, 3654, 4605, 5325, 8849, 9166, 10086, 11454, 11982]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[2, -4, 48]","[12634, 169, 173]",36.0,"[None, None, None]","[u'', -2, -4, 48, -24, 2, -4, 48, 24, -2, -8, -24, -24]",199779,5.0,15564.0,2.59386444745e+18,mouselab-mdp,0
"[8534, 9134, 9758]","[u'left', u'left', u'down']",training,"[u'0', u'9', u'10', u'12']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'4', u'7', u'8', u'11', u'12', u'10', u'9'], u'time': [952, 2168, 3240, 4128, 4880, 5488, 7375, 7808]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[4, 4, 48]","[8531, 107, 130]",48.0,"[None, None, None]","[u'', 2, 4, 24, -24, 4, 8, 24, -24, 4, 4, 24, 48]",212387,6.0,11566.0,5.95911582726e+18,mouselab-mdp,0
"[3276, 3980, 4588]","[u'up', u'up', u'right']",training,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3'], u'time': [917]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-4, 8, 48]","[3274, 207, 115]",51.0,"[None, None, None]","[u'', -4, 8, 48, 24, 2, -8, -48, -24, -4, -4, 48, -24]",223235,7.0,9820.0,3.41976950562e+18,mouselab-mdp,0
"[9765, 10397, 11012]","[u'right', u'right', u'down']",training,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'7', u'4', u'3', u'11', u'12', u'8', u'10', u'6', u'5', u'9'], u'time': [750, 2109, 2702, 3549, 4470, 5110, 6558, 7158, 7758, 8614]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-4, 8, 48]","[9763, 139, 122]",42.0,"[None, None, None]","[u'', -4, 8, -24, -48, -4, 8, -48, 48, 4, -8, -24, 48]",236388,8.0,12124.0,-1.41484517897e+18,mouselab-mdp,0
"[5773, 6388, 7013]","[u'right', u'right', u'up']",training,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'8', u'7'], u'time': [3199, 3766]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[4, 8, 48]","[5770, 110, 134]",58.0,"[None, None, None]","[u'', -2, -8, -24, -24, 4, 8, 48, 24, -2, 8, -24, -48]",246061,9.0,8645.0,4.07975241014e+18,mouselab-mdp,0
