,0,1,2,3,4,5,6,7,8
0,If the end result was negative it was not considered,I found the highest ends and compared some of their routes,"the ends first, then their closest nodes.",When I found a highly profitable route,"I would sometimes compare the routes, if they were far apart, mainly the next closest one which could be highly negative making the higher end not worth its trip.","The ending questions made me confused, I did not really notice there was a range each node could belong in","I learned to explore the routes, and to not move until I knew where I was going.","I'm not sure if the quiz at the end was a quality check, but I paid attention; however, I did not notice the nodes fell within a range of possibilities based on their step.",24
1,Not clicking withing the trail,Clicking on the end of the trails,the end of the trails.,When I saw a high number,n/a,,To not be greedy and to stop sometimes sooner when I saw a high number. ,,47
2,Stayed away from paths that had negatives at the end.,I spent a few bucks to see the the last nodes to see the biggest payout and went that way --- the paths never had big negatives so a +60 was always rewarded in the end.,On a node at the end.,I always clicked through to the end.,,Nothing,The reward was worth the risk.,fun,30
3,I didn't click on nodes in the middle,I clicked on the nodes that were at a dead end,Top or bottom nodes,When I hit a high numbered node,I didn't want to sacrifice too much money per click so I only clicked a few times.,It was confusing at first but then I got the idea.,To choose the highest number node.,This was fun.,43
4,I did not go in the direction of low nodes,I started with the farthest nodes and found the highest value,I started with the outside nodes in random order,I stopped clicking when I found a value close to 50,I simply clicked outside nodes until I was satisfied with a value.,It was easy,I learned how to optimize my path,,23
5,"The earlier nodes had very little value and also very little loss, so it wasn't worth clicking the earlier nodes.","I decided to click the end points, since those seemed to have the largest payouts.",The nodes at the end of the paths.,"I thought about stopping if I had a value of 40 or higher, as the odds of me making more than I spent beyond that seemed somewhat low. But I was curious and still clicked the final end-point nodes.","I started the first 5 rounds by clicking every node, and essentially gathering data. After that I determined that the final node points where the highest priority. If two node points with the highest values on different paths had similar values, it seemed best to check the node directly before them to decide which path, and save money by not clicking any other nodes.",It was easy to understand after the practice rounds.,I learned that I should have adapted my strategy much sooner - particularly towards the end where I determined similar high yield nodes on different paths should have the values of the node before them checked.,Thanks - very interesting. All the best with your research!,32
6,I used random movements,I used random movements,Up,When I had nowhere else to go,No,,,,29
7,By checking for negative spaces,By checking for the highest dollar amount.,The nodes on the ends.,When I reached the highest dollar amount.,No.,No.,To look before you go.,,23
8,Intuition,Intuition,I'm unsure.,I stopped clicking when I ran out of circles to click on!,,No.,The game felt very random. There didn't seem to be any patterns.,,47
9,I realized the ending node was most impactful usually.,I started clicking every where.,Everywhere,Towards the end it seemed the less I clicked the bigger the profit.,,No,,,24
10,Try to ear the most,Try to find a pattern,right,when I could not click anymore,trying my best,no,I should not have repeated moves on the next turn,,36
11,when the values were in red concentrated to an area,just tried my luck,the final destination circles,when i found an amount that would bump my score up,,no,how to move the spider to make the most money,thank you,38
12,"i HAVE to step on the nodes immediate to me, so why waste money checking them",in intersections to maybe lend insight to what is nearby,intersections a couple nodes out,i had a good enough idea of a safe direction,,no,big wins or losses are everywhere!,this was a load of fun! thank you!,29
13,"I inspected some, and didn't approach the negative or lower numbers. ","First I inspected the outer circles, and if the number was high enough, I went for it. ",It really varied..no rhyme or reason really,"When I reached the end of the road, and it told me to hit the space bar. ","Nope, just hoped for the best ",The training was confusing...very confusing (like when I had to wait 42 seconds?) ,I learned that it payed to inspect a few nodes first. ,"none, thanks & good luck with your research !",55
14,no plan,I only clicked on the ends and a different one then paid high the time before,the end of any row,when I felt it was high enough,no,no,to look at the end results,no,60
15,I did not click on nodes that were closest,I choose the nodes the furthest away,On the left side,"When I saw a range that was high, 40s and above",No,No,To be patient and take the time to unlock a couple nodes,NA,26
16,Basically none of them that had values ranging -$4 to $4,"I was going to click the end points but that was too expensive, so I picked the point of intersect that you'd inevitably land on regardless of where you went, and then whichever had the greatest value, I clicked the end points of that one.",The point that separates each set of three end points,When I knew I had a path I could take that would benefit me,I guess I kind of considered risk more than reward by basing my initial direction off of which point between end points had the least $ lost or most value,"Yes, I didn't understand at first if there was a click limit or if they were timed",It's probably more profitable in this game not to click on so many nodes,Nope,23
17,I didn't care so much about the inside nodes,I clicked on the end nodes,on the end nodes,when I found a value that was sufficient or revealed all the end nodes,I tried not clicking any nodes at first but started losing a lot of money,no,Its better to be certain of the end outcomes,No,42
18,My prediction,My Prediction,,My prediction,,,,nice,26
19,"Since there were so many nodes, I rarely clicked on a lot of them because I figured I would lose money that way.","I didn't try to check all of the nodes because there were so many, but I tried to click on some from each section and just went with the highest outcome.",The end nodes at the top and the side ending nodes because those seemed to be higher payoffs.,"If I found a really high paying node, I stopped clicking, or if I had clicked too many and still hadn't found a very good outcome.",I tried to keep a balance between figuring out the highest paying nodes without having to click too much since there were so many nodes.,"On the quiz, it asked me about the payoff for the end step and it had a range of I think negative 48 to 48, but in the actual game there was a larger range because I sometimes had a payoff of over 60.  I chose that answer though because it was the closest to the actual answer.","I learned that sometimes it paid off to check a lot of nodes, but I think it was better to only click a few to save money.","I thought it was really fun, thanks.",39
20,I didn't usually click on a first step node or a middle node except maybe a couple of times because I knew I was just using up money and that those nodes didn't have as much potential value or negative value. ,I usually clicked on the last nodes first to try and find the highest value I could find. I wanted to not click too many times since it cost $1 a click.,An end node.,If I was using up too much money clicking end nodes I stopped once I felt I had uncovered a node with a relatively high value. ,"I just tried to balance the cost of discovering a nodes value with a high value end node. I didn't pay much attention to the first step node, or the nodes in between the end nodes since their value was not that great. ",I think it was a little confusing not having a reminder of the possible node  values available during the game. ,I learned how to use strategy and to think about the endpoint rather than what lied in the way.,I had fun completing this study.,38
21,Based on previous clicks ,Best guess/process of elimination,Closest to the spider,When I had enough info to proceed,No,no,This game is a combination of luck and strategy,none,23
22,not sure,gut instinct,up,not sure,none,none,nothing,none,35
23,The lower coin ones I didn't click much if ever.,I clicked on the ends where I felt the highest value would be.,"Top right corner or middle right corner, last space.",When I felt the risk was getting to high to lose money,Not really. I just tried to play it safe and not over click.,Not really. I understood very well.,I learned a strategy on how to mitigate losses to try to win.,Thank you for this study.  Have a great day!,42 
24,Based on how much negative numbers in row,Followed the green values,Each of the middle intersecting lines,When I saw a larger dollar amount,no,no,I'm not sure,no,57
25,"I determined that the closer nodes to the beginning were usually lower amount, so I didn't bother clicking on them.","I tried to figure out which area had the highest amounts. I knew that the end of the lines had the higher (or lowest) amounts. I didn't really care much about the closer nodes, as their amounts were the lowest. So, I tried to find the path that had the largest amount at the end by clicking on the end points mostly.","The very end nodes, because they were worth the most.","I stopped clicking when I felt that I had found the highest amount, or when I had felt as though it wouldn't be worth it to click anymore (because of the fee to click)","I mostly just focused on the end points. The rest of the nodes in between weren't really high/low enough to concern myself over. I knew that if I found a high enough amount, it would be worth it regardless of the smaller amounts along the way.","No, everything was clear and understandable. ","I learned to focus on the bigger picture instead of the smaller details. It was more worth it to spend my money looking for high paying nodes than to spend my time and money worrying about the smaller ""details"" along the way.",Thank you!,33
26,randomly,randomly,in the same pattern,randomly,didn't use a strategy,what the purpose was,weird game,,38
27,I did not choose the inner nodes as they were all small values.,I decided to click on all the endpoint nodes since those had the biggest values.,On one of the nodes at the end of a path.,I stopped clicking when I found a value I considered high.,No.,No.,I learned how to come up with a strategy that would risk the least amount of money while giving me the highest payout.,,23
28,"The closer ones were smaller, so I didn't click on those. ",I looked at the end nodes as they were the largest.  ,at the top right hand side,"Once I found a large enough node, I quit clicking.  ","Hit a big node, stop clicking and go.  ",no,I learned I will stop doing something once I hit my goal. ,fun activity,42
29,I decided not to click on the nodes that were near the start since the cost of the click and how much you made from the node wasn't worth the trouble. Aiming for end nodes and ignoring the nodes in between was better for profit. ,I started to click only end nodes since they were higher value.,The end nodes in the upper right.,Whenever I clicked on an end node that I felt was worth the potential loss from the nodes in between it and the starting node. ,I can't think of anything else to describe that I haven't already covered in a different answer.,No,I don't believe that I really learned anything in this HIT except that the end nodes are higher value and that I am willing to lose money to potentially get more money. ,No,24
30,Not anywhere that wasn't an end?,"I don't know, just clicked on the ends","Right bottom, I guess",When I was running out of money without finding a higher number,No,"No, I'm just having a ""senior moment"" kind of day",That I don't learn very fast sometimes lol,no,50
31,"I didn't bother clicking near end values that were negative or very low compared to the others, and i didn't think it worth the effort to click on every single node.","I went mainly for the final amounts, and then the ones directly next to that if there were two ending values that were both very high.",I think i mostly started with the ending nodes toward the left of the screen.,"When I was decided on which end point I wanted to head for, based on the least loss on the way.","I was happy with a ""good enough"" approach and the possibility of losing some money.",No,"i learned that the furthest nodes had the biggest points values and I could use money to find the best route, but I preferred to save time.",none,40
32,I didn't click on a node closer to the beginning because those don't show much in the way of gains or losses,I clicked on a node at the end because those show the most gains or losses,"I mostly clicked on the same node, and I always clicked on a node at the end of the web",I always chose to click and view one of the nodes in each round,"I clicked on nodes at the end of the web so I could see where they'd lead me.  If they had any gains at all, I went for them.  If not, I went in the opposite direction.",no,"this game has a lot pf luck involved and even if it looks like one path is a good choice, I could be completely wrong.",fun HIT!,25
33,No need to check anything other than the last nodes.,I checked the edges to determine the highest value final node.,"Middle, left outside node.",When I had a large positive in one of the nodes - usually 30 or more.,N/A,No.,Short strategy for this game.,None.,46
34,if there was a negaitve number at the end,I went from left to right,top left end,when I saw a high number,"no, it was mostly random","no, it was good",this was a great survey,"what a unique experiment, I hope to get to do it again in the future",35
35,"If I saw a good positive spot before I had clicked everywhere, I just went with that.","At first I chose to click all spaces directly around me, to give as much information for the start as I could.  After a while I just didn't click.",Only the spaces directly around me.,"Once I was already down in the negative, I realized it didn't really matter anymore, since I was already going to lose a bunch.  I just didn't click and went where my gut took me, which rarely worked out.",Not really.,Nope.,"I'm bad at this, and the last spaces matter so much more than the first.",,30
36,Any intermediate node,I investigated the end nodes,interior end nodes,Once I found a sufficiently large number I stopped checked nodes,Checked ends till I found a largeish number then went,The tutorial didn't explain the investigation stage very well,"What the range of possible end nodes where, I learned when to cut losses and when to go",Was fun!,28
37,"only clicked the highest potential to win/lose, ignored small wins/losses",random ,the end nodes,when i found what i thought was high paying,no,"the airplane tutorial was worse than the actual game, why do i have to wait a minute like some fucked up chinese torture minesweeper game ",nothing,nah ,20
