action_times,actions,block,button_pressed,key_press,path,queries,responses,rewards,rt,score,simulation_mode,stimulus,time_elapsed,trial_index,trial_id,trial_type,pid
,,,,32.0,,,,,1106,,,,94419,,,text,0
,,,,32.0,,,,,1129,,,,131149,,,text,0
,,,,32.0,,,,,1521,,,,202036,,,text,0
,,,,32.0,,,,,1443,,,,283766,,,text,0
,,,,32.0,,,,,922,,,,112006,,,text,1
,,,,32.0,,,,,1379,,,,152118,,,text,1
,,,,32.0,,,,,1807,,,,249501,,,text,1
,,,,32.0,,,,,305971,,,,615069,,,text,1
,,,,32.0,,,,,1296,,,,113709,,,text,2
,,,,32.0,,,,,1006,,,,152299,,,text,2
,,,,32.0,,,,,1808,,,,249548,,,text,2
,,,,32.0,,,,,876,,,,316447,,,text,2
,,,,32.0,,,,,1113,,,,75088,,,text,3
,,,,32.0,,,,,954,,,,111692,,,text,3
,,,,32.0,,,,,1200,,,,192813,,,text,3
,,,,32.0,,,,,1230,,,,274104,,,text,3
,,,,32.0,,,,,1187,,,,160407,,,text,4
,,,,32.0,,,,,1024,,,,219905,,,text,4
,,,,32.0,,,,,1075,,,,290872,,,text,4
,,,,32.0,,,,,9600,,,,387662,,,text,4
,,,,32.0,,,,,793,,,,43803,,,text,5
,,,,32.0,,,,,645,,,,64867,,,text,5
,,,,32.0,,,,,1026,,,,113144,,,text,5
,,,,32.0,,,,,902,,,,161183,,,text,5
