responses,rt,time_elapsed,trial_type,pid
"{""Q0"":""I just rotated spots each time usually."",""Q1"":""Usually if I had gone that was last."",""Q2"":""When I felt the odds were in my favor."",""Q3"":""I different place then the last time."",""Q4"":""Just tried to rotate or go the opposite of where I had gone last.""}",91447,743419,survey-text,0
"{""Q0"":""No"",""Q1"":""44"",""Q2"":""I enjoyed doing your HIT. Thanks!""}",25943,770376,survey-text,0
"{""Q0"":""corect sequence"",""Q1"":""no"",""Q2"":""no"",""Q3"":""likely each round"",""Q4"":""no""}",37772,402624,survey-text,1
"{""Q0"":""no"",""Q1"":""29"",""Q2"":""good""}",38466,442109,survey-text,1
"{""Q0"":""I chose the first spot on all three. But if the first spot was a green 10 I would go with that. if i had to choose all three I went with the one with the highest green spot "",""Q1"":""if there was a red spot i would not pick it "",""Q2"":""if there was red spot "",""Q3"":""top middle "",""Q4"":""""}",750753,1691206,survey-text,2
"{""Q0"":""no it was easy "",""Q1"":""38"",""Q2"":""""}",30638,1722862,survey-text,2
"{""Q0"":""Gut instinct, and clicking the first node (-$1) to see where the best value was."",""Q1"":""Negative numbers are bad, so clicked on the next node."",""Q2"":""When there was a positive value. "",""Q3"":""Right"",""Q4"":""Clicked first node (-$1), if that node was positive, I made profit.""}",172144,1001684,survey-text,3
"{""Q0"":""Nothing at all, easy to understand."",""Q1"":""26"",""Q2"":""Confidentiality/Anonymous is important to me, thanks!""}",59136,1061827,survey-text,3
"{""Q0"":""I'm a little superstitious so when I had good luck going top and then left I stuck with that strategy."",""Q1"":""The first few times I did poorly going down so I decided to not take that path anymore. "",""Q2"":""When I realized the first hints don't help that much"",""Q3"":""Top>"",""Q4"":""N/A""}",80364,3365477,survey-text,4
"{""Q0"":""No"",""Q1"":""22"",""Q2"":""N/A""}",10482,3376969,survey-text,4
"{""Q0"":""I actually just took a guess."",""Q1"":""I just hoped it would work with my guesses"",""Q2"":""When I saw the total become less than what I had"",""Q3"":""the right-hand side"",""Q4"":""It was just a hope and a pray for the green dollar amount""}",100676,592510,survey-text,5
"{""Q0"":""no it was really fun you should do more of these and make them a little harder. The harder it gets the higher the reward amont."",""Q1"":""32"",""Q2"":""Thank you ""}",45329,638854,survey-text,5
"{""Q0"":""After doing a few game without any strategy I realize all I needed to know is in which end I would find a 5 or 10."",""Q1"":""After realizing my focus should be the end I stopped to click in the first circles of each path."",""Q2"":""I lost a couples cents, so that showed that what I was doing wasn't working."",""Q3"":""At the first, then the following circle through the path sequence. "",""Q4"":""Towards the end my strategy was: focus on the final circles  and forget about the path.""}",477284,2189822,survey-text,6
"{""Q0"":""Not at all. The guidelines were pretty clear."",""Q1"":""28"",""Q2"":""Yes, I definitely had fun. Great study! Thank you.""}",161354,2352193,survey-text,6
"{""Q0"":""I was trying to narrow down the most likely option that would give the most money with the fewest clicks."",""Q1"":""Once I had ruled a path out, I didn't click anymore."",""Q2"":""Once I had ruled out most paths."",""Q3"":""The node to the left of the spider."",""Q4"":""Narrowing down the most likely path to take.""}",78306,990150,survey-text,7
"{""Q0"":""The premise was easy to understand."",""Q1"":""35"",""Q2"":""I really enjoyed this task.""}",54658,1045813,survey-text,7
"{""Q0"":""Soonest circle"",""Q1"":""Once  path seemed profitable"",""Q2"":""Once a path was 2/3 known"",""Q3"":""Closest"",""Q4"":""No""}",41555,728957,survey-text,8
"{""Q0"":""No"",""Q1"":""24"",""Q2"":""N/A, it was fun!""}",20145,750108,survey-text,8
"{""Q0"":""I was going with my gut feeling and took risks. I also repeated some of the same clicks. "",""Q1"":""It was my gut feeling."",""Q2"":""Again, I was going with my gut feeling or just risking it. Each click was a gamble. "",""Q3"":""I would click to the left first. I don't know why but I did. "",""Q4"":""I did not really have a strategy. Clicking was a risk no matter what direction I went.""}",191377,741694,survey-text,9
"{""Q0"":""nothing was confusing."",""Q1"":""30"",""Q2"":""i really enjoyed this""}",33730,776430,survey-text,9
"{""Q0"":""just randomly"",""Q1"":""just randomly"",""Q2"":""the game stopped you"",""Q3"":""down"",""Q4"":""nope""}",47494,672745,survey-text,10
