questions,responses,rt,time_elapsed,trial_type,pid
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $1 you make in the game""]",10530,460802,survey-multi-choice,0
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $1 you make in the game""]",25023,348905,survey-multi-choice,1
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $1 you make in the game""]",26106,478056,survey-multi-choice,2
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $1 you make in the game""]",11951,424298,survey-multi-choice,3
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $1 you make in the game""]",84808,562014,survey-multi-choice,4
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $1 you make in the game""]",20482,446225,survey-multi-choice,5
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $1 you make in the game""]",36697,478652,survey-multi-choice,6
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $1 you make in the game""]",9577,428506,survey-multi-choice,7
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $1 you make in the game""]",14516,423207,survey-multi-choice,8
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""$0 to $15"",""$1"",""1 cent for every $1 you make in the game""]",11362,295200,survey-multi-choice,9
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $1 you make in the game""]",12630,298255,survey-multi-choice,10
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $1 you make in the game""]",22037,722902,survey-multi-choice,11
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $1 you make in the game""]",16508,412621,survey-multi-choice,12
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $1 you make in the game""]",19149,360074,survey-multi-choice,13
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $1 you make in the game""]",11975,415247,survey-multi-choice,14
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $1 you make in the game""]",19686,296142,survey-multi-choice,15
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $1 you make in the game""]",9475,360047,survey-multi-choice,16
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $1 you make in the game""]",11569,407100,survey-multi-choice,17
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",null,""1 cent for every $1 you make in the game""]",15789,418065,survey-multi-choice,18
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $1 you make in the game""]",13345,404762,survey-multi-choice,19
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $1 you make in the game""]",10323,344799,survey-multi-choice,20
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $1 you make in the game""]",12552,475088,survey-multi-choice,21
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $1 you make in the game""]",21058,447385,survey-multi-choice,22
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $1 you make in the game""]",33416,381189,survey-multi-choice,23
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""$0 to $15"",""$1"",""1 cent for every $1 you make in the game""]",13637,343062,survey-multi-choice,24
