,0,1,2,3,4,5,6,7
0,Where the negatives congregated,Started with the surrounding three then moved on  from there,left button,Once I felt i had a chance to make money,Nothing,,,
1,Avoided the negative number I clicked on before moving,Just guessed,At the end of a line,I only clicked once.,No.  No strategy just guessing,39,Nope.  Very easy,
2,"If I got a negative 10, I ignored the trail and went elsewhere.","Deductive reasoning, and odds. If I got a positive 10, I followed the trail.",The direction that hadn't been profitable in the past round or two.,"When I was having too much difficulty getting the nodes to reveal themselves. They are very touchy as to where exactly you can click, which led to me wasting time and losing money.","No, nothing else comes to mind. It was fun!",27,"Yes, it said in the instructions that you had a minimum of 7 seconds, I believe, to complete each task. It was more like a maximum of 7 seconds though.",No.
3,I attempted not to explore paths into negative earnings.,I started with the first nodes and expanded based on where I found the highest positive value.,I clicked on the innermost nodes first.,I stopped when I found the best path or one that was good enough.,No,42,No,Thanks.  This was fun.
4,After seeing a negative I tried to go in a different direction.,I tried strategizing ,I kept trying to start with the right side.,When my money was running low.,I figured if I go from right to left that it would work but It really didn't.,47,Nothing was hard to understand.,Thank you for allowing me to be apart of your study.
5,"If a route had a negative number, I would not click on the route unless it appeared to be the lowest. ",I went based off of which node would make the biggest decision. If I clicked a 10 I immediately clicked to another node. ,All of the second nodes.,The second I had 10's or 5's. I felt better taking some decent gains rather than wasting money around other paths.,"Most of my strategy was to start in the second node to determine which path had the best option. I usually had the best chances clicking on the third nodes after the second had been clicked, wasting less clicks.",,,
6,The numbers I was seeing,I figured out that I could start in the middle and do the outside value to see how risky that move would be.,Around the center of the beginning position,If I was in the negative.,Went with my gut for the most part,23,No,I really enjoyed this
7,if the nodes start off as negative,if the first node was positive,the first three nodes,i look at the first node and the end node. if the second one is negative i don't go,the first nodes and the last nodes are the most important in deciding where i go,22,no,
8,The tiles between the beginning ones and the destination.,The last destination.,The outermost tiles.,When there was a clear path to more money.,"I started by clicking closer, but I determined there was sort of a pattern. It didn't help too much. ",45,No,Almost like a route optimization problem.
9,I was not concerned with the ending circles or the first ones as u dont have a general idea of whats going to happen in between. ,"I usually picked the second square to every side so I can get an outlook of the values later, lose first gain later. ",I would click on the middle circles to each side to get a general idea of what happens after the first circle so even if I lost money in first circle I would gain later.,That depended on how much money I lost or gained in the previous round. ,N/A,23,No.,N/A
10,if all three first dots were minus,"first dot then highest amount, never  second dot",,most $,,,,
11,I tried to avoid paths with more negative outcomes in terms of reward,I tried to choose paths which offered the highest reward,The three nodes adjacent to the initial starting point,When I felt satisfied with the reward amount,,,,
12,I made no decisions to click.,I decided not to clock.,I did not click.,I made no clicks.,I relied on randomness.,27,No,
13,"I never clicked after the first set of nodes, just took a chance.",I clicked on one of the first three nodes.  I went to direction of the positive.,the first set of nodes,Only clicked the first set of nodes.,"That is all.  Just clicked the first set of nodes, and took a shot in the dark for the next set.",41,No,This was fun.
14,based on the rules,based on the rules,first three spots,based on the rules,nope.,23,no,
15,If I'd just lost a lot of money on the last turn I didn't click.,I varied where I clicked from turn to turn. ,It depended on what happened in the last round.,If I found two negative spaces I didn't click again.,"Not really. I don't think I had a good strategy. It all seemed pretty random, because I couldn't figure out a pattern. That either means there wasn't one, or I was just bad at it.",43,No.,
16,I guessed,I guessed,I didnt click,I felt like it wasnt worth it,no,20,No,"no
"
17,Avoid circles that came after negative values.,Click the closest circle first then follow the positive values.,The circle directly to the left.,When I found a path with two green circles.,Weighing risk against reward,24,No,Nope
18,random,random,it culd be anywhere,instinct,it was as random as I could mske it,61,no,thank you
19,I did not click on nodes that did not have a revealed path.,"I started at a near node. I the node was green I continued in that direction. If the node was red, I tried a different direction.",One of the three nodes nearest to that start. I don't think I had a preference between any of them.,"I stopped clicking as soon as I found an acceptable path, sometimes settling for the least bad option to avoid clicking away all my money.","No, I think I've covered it.",,,
20,"If I already found a path that was profitable, I would stop.  Also, if a path was shown to be less profitable than one that had already been reveled, I would stop clicking the path",I tried to find the most profitable pat,One of the circles next to the starting point,"If I found a profitable path, at that point I would stop clicking and take the path",,38,No,
21,"I only clicked the end ones, and tried not to click the inner ones.",I clicked the outer nodes looking for the 10,I usually clicked the Left lower node first,"If I found the 10, I stopped clicking",That's it.,41,Not hard at all,This was kind of fun
22,I generally stayed to the left and right,I tried to stay to the left and right,The left and right of the spiders initial position,When i saw a path that made sense,,30,The instructions were very clear,
