action_times,actions,block,path,queries,rewards,rt,score,simulation_mode,state_rewards,time_elapsed,trial_index,trial_time,trial_id,trial_type,pid
"[10481, 19842, 21842]","[u'up', u'up', u'left']",train_basic,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[4, -4, -24]","[10477, 8852, 1487]",-24.0,"[None, None, None]","[u'', 4, -4, -48, -24, 2, 4, 48, -48, -4, 4, 48, -48]",28913,0.0,28761.0,2.61402596453e+18,mouselab-mdp,0
"[2460, 3435, 4644]","[u'up', u'up', u'left']",train_basic,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[2, 8, 48]","[2457, 467, 692]",58.0,"[None, None, None]","[u'', 2, 8, 48, 48, -4, -8, 24, 48, 4, 4, 48, 24]",37368,1.0,7348.0,4.61011171886e+17,mouselab-mdp,0
"[5526, 6734, 7958]","[u'left', u'left', u'up']",train_basic,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[4, -8, 48]","[5525, 529, 710]",44.0,"[None, None, None]","[u'', 2, 4, -48, 24, -4, 8, 24, -48, 4, -8, 48, 24]",48608,2.0,10134.0,8.56308195224e+18,mouselab-mdp,0
"[2942, 3920, 4712]","[u'left', u'left', u'down']",train_basic,"[u'0', u'9', u'10', u'12']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-2, 8, 48]","[2941, 469, 276]",54.0,"[None, None, None]","[u'', 2, 8, -48, -48, -4, 8, 24, 24, -2, 8, -24, 48]",57247,3.0,7543.0,-3.23598444488e+18,mouselab-mdp,0
"[1797, 2645, 3580]","[u'left', u'left', u'down']",train_basic,"[u'0', u'9', u'10', u'12']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[2, 4, 48]","[1796, 330, 411]",54.0,"[None, None, None]","[u'', 4, -4, -48, 48, -4, 8, 48, -24, 2, 4, 24, 48]",65231,4.0,6908.0,-8.59112577635e+18,mouselab-mdp,0
"[5976, 6690, 7746]","[u'right', u'right', u'down']",train_basic2,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[4, 8, 24]","[5974, 199, 536]",36.0,"[None, None, None]","[u'', -2, 4, 24, 24, 4, 8, -48, 24, -2, 8, -48, -24]",78287,5.0,9538.0,-9.08425462157e+18,mouselab-mdp,0
"[5298, 5967, 6870]","[u'up', u'up', u'right']",train_basic2,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-4, 4, 24]","[5297, 159, 395]",24.0,"[None, None, None]","[u'', -4, 4, 24, -24, 4, 4, -48, -48, -4, -4, -48, 24]",87951,6.0,8574.0,3.64738318725e+18,mouselab-mdp,0
"[2766, 3637, 4633]","[u'left', u'left', u'up']",train_basic2,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[4, -4, 48]","[2765, 362, 490]",48.0,"[None, None, None]","[u'', 4, -8, 24, 24, 2, 4, -24, 24, 4, -4, 48, -48]",95335,7.0,6326.0,-7.87683644611e+18,mouselab-mdp,0
"[2096, 2821, 3773]","[u'right', u'right', u'up']",train_basic2,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[4, 4, 48]","[2084, 203, 435]",56.0,"[None, None, None]","[u'', -4, -4, -48, 24, 4, 4, 48, -24, 4, -4, 48, 24]",101446,8.0,5028.0,1.51884547362e+18,mouselab-mdp,0
"[1383, 2110, 3126]","[u'right', u'right', u'up']",train_basic2,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[4, 8, 48]","[1382, 212, 490]",60.0,"[None, None, None]","[u'', -2, -4, 48, -48, 4, 8, 48, 24, 2, -4, -48, -24]",106782,9.0,4278.0,-6.80295122046e+18,mouselab-mdp,0
