key_press,rt,time_elapsed,trial_type,pid
32.0,1455,67687,text,0
32.0,1592,109375,text,0
32.0,1328,149638,text,0
32.0,1308,187699,text,0
32.0,1452,219466,text,0
32.0,1635,73709,text,1
32.0,1422,168289,text,1
32.0,1263,393762,text,1
32.0,1694,561654,text,1
32.0,1472,632556,text,1
32.0,1290,141482,text,2
32.0,1178,198314,text,2
32.0,1237,271060,text,2
32.0,1220,501682,text,2
32.0,1246,582851,text,2
32.0,1940,283553,text,3
32.0,1229,396909,text,3
32.0,1133,432916,text,3
32.0,14860,616975,text,3
32.0,4189,686996,text,3
32.0,1011,47087,text,4
32.0,953,73483,text,4
32.0,914,97654,text,4
32.0,1152,142595,text,4
37.0,545,256512,text,4
32.0,1205,37792,text,5
32.0,1126,85070,text,5
32.0,959,119460,text,5
32.0,928,155627,text,5
32.0,1020,204559,text,5
32.0,1767,101682,text,6
32.0,1416,153370,text,6
32.0,986,201931,text,6
32.0,1322,241876,text,6
32.0,1169,283384,text,6
32.0,1319,107471,text,7
32.0,1495,186798,text,7
32.0,1132,243282,text,7
32.0,1348,349072,text,7
32.0,1456,448084,text,7
