pid,assignment_id,worker_id
0,3IO1LGZLK9XNQIKT8ZBNBXITJT568B,A11LMPX0LDO5SJ
1,3HRMW88U16Q7XW0I0B5P7E9XQTL0M1,A12CRTAKIUFWY4
2,30X31N5D63Q6W4B5CAY48TKGR4FASE,A136K9Y7E4C3G
3,3HUTX6F6VUN2T9O8SEOGI6RHIRE2OW,A149LX6UAZTRZ9
4,3FTF2T8WLRILY2I949U59NCHR0D9WZ,A14U2QSUPQ1KHJ
5,30LSNF239UVSXND5UJBBY9VV6IF2I1,A15PHL4MXNUMJ5
6,35H6S234SA04301RA14KZD82H1B56B,A165JJ5VZPS2UX
7,33CID57104TJ86HUJMMT9ZSFT2X3LJ,A168QBUOKNFWWK
8,3HRMW88U16Q7XW0I0B5P7E9XQTC0MS,A19N39JUEWX1DL
9,3FPRZHYEPY7M4BTOXQOZW8QHKYB3VA,A1B14CS9DW7008
10,3PPTZCWALQKVKW40WYPYUMWOI10QZ5,A1BQSWW4F8V733
11,3G2UL9A02DEJQ4FAYUJHXXMY87667R,A1CUGWGAVOV7YF
12,3K3R2QNK8B386YT499F4RZRK6JF9UB,A1CVEGXF01FRV6
13,3VNL7UK1XFJ27V5SCQPMWZRTQ31FTG,A1E235KE3CSO7H
14,3YDGXNSEOZU9BVGFPBI8EZYFN0684V,A1G34TESSXG1R8
15,3PH3VY7DJLX04T0M87O4MBEA62BZWC,A1HIFA234B4LTH
16,3TESA3PJ31A40A7PPGSN5BGATX4MMI,A1IX014TB9W3NM
17,3UN61F00HWPXPJZB2P7IA8ZYDQD5R1,A1JCKICNOC7DAB
18,3E7TUJ2EGCMMPWIINEPFHZNWKJHD92,A1KRIV45MI59RL
19,3RKNTXVS3MYNUJ9UM92MAQ4ADQI4AB,A1KWIJXTC47YWE
20,35L9RVQFCOI1L4BN7L3W4GP8PWJUHI,A1MURUJBBDJWM6
21,3Y5140Z9DXGOPUEBWHMNUM3OHTVIPU,A1P5H6G2CN68GH
22,358UUM7WRZ3CCNDUQIMF8SDU4UK7RQ,A1P93UEIZKA5DC
23,3Z4XG4ZF48R09X4P9MKDBAVDGVAX8Y,A1PP6DN7HB6Q9P
24,3X0H8UUIT1O33HE8DFUWQIH7JOZWSU,A1RH3X41J9J05R
25,3Z7EFSHGN9E2L0U2QY0IDWRW6MVXC4,A1SAPSGG5N2G70
26,3VJ40NV2QINWD8ILBT8CJT07I4RTOF,A1SBGJGUDG8CAB
27,32RIADZISS4RUFVO39ODVQYGZUCS4E,A1TSPXCPRHR73P
28,382M9COHEHFP1UKLHKVQJDSVXGRUE2,A1VJAEPNA6YARO
29,3E7TUJ2EGCMMPWIINEPFHZNWKK59DO,A1XYCED6VJLH29
30,32N49TQG3GIMOWS96539JG4NQ8AAVK,A205CDFBTD05Q4
31,3JMSRU9HQIUPE99LMA5VFZUEBOPEV2,A20CTEQAKXXEZP
