pid,assignment_id,worker_id
0,3DZQRBDBSLF6CJCK3VJULL6AL73S36,A021107112W946RL28SWJ
1,3Z4AIRP3C6DIYXK4A1BYW08522LX1L,A1160COTUR26JZ
2,3EG49X351UCD5JL1G7NFRWZMADB6X2,A11WC9ZQ6ZEJ1R
3,37QW5D2ZRGMSDGIQFCEQC2EL1TU8SD,A1262TEV60N57Z
4,3OVHNO1VE611VN0VRCJEUNPPZZMZDA,A12BTFPKFKKD2I
5,3MH9DQ757WCNL8GCNFLEJGD7A9NUGQ,A12GJUCS7AJ4K
6,3LJ7UR74RHDUE23JVD7RWWOAC8UN4D,A131SY7TIBKHZR
7,3LQ8PUHQFLSWCDGND4EILD1XVEOIHG,A13T4HYP8E5F21
8,3O7L7BFSHEPKS3PLN36C0A4K3YTIEX,A14UEP5ZUIB40W
9,31EUONYN2V3BQ0MAGO8RKBOSF2SVO8,A14V90N59Y93CH
10,3NG53N1RLVJV0O2YNVAWHX9AE9MP8D,A150MDVC0C92OT
11,3OE22WJIGIOEYXAQQBQQDUH9GW5UQU,A15K0L6NGQXOM0
12,3QHK8ZVMIMIOB1L7YF1ZRIQRH5ALBE,A15T7G57U3LOXM
13,3M0NZ3JDP1Y6RAL2C61VWB1XMITZ57,A160X70DIV96VM
14,35DR22AR5DKE80YJX5PHKTN20M03XK,A173LV77LF3SHB
15,3II4UPYCOJ7SHVZ44G013UDLUW7DQ0,A183AGX2TAK2DC
16,3TPZPLC3M0C9ZRWSBEF0QG1ZYNZ3P4,A189N0JT5DMGNF
17,3ON104KXQKWK1WCXNEYESF115KQ4WD,A1931U5JHX67RA
18,3JPSL1DZ5SZ9GRJ04EHI9ZAA4IKAN5,A1ALU9NOW3R98V
19,3NGI5ARFTT5DPOIDOA1H2NM204V1PM,A1BRCCV1X4E6X5
20,3DBQWDE4Y6YCAL7J9IQ11OUOC51N5W,A1CE3DR200PXSS
21,3CCZ6YKWR7JRLJ3P887WJNZ47F095X,A1D24G67HQDIXE
22,3NLZY2D53PPBF7NWHXYPM7LQ35BLQQ,A1EOVMNNT8Q370
23,3DBQWDE4Y6YCAL7J9IQ11OUOC5TN5O,A1G8GHKT8UY32V
24,3M1CVSFP605UJOWSK69ZDT5F9T6QA7,A1GCHROMU3JSBI
25,3JMSRU9HQIUPE99LMA5VFZUEB0NVE5,A1IKK576F8WY0N
26,3H0W84IWBK2XL2S4DQ0LE25BQUDREB,A1JBKJSWW648TB
27,3E1QT0TDFP93J2FUA0KC808YSW58I0,A1KF05U5IO9AFG
28,3CN4LGXD5XOOQ17X2FG2DCMHGSXY4D,A1LHW5K13730KD
29,39OWYR0EPKRYOH4MMWCL4GJ85JHFYV,A1LLV91TH1SR7C
30,39K0FND3AHF3Y9Y0SD2IWKLAZTZMA8,A1OGYNX8GZ6999
31,3DOCMVPBTNEG0ADPDIMNV5UA3PONN7,A1P14RA5FX3HPD
32,3OWEPKL089CRXPL2XB5YZ88K3ACN7P,A1PKCBFB4QY19G
33,33F859I566DMP52H7UM1ZQXK0O3BHZ,A1Q29ZWY4NGSQS
34,3IQ1VMJRYTKORPF634YDRYFQZT59A7,A1ROKI5TP0V6OW
35,3TPZPLC3M0C9ZRWSBEF0QG1ZYNT3PY,A1TTFE7OTLIJW8
36,352YTHGROVD246H8SFCERCREQWN4HN,A1WBJCM45FIL11
37,3PM8NZGV8YG6F14LVG1DX1GDAEGQXC,A1Y5TDFGIVWIRP
38,39N5ACM9HENVETL8SNGAHT4LYF19PJ,A1YAVTFZ9BULVV
39,39N5ACM9HENVETL8SNGAHT4LYF9P97,A205O6F9ZVJVWW
40,3DIP6YHAPCSR3XD8EHULNLA602HE8E,A209JKJR9QN5S0
41,31JLPPHS2UURERKRWE2L1GW9OI03OK,A21A3RHLAZIQRD
42,3F1567XTNW5GE5MNS0VZHYUV3BUQ9Y,A22EDUBB602EJD
43,3IUZPWIU1O75FY1086LUZWQX26FWKU,A22NOME8P61FM4
44,3FTF2T8WLRILY2I949U59NCHRCC9WM,A24UI9QFKXGUVP
45,3TR2532VIPUCAZGCZ38E0NR7ZFUJ6P,A25T9J29KSG209
46,317HQ483I7SOM92YG29VQXYTHQNNIK,A2A028LRDJB7ZB
47,3U0SRXB7CD51F85H6P344PZK4MFRN1,A2AU2E2E9A0I1
48,3QXNC7EIPIVSQCHOB21K2S3DQ8H906,A2C39KTRMOM1XZ
49,3570Y55XZPJ42H0HXGI3M1JK6X3GYF,A2DHKTD1GSBXR2
50,3L4PIM1GQTGVR79VDRCFL5XR86TYR8,A2FLZP3C6U67JY
51,33F859I566DMP52H7UM1ZQXK0O2HB4,A2G01WGDESTYFC
52,3PJUZCGDJ6GA81MR66EZV79V952980,A2G0HRT8HS9HRZ
53,3JBT3HLQF82AKK3LWLA9UH6EDIRPZG,A2G4PA35IX5RIA
54,3A1COHJ8NJV3N74A4I2R8O7JSIG8HV,A2I4A4WGWII18Z
55,30X31N5D63Q6W4B5CAY48TKGRHWSA3,A2LAWUYEMWODHH
56,3FFJ6VRIL1OL1DARFW7XFL2G9XJI0B,A2O0GVJ7DBZSJB
57,3WT783CTPBHV8XR1L280OZ04NWWBCO,A2OQSU55QMPJBB
58,3FQ5JJ512LOFS4SMG5U73DD69VSNKD,A2RBG0G82ULSZC
59,3B1NLC6UGZWAT38G6TMK9AQ82S0PGU,A2RK260P2QPKV4
60,384PI804XS1AVRDNK81BJN83IWXS0R,A2SL8R5B6QX4Q0
61,3P4MQ7TPPXCCYSZV72C5DFUM5BWBBH,A2UH7S28FLBI9X
62,3IUZPWIU1O75FY1086LUZWQX27SWK9,A2XC32LYCBO8FN
63,3B1NLC6UGZWAT38G6TMK9AQ82S5PGZ,A2XTK2B7R27RBG
64,3JW0YLFXRTGWAYVHXK4XN7KSPDTWWV,A30YZQ7FMNZAJF
65,37U1UTWH9VMGC1ID0NELMS9PFRB8RP,A32MY4GWOHA4GK
66,3ATTHHXXWAOTY3G2I8W4OZPRJ45IX7,A34I7PV0UHRMKS
67,3OF2M9AATGO99T65JT51Y0KFJ8RKZG,A35TB5M1ZHJZT4
68,3E47SOBEYQW5V557RC0HAM4HIMHCIZ,A375OH1S7FO7L8
69,3XIQGXAUMC8W9JZ6ZHS7XAZI5OTX7Q,A38LW34F26WBJY
70,3WYP994K17R25OBBL39HAA6VCJ56Y8,A393Z33TDFK4TZ
71,3VE8AYVF8MXJ9BD49SER53V6C3X8FR,A397QMUM40C4SH
72,33LKR6A5KEKBHGBK5RA17XNZP661TF,A39UP17TULK90G
73,3SNLUL3WO4N370UDY6IUW8IF6QGUL3,A39XIQCFSCNHFU
74,3OHYZ19UGC5RYCJC5THVOOAFUSNOAW,A39ZJ6GDHFZRJW
75,3QEMNNSB2XZIBDUP8HRV33WQP6H7DY,A3B2YRXL26RPVH
76,3M23Y66PO27592Z2MXHSSOIUVY86ST,A3BPF5TQJ9RQAZ
77,3C2NJ6JBKAHKBOOWRZO33HRCSUYN2H,A3BS3RZIWQMB9G
78,35H6S234SA04301RA14KZD82HEZ56P,A3HWJUL2SS2QNT
79,3OVR4I9USPJFHZGBB5Z80QJFHJH4QH,A3M4T4G9YA061U
80,3LWJHTCVCCMPFFD0VMVRRUG669QFQG,A3MDTZ48MVTNIW
81,33TIN5LC04APN7D9JACTUKXX2K9Y97,A3NE2U7C5OGT9W
82,3FTF2T8WLRILY2I949U59NCHRCB9WL,A3OZSYUHMCKTPW
