,pid,temp,p_error,logp,satisfice,prune,model,trial_idx,k,N,bic
5,3,1e-10,1.0,-7.447751280047907,,,random,0,0,3,14.895502560095814
11,3,1e-10,1.0,-20.76040438389537,,,random,1,0,10,41.52080876779074
17,3,1e-10,1.0,-22.55216385312343,,,random,2,0,13,45.10432770624686
23,3,1e-10,1.0,-22.55216385312343,,,random,3,0,13,45.10432770624686
29,3,1e-10,1.0,-22.55216385312343,,,random,4,0,13,45.10432770624686
34,3,0.14563484775012445,0.34,-10.0076380945982,,,optimal,5,2,5,23.2341520140646
40,3,1e-05,0.01,-4.8141660364000645,,,optimal,6,2,4,12.40092079503991
46,3,1e-05,0.01,-1.806367572991136,,,optimal,7,2,2,4.999029507102162
53,3,1e-10,1.0,-14.02700249205801,,,random,8,0,6,28.05400498411602
58,3,1e-05,0.01,-1.806367572991136,,,optimal,9,2,2,4.999029507102162
64,3,1e-05,0.28,-5.380878799103198,,,optimal,10,2,4,13.534346320446177
70,3,0.08286427728546843,0.4,-7.950541372655375,,,optimal,11,2,4,18.67367146755053
76,3,1e-05,0.01,-1.806367572991136,,,optimal,12,2,2,4.999029507102162
82,3,1e-05,0.01,-1.806367572991136,,,optimal,13,2,2,4.999029507102162
88,3,1e-05,0.01,-1.806367572991136,,,optimal,14,2,2,4.999029507102162
94,3,1e-05,0.01,-1.806367572991136,,,optimal,15,2,2,4.999029507102162
100,3,0.4498432668969444,0.01,-13.49991865152072,,,optimal,16,2,7,30.891657601152065
106,3,1e-05,0.01,-3.4215794435813742,,,optimal,17,2,3,9.040383464498968
112,3,1e-05,0.01,-4.8141660364000645,,,optimal,18,2,4,12.40092079503991
118,3,1e-05,0.01,-1.806367572991136,,,optimal,19,2,2,4.999029507102162
124,3,1e-05,0.26,-10.928757134878204,,,optimal,20,2,6,25.441033208212517
130,3,1e-05,0.01,-1.806367572991136,,,optimal,21,2,2,4.999029507102162
136,3,1e-05,0.01,-6.620506064393825,,,optimal,22,2,6,16.82453106724376
142,3,1e-05,0.01,-1.806367572991136,,,optimal,23,2,2,4.999029507102162
148,3,1e-05,0.01,-6.629114438930426,,,optimal,24,2,7,17.15004917597148
154,3,1e-05,0.01,-5.91969082609729,,,optimal,25,2,5,15.058257477062782
160,3,1e-05,0.01,-6.629114438930426,,,optimal,26,2,7,17.15004917597148
166,3,1e-05,0.39,-17.389137324240046,,,optimal,27,2,11,39.57406519407684
172,3,1e-05,0.01,-4.8141660364000645,,,optimal,28,2,4,12.40092079503991
178,3,1e-05,0.01,-4.8141660364000645,,,optimal,29,2,4,12.40092079503991
185,6,1e-10,1.0,-22.55216385312343,,,random,0,0,13,45.10432770624686
191,6,1e-10,1.0,-22.55216385312343,,,random,1,0,13,45.10432770624686
197,6,1e-10,1.0,-21.85901667256348,,,random,2,0,11,43.71803334512696
202,6,1e-05,0.46,-18.228829524682318,,,optimal,3,2,13,41.58755776428771
208,6,0.5963623316594636,0.01,-16.579008306155778,,,optimal,4,2,9,37.55246576698399
215,6,1e-10,1.0,-19.37411002277548,,,random,5,0,9,38.74822004555096
221,6,1e-10,1.0,-21.85901667256348,,,random,6,0,11,43.71803334512696
226,6,1e-05,0.01,-6.629114438930426,,,optimal,7,2,7,17.15004917597148
233,6,1e-10,1.0,-15.972912641113323,,,random,8,0,7,31.945825282226647
239,6,1e-10,1.0,-15.972912641113323,,,random,9,0,7,31.945825282226647
245,6,1e-10,1.0,-15.972912641113323,,,random,10,0,7,31.945825282226647
250,6,1e-05,0.01,-1.806367572991136,,,optimal,11,2,2,4.999029507102162
256,6,1e-05,0.01,-6.620506064393825,,,optimal,12,2,6,16.82453106724376
262,6,1e-05,0.01,-1.806367572991136,,,optimal,13,2,2,4.999029507102162
268,6,1e-05,0.01,-6.620506064393825,,,optimal,14,2,6,16.82453106724376
274,6,1e-05,0.01,-4.8141660364000645,,,optimal,15,2,4,12.40092079503991
280,6,1e-05,0.01,-5.91969082609729,,,optimal,16,2,5,15.058257477062782
286,6,1e-05,0.01,-4.8141660364000645,,,optimal,17,2,4,12.40092079503991
292,6,1e-05,0.01,-6.620506064393825,,,optimal,18,2,6,16.82453106724376
298,6,1e-05,0.01,-5.91969082609729,,,optimal,19,2,5,15.058257477062782
304,6,1e-05,0.01,-1.806367572991136,,,optimal,20,2,2,4.999029507102162
310,6,1e-05,0.01,-5.91969082609729,,,optimal,21,2,5,15.058257477062782
316,6,1e-05,0.26,-15.300628211970587,,,optimal,22,2,11,35.39704696953791
322,6,1e-05,0.01,-3.4215794435813742,,,optimal,23,2,3,9.040383464498968
328,6,1e-05,0.01,-6.629114438930426,,,optimal,24,2,7,17.15004917597148
334,6,1e-05,0.01,-4.8141660364000645,,,optimal,25,2,4,12.40092079503991
340,6,1e-05,0.01,-6.629114438930426,,,optimal,26,2,7,17.15004917597148
346,6,1e-05,0.01,-1.806367572991136,,,optimal,27,2,2,4.999029507102162
352,6,1e-05,0.01,-5.91969082609729,,,optimal,28,2,5,15.058257477062782
358,6,1e-05,0.01,-6.629114438930426,,,optimal,29,2,7,17.15004917597148
360,7,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,0,3,1,5.1298987149230735
366,7,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,1,3,1,5.1298987149230735
372,7,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,2,3,1,5.1298987149230735
378,7,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,3,3,1,5.1298987149230735
384,7,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,4,3,1,5.1298987149230735
390,7,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,5,3,1,5.1298987149230735
396,7,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,6,3,1,5.1298987149230735
402,7,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,7,3,1,5.1298987149230735
413,7,1e-10,1.0,-5.049856007249537,,,random,8,0,2,10.099712014499074
419,7,1e-10,1.0,-5.049856007249537,,,random,9,0,2,10.099712014499074
420,7,1e-10,0.14,-7.9136561956675076,15.0,-30.0,depth_first,10,3,9,22.41898612334367
428,7,1e-10,0.34,-15.447569965226972,25.0,-30.0,progressive_deepening,11,3,13,38.58998800283855
435,7,3.23745754281764,0.01,-7.443941628184119,15.0,-30.0,best_first,12,4,8,23.20564942308758
439,7,1e-10,0.3,-6.258384628111334,5.0,-30.0,breadth_first,13,3,4,16.67565233958234
444,7,1e-10,0.4,-5.319519574198639,5.0,-30.0,depth_first,14,3,3,13.934876014401608
451,7,1e-10,0.3,-6.166817434585845,5.0,-30.0,breadth_first,15,3,4,16.49251795253136
457,7,1e-10,0.24,-6.434783564689473,5.0,-30.0,breadth_first,16,3,5,17.697880866681245
466,7,1e-05,0.28,-5.380878799103198,,,optimal,17,2,4,13.534346320446177
471,7,1e-05,0.2,-7.208340756269826,10.0,-30.0,best_first,18,4,6,21.583719389451872
475,7,1e-10,0.3,-6.258384628111334,5.0,-30.0,breadth_first,19,3,4,16.67565233958234
484,7,1e-05,0.21,-11.020294876691398,,,optimal,20,2,7,25.932410051493424
490,7,1e-05,0.28,-5.380878799103198,,,optimal,21,2,4,13.534346320446177
496,7,0.2559547922699533,0.41,-18.164848378179823,,,optimal,22,2,10,40.93486694234774
502,7,1e-05,0.01,-6.620506064393825,,,optimal,23,2,6,16.82453106724376
508,7,1e-05,0.01,-3.4215794435813742,,,optimal,24,2,3,9.040383464498968
514,7,0.3393221771895329,0.01,-13.47160331154607,,,optimal,25,2,8,31.102089706451814
520,7,1e-05,0.01,-4.8141660364000645,,,optimal,26,2,4,12.40092079503991
526,7,1e-05,0.01,-1.806367572991136,,,optimal,27,2,2,4.999029507102162
532,7,1e-05,0.21,-11.020294876691398,,,optimal,28,2,7,25.932410051493424
538,7,1e-05,0.01,-4.8141660364000645,,,optimal,29,2,4,12.40092079503991
545,10,1e-10,1.0,-22.55216385312343,,,random,0,0,13,45.10432770624686
551,10,1e-10,1.0,-20.76040438389537,,,random,1,0,10,41.52080876779074
554,10,1e-10,0.33,-14.492511097060587,25.0,-30.0,progressive_deepening,2,3,13,36.67987026650579
560,10,1e-10,0.11,-9.883634037592225,10.0,-30.0,progressive_deepening,3,3,13,27.462116147569063
569,10,1e-10,1.0,-22.55216385312343,,,random,4,0,13,45.10432770624686
575,10,1e-10,1.0,-22.55216385312343,,,random,5,0,13,45.10432770624686
581,10,1e-10,1.0,-22.55216385312343,,,random,6,0,13,45.10432770624686
587,10,1e-10,1.0,-22.55216385312343,,,random,7,0,13,45.10432770624686
