pid,temp,p_error,logp,satisfice,prune,model,trial_idx,k
3,1e-10,0.87,-7.366272680683515,5.0,-30.0,depth_first,0,3
3,1e-10,0.87,-7.366272680683515,5.0,-30.0,breadth_first,0,3
3,1e-10,0.87,-7.366272680683515,5.0,-30.0,progressive_deepening,0,3
3,1e-05,0.87,-7.366272680683515,5.0,-30.0,best_first,0,4
3,1e-05,0.8,-7.200891202116384,,,optimal,0,2
3,1e-10,1.0,-7.447751280047907,,,random,0,0
3,1e-10,0.77,-19.89698325082201,5.0,-30.0,depth_first,1,3
3,1e-10,0.63,-18.37163188043837,5.0,-30.0,breadth_first,1,3
3,1e-10,0.95,-20.73023464260148,5.0,-30.0,progressive_deepening,1,3
3,1e-05,0.5,-16.37577696752143,5.0,-30.0,best_first,1,4
3,10.0,0.01,-20.332796355982985,,,optimal,1,2
3,1e-10,1.0,-20.76040438389537,,,random,1,0
3,1e-10,0.88,-22.035410308901547,10.0,-30.0,depth_first,2,3
3,1e-10,1.0,-22.55216385312343,5.0,-30.0,breadth_first,2,3
3,1e-10,0.91,-22.293800973728015,10.0,-20.0,progressive_deepening,2,3
3,2.44205309454865,0.98,-22.546491614297928,10.0,-20.0,best_first,2,4
3,10.0,0.01,-21.957627380537662,,,optimal,2,2
3,1e-10,1.0,-22.55216385312343,,,random,2,0
3,1e-10,0.78,-20.980109900263926,20.0,-30.0,depth_first,3,3
3,1e-10,1.0,-22.55216385312343,5.0,-30.0,breadth_first,3,3
3,1e-10,0.8200000000000001,-21.633860716260177,20.0,-30.0,progressive_deepening,3,3
3,1e-05,1.0,-22.55216385312343,5.0,-30.0,best_first,3,4
3,5.689866029018292,0.01,-22.06292099848029,,,optimal,3,2
3,1e-10,1.0,-22.55216385312343,,,random,3,0
3,1e-10,0.79,-21.82437297817201,30.0,-30.0,depth_first,4,3
3,1e-10,1.0,-22.55216385312343,5.0,-30.0,breadth_first,4,3
3,1e-10,0.8300000000000001,-22.17076176272485,30.0,-30.0,progressive_deepening,4,3
3,7.543120063354608,0.8300000000000001,-22.071421228312296,30.0,-30.0,best_first,4,4
3,3.23745754281764,0.01,-20.84108025678044,,,optimal,4,2
3,1e-10,1.0,-22.55216385312343,,,random,4,0
3,1e-10,0.9,-11.781216348107359,5.0,-30.0,depth_first,5,3
3,1e-10,0.9,-11.781216348107359,5.0,-30.0,breadth_first,5,3
3,1e-10,0.9,-11.781216348107359,5.0,-30.0,progressive_deepening,5,3
3,1e-05,0.9,-11.781216348107359,5.0,-30.0,best_first,5,4
3,0.14563484775012445,0.34,-10.0076380945982,,,optimal,5,2
3,1e-10,1.0,-11.947560950378175,,,random,5,0
3,1e-10,0.8300000000000001,-9.381105804877004,5.0,-30.0,depth_first,6,3
3,1e-10,0.8300000000000001,-9.381105804877004,5.0,-30.0,breadth_first,6,3
3,1e-10,0.8300000000000001,-9.381105804877004,5.0,-30.0,progressive_deepening,6,3
3,1e-05,0.8300000000000001,-9.381105804877004,5.0,-30.0,best_first,6,4
3,1e-05,0.01,-4.8141660364000645,,,optimal,6,2
3,1e-10,1.0,-9.750336373041954,,,random,6,0
3,1e-10,0.55,-3.8643017884476185,5.0,-30.0,depth_first,7,3
3,1e-10,0.55,-3.8643017884476185,5.0,-30.0,breadth_first,7,3
3,1e-10,0.55,-3.8643017884476185,5.0,-30.0,progressive_deepening,7,3
3,1e-05,0.55,-3.8643017884476185,5.0,-30.0,best_first,7,4
3,1e-05,0.01,-1.806367572991136,,,optimal,7,2
3,1e-10,1.0,-5.049856007249537,,,random,7,0
3,1e-10,0.95,-13.983364371545422,5.0,-30.0,depth_first,8,3
3,1e-10,0.95,-13.983364371545422,5.0,-30.0,breadth_first,8,3
3,1e-10,0.95,-13.983364371545422,5.0,-30.0,progressive_deepening,8,3
3,1e-05,0.95,-13.983364371545422,5.0,-30.0,best_first,8,4
3,1.0481131341546852,0.01,-13.452746233207455,,,optimal,8,2
3,1e-10,1.0,-14.02700249205801,,,random,8,0
3,1e-10,0.55,-3.8643017884476185,5.0,-30.0,depth_first,9,3
3,1e-10,0.55,-3.8643017884476185,5.0,-30.0,breadth_first,9,3
3,1e-10,0.55,-3.8643017884476185,5.0,-30.0,progressive_deepening,9,3
3,1e-05,0.55,-3.8643017884476185,5.0,-30.0,best_first,9,4
3,1e-05,0.01,-1.806367572991136,,,optimal,9,2
3,1e-10,1.0,-5.049856007249537,,,random,9,0
3,1e-10,0.6,-8.398633456691682,5.0,-30.0,depth_first,10,3
3,1e-10,0.6,-8.398633456691682,5.0,-30.0,breadth_first,10,3
3,1e-10,0.6,-8.398633456691682,5.0,-30.0,progressive_deepening,10,3
3,1e-05,0.6,-8.398633456691682,5.0,-30.0,best_first,10,4
3,1e-05,0.28,-5.380878799103198,,,optimal,10,2
3,1e-10,1.0,-9.750336373041954,,,random,10,0
3,1e-10,0.8300000000000001,-9.381105804877004,5.0,-30.0,depth_first,11,3
3,1e-10,0.8300000000000001,-9.381105804877004,5.0,-30.0,breadth_first,11,3
3,1e-10,0.8300000000000001,-9.381105804877004,5.0,-30.0,progressive_deepening,11,3
3,1e-05,0.8300000000000001,-9.381105804877004,5.0,-30.0,best_first,11,4
3,0.08286427728546843,0.4,-7.950541372655375,,,optimal,11,2
3,1e-10,1.0,-9.750336373041954,,,random,11,0
3,1e-10,0.55,-3.8643017884476185,5.0,-30.0,depth_first,12,3
3,1e-10,0.55,-3.8643017884476185,5.0,-30.0,breadth_first,12,3
3,1e-10,0.55,-3.8643017884476185,5.0,-30.0,progressive_deepening,12,3
3,1e-05,0.55,-3.8643017884476185,5.0,-30.0,best_first,12,4
3,1e-05,0.01,-1.806367572991136,,,optimal,12,2
3,1e-10,1.0,-5.049856007249537,,,random,12,0
3,1e-10,0.55,-3.8643017884476185,5.0,-30.0,depth_first,13,3
3,1e-10,0.55,-3.8643017884476185,5.0,-30.0,breadth_first,13,3
3,1e-10,0.55,-3.8643017884476185,5.0,-30.0,progressive_deepening,13,3
3,1e-05,0.55,-3.8643017884476185,5.0,-30.0,best_first,13,4
3,1e-05,0.01,-1.806367572991136,,,optimal,13,2
