,action,pid,state,trial_id,trial_index
0,5,3,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,0
1,7,3,"(0, Cat, Cat, Cat, Cat, 2, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,0
2,13,3,"(0, Cat, Cat, Cat, Cat, 2, Cat, -24, Cat, Cat, Cat, Cat, Cat)",-2147483648,0
3,5,3,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,1
4,1,3,"(0, Cat, Cat, Cat, Cat, -4, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,1
5,9,3,"(0, -4, Cat, Cat, Cat, -4, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,1
6,11,3,"(0, -4, Cat, Cat, Cat, -4, Cat, Cat, Cat, 4, Cat, Cat, Cat)",-2147483648,1
7,10,3,"(0, -4, Cat, Cat, Cat, -4, Cat, Cat, Cat, 4, Cat, -24, Cat)",-2147483648,1
8,12,3,"(0, -4, Cat, Cat, Cat, -4, Cat, Cat, Cat, 4, -8, -24, Cat)",-2147483648,1
9,4,3,"(0, -4, Cat, Cat, Cat, -4, Cat, Cat, Cat, 4, -8, -24, 48)",-2147483648,1
10,3,3,"(0, -4, Cat, Cat, -48, -4, Cat, Cat, Cat, 4, -8, -24, 48)",-2147483648,1
11,2,3,"(0, -4, Cat, -24, -48, -4, Cat, Cat, Cat, 4, -8, -24, 48)",-2147483648,1
12,13,3,"(0, -4, 8, -24, -48, -4, Cat, Cat, Cat, 4, -8, -24, 48)",-2147483648,1
13,9,3,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,2
14,12,3,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, -2, Cat, Cat, Cat)",-2147483648,2
15,10,3,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, -2, Cat, Cat, -24)",-2147483648,2
16,4,3,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, -2, 8, Cat, -24)",-2147483648,2
17,2,3,"(0, Cat, Cat, Cat, -24, Cat, Cat, Cat, Cat, -2, 8, Cat, -24)",-2147483648,2
