pid,temp,p_error,logp,satisfice,prune,model,high_score
1,5.689866029018293,0.15000000000000002,-241.14780569919097,25.0,-10.0,best_first,False
2,3.2374575428176398,0.24000000000000002,-269.4667869012323,25.0,-15.0,best_first,True
3,1e-10,0.25,-411.68708666696125,15.0,-15.0,breadth_first,True
5,7.543120063354607,0.11,-294.30132656948916,25.0,-30.0,best_first,False
6,1e-10,1.0,-93.80416140479495,,,random,True
7,1e-10,0.25,-301.38602407041117,10.0,-10.0,satisfruning_random,False
9,1e-10,1.0,-108.9042216631316,,,random,False
10,1e-10,0.25,-276.09458552402646,10.0,-5.0,satisfruning_random,False
11,0.19306977288832497,0.12,-321.58719524130163,,,optimal,False
12,1e-10,1.0,-76.94848072384615,,,random,True
13,3.2374575428176398,0.15000000000000002,-224.97522768281783,25.0,-5.0,best_first,False
14,0.08286427728546843,0.16,-274.97401709480323,,,optimal,True
15,5.689866029018293,0.17,-307.50740186458427,25.0,-10.0,best_first,True
16,7.543120063354607,0.25,-465.1425466818329,25.0,-30.0,best_first,True
17,1e-10,1.0,-88.4105338584426,,,random,True
18,1e-10,0.13,-103.653400508533,5.0,-5.0,depth_first,False
19,1e-10,0.25,-228.04563077793327,10.0,-5.0,satisfruning_random,True
21,1e-10,0.14,-122.35383690672552,10.0,-10.0,breadth_first,
23,1e-10,1.0,-117.01821989497421,,,random,
24,4.291934260128778,0.14,-245.0018536508834,25.0,-15.0,best_first,False
25,0.19306977288832497,0.25,-365.1911307503513,,,optimal,True
26,1.8420699693267164,0.15000000000000002,-236.6456931151267,25.0,-15.0,best_first,True
27,1e-10,0.01,-116.83706608927643,5.0,-5.0,satisfruning_random,False
28,1e-10,0.25,-242.12920986839546,10.0,-10.0,satisfruning_random,True
29,1e-10,0.09,-87.53086858327254,10.0,-5.0,breadth_first,True
30,7.543120063354607,0.12,-279.6076247968762,25.0,-20.0,best_first,True
32,4.291934260128778,0.17,-239.91936058558238,25.0,-30.0,best_first,False
33,4.291934260128778,0.15000000000000002,-299.9852351649459,25.0,-30.0,best_first,True
34,1e-10,0.25,-300.95344599915205,5.0,-5.0,satisfruning_random,True
35,1e-10,0.25,-180.695887273705,5.0,-5.0,depth_first,False
36,1e-10,1.0,-97.54183102307836,,,random,True
38,1e-10,1.0,-91.85792062257411,,,random,False
39,1e-10,0.25,-239.0119098636647,15.0,-5.0,breadth_first,False
41,2.44205309454865,0.23,-224.06653615006985,15.0,-15.0,best_first,False
44,0.19306977288832497,0.25,-279.19765339038844,10.0,-20.0,satisfruning_optimal,False
45,1e-10,0.25,-265.55816938974965,10.0,-5.0,satisfruning_random,False
46,0.5963623316594636,0.19,-438.82178214583746,,,optimal,False
47,0.04714866363457394,0.15000000000000002,-137.9274232532325,5.0,-5.0,satisfruning_optimal,False
48,4.291934260128778,0.14,-245.9336814119279,20.0,-10.0,best_first,False
49,1e-10,0.25,-101.33785330655844,5.0,-30.0,depth_first,True
50,0.19306977288832497,0.2,-312.5449809152417,15.0,-30.0,satisfruning_optimal,False
51,0.14563484775012445,0.12,-258.3080193091174,,,optimal,True
52,5.689866029018293,0.15000000000000002,-298.0483468475006,25.0,-15.0,best_first,True
53,1e-10,0.25,-214.2688275222917,10.0,-5.0,breadth_first,True
54,1e-05,0.22,-205.70344693534045,25.0,-30.0,best_first,True
55,10.0,0.21000000000000002,-282.9160877510068,25.0,-10.0,best_first,False
56,0.19306977288832497,0.11,-293.162733201324,,,optimal,False
57,1.8420699693267164,0.25,-217.18523597687263,20.0,-10.0,best_first,True
59,0.10985411419875572,0.09999999999999999,-286.24420404487074,,,optimal,False
60,0.14563484775012445,0.25,-233.92532470834809,15.0,-10.0,satisfruning_optimal,True
