,0,1,2,3,4,5,6,7,8
0,seeing the numbers with minus sign and red in color.,seeing the numbers in green,in the center on the spider,when the node ends,seeing two green numbers I decided to move my arrow towards it.,"It was easy ,nothing confusing.",I learned to be proactive with the numbers.Not to lose the game and gain more score.,Fun to play the game.,39
1,"I pretty much only decided on where TO click, starting with the outer nodes and working my way in logically. I pretty much never clicked the nodes closest to the start",I worked on the outer nodes first and tried to use luck and logic to find the positive 48 quickly,outside nodes that were different than where I had gone before,When I found a logical clear path,tried to figure everything out in as few clicks as possible,no,Game theory in action,thanks!,31
2,Seeing too many negatives,completely random unless I saw a negative in one line,the end of the lines,When I saw a positive 24 or 48 ,"I tried clicking nodes, then tried a few rounds without clicking to see how well I could guess. I lost the most that way, so went back to chancing -$1 instead of -$48","The test was hard, as there seemed to be no rhyme or reason to which node you were expected to try before moving the spider",I am a horrible guesser!,Fun game!,51
3,In the most closest nodes.,Always find the highest values in the out most nodes.,In the nodes beside the center.,when I find 48 in the out most nodes.,No I don't have any. It was a fun game.,No.,After practice we change our strategies.,,33
4,lowest possible payout,based on highest possible payout,-24,when i reached the maximum amount,try to earn an average of $50 per round,"at first, i must've mis read the instructions",be decisive,none,33
5,"I do not click on any non-leaf nodes. Their value is not important, at least on a rough heuristic level.",I continue clicking on the leaf nodes until I find one with a $48 dollar value. Then I stop clicking and go to that node.,"I always started clicking on the leaf nodes to the left, but there's no real reason I made this choice.","When I discover a leaf node with $48 value, I stop clicking and go to that node.","No - just keep uncovering leaf nodes until I find one with a $48 value. Then I go to that node. That was my entire strategy. This strategy might not be strictly optimized (?), but it works as a decent heuristic approach.",No - this was a very fun HIT! Very well-constructed. Much more intriguing than most MTurk surveys. ,Um...always go to the first leaf node you discover with a $48 value.,"Thanks for the survey! It was a lot of fun, and very well-constructed. You know, by MTurk survey standards. I'd still rather watch Netflix though. And you guys pay really well.",25
6,It didnt matter to click closer to me because I had to go through those anyway to get to the last ones,I learned quickly to click father out to find the ones with +48,The last ones,When I found the 48 by clicking on it or due process of elimination,not really,No,I learned to check for the outer ones first,,23
7,i decided not to click on the negative numbers.,i wanted to look at the end totals to decide where to go.,top left node,i stopped clicking when i found a positive 48 or if i couldn't find a positive 48 then i settled for a positive 24.,i worked left to right for the most part to find the best positive number.,no,i learned to check a lot of options before deciding what to choose.,interesting and fun survey!,41
8,the ones closest to me were the smallest,corners were largest,left corners,when I found what I learned was largest,corners,no,amount closest to me were smallest and furthest away were the largest,no,40
9,anywhere that was negative I wouldn't go to it,Whichever lead to the node with the most money,top left,once I found 48 I quit clicking,no,no,I learned how to pick which way to go depending on what the end result would be.,no,42
10,The inner spaces seemed to have lower values so I didn't click there.,The far outer seemed to be where the highest values were so i clicked there first.,bottom outer,When I found the +48.,Just started with the outside until I found the highest value.,No,To strategically select where to go.,,61
11,"I only checked one end node of each path, looking for a positive one. If I had a round where I found no positive nodes, I would check the other end ones. ","At first, I foolishly decided to check the first nodes to see which ones led to positive results. After several rounds I realized that the best nodes to check were the final ones so I could head toward one with a high value. ",Bottom right end node. ,When I found an end node worth 48. ,That's all. I wish I had figured it out sooner; I could have gotten a much larger bonus! ,"No, I just didn't figure it out quickly enough. ",I learned how to analyze this game. ,NA,38
12,If it was red I would not go that way. ,I would buy until I saw green then go for that. ,"In the beginning, I was leaning more towards the top right and the left right. ",if It was 24 or 48 that was the best I could get. ,"It was frustrating at first, but I slowly got the hang of it. ",The beginning was confusing. ,I learned that you have to spend money to make money. ,,26
13,When you hit on a negative result respond by acting as though the negative was moving clockwise.,Figured there was some kind of pattern to it. I ended up with negative 48 at the end the figure would then move to the opposite side. ,To the right.,When you got to the end.,No it was all just trying to figure out yours. ,Trying to figure out which way the numbers were moving,"To not over think things, the game was based on luck",N/A,61
14,Where the lowest value was,I just guessed,The end,When I found the highest amount,no,no,randomness,none,25
15,Did not want the negative values,I tried to get the most money ,the ends ,when I starting losing too much money,I tried to uncover the space with 48 but did not do it beyond 4 clicks in order to not waste money,no,I probably clicked too many points,,29
16,I chose to click in groups to have to most outcome,I clicked the last nodes randomly,The last nodes on the left or right,When I found a path that offered a good amount of money,,No,Sometimes its better to take less risk and do something safe,,20
17,i just went with my instinct,I took turn up left ad right,it changed,the arrows wouldnt let me go anymore,no I went with my instinct ,no,nothing,,35
18,"Sometimes I knew the nodes were opposite, so I would only click the nodes I wasn't at all sure about. ",Went for the highest ending number. Clicked on ending nodes first. ,last nodes you could move to because they had the highest values,Once I figured that I thought I had the best choice. ,,no,I was actually more into playing the game than earning the bonus. ,,36
19,I tried not to click in the middle because this might not tell me how much value the path had overall,I mostly clicked the last circles in each path to reveal higher amounts. The last circle seemed to reveal the highest positive amount and highest negative amount.,I liked to click the last circle of different paths because they seemed to have higher positive amounts and higher negative amounts.,I stopped clicking when I reached the end of path.,I tried to click on the last circle because this seemed to reveal the higher positive amounts and higher negative amounts. If I clicked on a last circle with a certain path with a higher positive amount I would follow this path.,Nothing confusing or hard to understand.,I learned to take the knowledge I learned earlier to help me later.,Very interesting,46
20,I didn't go for any of the inner nodes as the pattern was that they had immaterial values compared to the outer ones. ,"Always starting with the outer nodes, but no logic as to which specific ones.",Any of the outer nodes. Maybe there was a pattern to them across rounds; I didn't pay attention closely enough to remember.,If I discovered a 48 I would stop and go straight to it. Otherwise I would click all outer nodes and then go to a path to a 24.,"I always revealed outer nodes until I either saw a +48 or had uncovered all of them. I didn't do the expected value calculations, but my gut told me that only $1 per node, it was worth it to spend every round for the chance of discovering a 48 (it seemed that a 48 was at least every other round).",No.,"You have to spend money to make money, but I already knew that.",None - fun game. ,31
21,guess,guess,yes,when i found 48,no,no,to find the best node,none,32
22,The first node wasn't worth very much so I barely would click on it.,"I learned that the last nodes is where the real money is, and there was typically only one $48 node. I clicked on the outer nodes until I found the highest, or what I could presume was the highest in that set.",At a random last node.,"If I was reasonably assured I would at least get $48 or $24 dollars at the end, regardless of any minuses I would incur in the first two nodes.",,No,I learned to check the outer nodes first. The practice set really helped to establish this method.,,23
23,"Whenever the end node was a negative number, I did not bother clicking around that area. I followed the green.","I decided where to click by centering around any $48 I found. If I found one or two, then I'd see which had any negatives around it.","I was most likely to click on an end node in any direction (top, left, right).","I decided when I found a $48 next to another green, positive number. I didn't need to know every node - just the one that had the $48.",Nothing else. I just followed the biggest green and avoided exploring the red.,Nothing was confusing.,I learned to prioritize. Prioritize my energy and resources towards the biggest prize and ignoring the rest.,Very fun game. It was enjoyable playing.,26
24,I did not click on any of the interior nodes unless they were a turning point,I clicked the end nodes since they had the highest payout,I did every round,"If I got a +48, I would usually stop since you would get a positive payout",I just looked for the highest end payout and the clicked over to it,No,Nothing really,No,52
25,random,random,no,"random,",just random choosing,no,that chances are unpredictable,,42
26,i used the nod,i checked the noded,up,when it told me i was done ,no,no ,to take a risk ,,21
27,If there was a - at the end.,random guess,random,when I saw a positive number,no,no,I could have had a better strategy.,,52
28,"If I was going to lose too much money, I didn't click there.",I tried to choose which would provide the most money by evaluating the ending amount and factoring in the losses/gains on the way.,At the end nodes.,"If I found one that had a high paying end node, I chose that one because it would be worth it even losing some on the way.","I tried to always go with the final node that had the most money, because it was usually worth it.","It was confusing during the training when it seemed to have different rules on how many nodes and which nodes I should click on, even if several trials had the same amount of nodes.","I learned that it was usually worth the risk to choose the node with the higher payoff, and not to waste too much money investigating nodes.",,33
29,,,,,,,,,
30,the first step nodes does not matter,check on the last step nodes,the last step nodes,when I see +48 on the last step node,the +48 nodes seems to go in a pattern but later the pattern change,none,always check on the last step nodes,,23
31,Based on where maximum payoff was on the previous try. Chances were it would not be there again.,Last node of every path - where payoff is the maximum. Then follow path to it.,Where max payoff was not in the previous round (or the one before that),When I had a reasonable idea where the maximum payoff ($48) was based on the value at other nodes,Look for the $48 (last) node and follow path to it. The $48 would more than pay for the cost of clicking more than one node.,No,"As always, good strategy is everything.",ComMents,54
32,I went with my gut on this as well. I was not very successful,I did use some dollars in the beginning but then i just tried to go with m gut. ,i most likely went up instead of to the sides,"I could only click when i am on the first node so once i got pass that, i went with my gut",There really was not too much to my strategy. I just did what i felt was going to be right. But was not very successful,no,To always use the help. I should have kept using the clicking. also you never know what number is going to show up ,,31
33,I guessed,I guessed.,anywhere.,when I found a green high number,I guessed on everything.,no,I'm sure I learned something but I don't know what.,,48
34,not middle first,corners first then work my way to middle,bottom right corner,when i found 48,"not really, just clicked corners hoping for +48",no,This game seems easy to win,,34
35,the first and second steps pay the least,the final steps pay the most,the corners ,when i saw a good payout of $48 ,no ,no ,that following instructions gets you paid! ,no ,23
36,"Guessing, Instinct",Randomly,right,I never did click because I did not want to use up a dollar,"no, I just was testing out what move would be best",no nothing was too hard to understand,never trust my instinct. I should click before moving,seems like there were more negative values in the later rounds,27
37,Based on what the last notes provides and what journey is provides the best result.,At first I clicked all the last nodes and from there I decided where to go next.,The lower end node on the left.,When I found the node with the highest result.,I used the $1 fee to open all ending nodes to see which one has the most points and then I go from there. ,No,I learned to be resourceful and to use as less money as possible.,Thank you!,28
38,I quit clicking if I found a 48 because that is the highest possible number and I would not click nodes that had a positive number next to them because most of them time it was a negative number next to it,I clicked the nodes on the outer edges until I found a 48 or I revealed all of the nodes and if I found a 24 then I would click the first nodes to see what path to follow,The outer edges of the paths,When I hit the 48 or when I revealed the path to the best 24,I used what I learned in the training.,No,To check the nodes on the outside first to find the end of the path.,Thanks.,25
39,I didn't waste my clicks on the 4 or 8 nodes,I clicked on the nodes that I new were the highest value,right side top,when I found a positive value in the largest category,,no,I started to learn the patterns fairly quickly,no,36
