button_pressed,rt,stimulus,time_elapsed,trial_type,pid
0.0,37575,"<h1 id=""youarebeginningatwostageexperiment"">You are beginning a two-stage experiment</h1>

<p>This experiment has two stages which you will complete in separate HITs.
The total base payment for both HITs is $2.00.</p>

<p>Stage 1 takes about 5 minutes. It pays only  $0.10 but you can earn a performance-dependent but it makes you eligible
to participate in Stage 2 where you can earn $1.90 in 10 minutes plus a performance-dependent
bonus of up to $3.50 ($1.30 is a typical bonus). 
You will complete Stage 2 in a second HIT which you can begin <b>tomorrow
between 9:39 PM
and 10:39 AM</b>.
If you do not begin the HIT within this time frame, you will not receive the
second base payment or any bonus.           </p>

<p>By completing both stages, you can make up to
$5.50, but if you don't complete Stage 2, you will lose your bonus from Stage 1 and the HIT would be a very bad deal for you.</p>

<div class=""alert alert-warning"">
  Please do <b>NOT<b> continue unless you are certain that you will complete the second HIT which
  which becomes available <b>tomorrow
between 9:39 PM
and 10:39 AM</b>. Completing only the first HIT would be a very bad deal for you (corresponding to a wage of $1.20/hour) and it would be bad for us too. You will be much better of if you complete both HITs (corresponding to a wage of about $15.20/hour.) and we need that for our experiment to work.
</div>",37594,button-response,0
0.0,25064,"<h1 id=""youarebeginningatwostageexperiment"">You are beginning a two-stage experiment</h1>

<p>This experiment has two stages which you will complete in separate HITs.
The total base payment for both HITs is $2.00.</p>

<p>Stage 1 takes about 5 minutes. It pays only  $0.10 but you can earn a performance-dependent but it makes you eligible
to participate in Stage 2 where you can earn $1.90 in 10 minutes plus a performance-dependent
bonus of up to $3.50 ($1.30 is a typical bonus). 
You will complete Stage 2 in a second HIT which you can begin <b>tomorrow
between 3:02 PM
and 3:02 AM</b>.
If you do not begin the HIT within this time frame, you will not receive the
second base payment or any bonus.           </p>

<p>By completing both stages, you can make up to
$5.50, but if you don't complete Stage 2, you will lose your bonus from Stage 1 and the HIT would be a very bad deal for you.</p>

<div class=""alert alert-warning"">
  Please do <b>NOT<b> continue unless you are certain that you will complete the second HIT which
  which becomes available <b>tomorrow
between 3:02 PM
and 3:02 AM</b>. Completing only the first HIT would be a very bad deal for you (corresponding to a wage of $1.20/hour) and it would be bad for us too. You will be much better of if you complete both HITs (corresponding to a wage of about $15.20/hour.) and we need that for our experiment to work.
</div>",25165,button-response,1
0.0,3122,"<h1 id=""welcomeback"">Welcome back</h1>

<p>Thanks for returning to complete Stage 2!</p>

<p>After practicing on the simple version of Web of Cash in Stage 1, you can now use what you have learned to earn real money in the difficult version.</p>

<p>Before you begin, let us give you a brief refresher of how the game works.</p>",3140,button-response,1
0.0,17298,"<h1 id=""youarebeginningatwostageexperiment"">You are beginning a two-stage experiment</h1>

<p>This experiment has two stages which you will complete in separate HITs.
The total base payment for both HITs is $2.00.</p>

<p>Stage 1 takes about 5 minutes. It pays only  $0.10 but you can earn a performance-dependent but it makes you eligible
to participate in Stage 2 where you can earn $1.90 in 10 minutes plus a performance-dependent
bonus of up to $3.50 ($1.30 is a typical bonus). 
You will complete Stage 2 in a second HIT which you can begin <b>tomorrow
between 5:41 PM
and 5:41 AM</b>.
If you do not begin the HIT within this time frame, you will not receive the
second base payment or any bonus.           </p>

<p>By completing both stages, you can make up to
$5.50, but if you don't complete Stage 2, you will lose your bonus from Stage 1 and the HIT would be a very bad deal for you.</p>

<div class=""alert alert-warning"">
  Please do <b>NOT<b> continue unless you are certain that you will complete the second HIT which
  which becomes available <b>tomorrow
between 5:41 PM
and 5:41 AM</b>. Completing only the first HIT would be a very bad deal for you (corresponding to a wage of $1.20/hour) and it would be bad for us too. You will be much better of if you complete both HITs (corresponding to a wage of about $15.20/hour.) and we need that for our experiment to work.
</div>",17317,button-response,2
0.0,19529,"<h1 id=""youarebeginningatwostageexperiment"">You are beginning a two-stage experiment</h1>

<p>This experiment has two stages which you will complete in separate HITs.
The total base payment for both HITs is $2.00.</p>

<p>Stage 1 takes about 5 minutes. It pays only  $0.10 but you can earn a performance-dependent but it makes you eligible
to participate in Stage 2 where you can earn $1.90 in 10 minutes plus a performance-dependent
bonus of up to $3.50 ($1.30 is a typical bonus). 
You will complete Stage 2 in a second HIT which you can begin <b>tomorrow
between 10:49 AM
and 10:49 PM</b>.
If you do not begin the HIT within this time frame, you will not receive the
second base payment or any bonus.           </p>

<p>By completing both stages, you can make up to
$5.50, but if you don't complete Stage 2, you will lose your bonus from Stage 1 and the HIT would be a very bad deal for you.</p>

<div class=""alert alert-warning"">
  Please do <b>NOT<b> continue unless you are certain that you will complete the second HIT which
  which becomes available <b>tomorrow
between 10:49 AM
and 10:49 PM</b>. Completing only the first HIT would be a very bad deal for you (corresponding to a wage of $1.20/hour) and it would be bad for us too. You will be much better of if you complete both HITs (corresponding to a wage of about $15.20/hour.) and we need that for our experiment to work.
</div>",19663,button-response,3
0.0,5506,"<h1 id=""welcomeback"">Welcome back</h1>

<p>Thanks for returning to complete Stage 2!</p>

<p>After practicing on the simple version of Web of Cash in Stage 1, you can now use what you have learned to earn real money in the difficult version.</p>

<p>Before you begin, let us give you a brief refresher of how the game works.</p>",5527,button-response,3
0.0,95007,"<h1 id=""youarebeginningatwostageexperiment"">You are beginning a two-stage experiment</h1>

<p>This experiment has two stages which you will complete in separate HITs.
The total base payment for both HITs is $2.00.</p>

<p>Stage 1 takes about 5 minutes. It pays only  $0.10 but you can earn a performance-dependent but it makes you eligible
to participate in Stage 2 where you can earn $1.90 in 10 minutes plus a performance-dependent
bonus of up to $3.50 ($1.30 is a typical bonus). 
You will complete Stage 2 in a second HIT which you can begin <b>tomorrow
between 8:54 PM
and 9:54 AM</b>.
If you do not begin the HIT within this time frame, you will not receive the
second base payment or any bonus.           </p>

<p>By completing both stages, you can make up to
$5.50, but if you don't complete Stage 2, you will lose your bonus from Stage 1 and the HIT would be a very bad deal for you.</p>

<div class=""alert alert-warning"">
  Please do <b>NOT<b> continue unless you are certain that you will complete the second HIT which
  which becomes available <b>tomorrow
between 8:54 PM
and 9:54 AM</b>. Completing only the first HIT would be a very bad deal for you (corresponding to a wage of $1.20/hour) and it would be bad for us too. You will be much better of if you complete both HITs (corresponding to a wage of about $15.20/hour.) and we need that for our experiment to work.
</div>",95193,button-response,4
0.0,18659,"<h1 id=""welcomeback"">Welcome back</h1>

<p>Thanks for returning to complete Stage 2!</p>

<p>If you have already completed Stage 2 of this experiment earlier today, then please return this HIT. You cannot be paid for Stage 2 twice.</p>

<p>After practicing on the simple version of Web of Cash in Stage 1, you can now use what you have learned to earn real money in the difficult version.</p>

<p>Before you begin, let us give you a brief refresher of how the game works.</p>",18690,button-response,4
0.0,5567,"<h1 id=""welcomeback"">Welcome back</h1>

<p>Thanks for returning to complete Stage 2!</p>

<p>After practicing on the simple version of Web of Cash in Stage 1, you can now use what you have learned to earn real money in the difficult version.</p>

<p>Before you begin, let us give you a brief refresher of how the game works.</p>",5581,button-response,5
0.0,52044,"<h1 id=""youarebeginningatwostageexperiment"">You are beginning a two-stage experiment</h1>

<p>This experiment has two stages which you will complete in separate HITs.
The total base payment for both HITs is $2.00.</p>

<p>Stage 1 takes about 5 minutes. It pays only  $0.10 but you can earn a performance-dependent but it makes you eligible
to participate in Stage 2 where you can earn $1.90 in 10 minutes plus a performance-dependent
bonus of up to $3.50 ($1.30 is a typical bonus). 
You will complete Stage 2 in a second HIT which you can begin <b>tomorrow
between 2:14 PM
and 3:14 AM</b>.
If you do not begin the HIT within this time frame, you will not receive the
second base payment or any bonus.           </p>

<p>By completing both stages, you can make up to
$5.50, but if you don't complete Stage 2, you will lose your bonus from Stage 1 and the HIT would be a very bad deal for you.</p>

<div class=""alert alert-warning"">
  Please do <b>NOT<b> continue unless you are certain that you will complete the second HIT which
  which becomes available <b>tomorrow
between 2:14 PM
and 3:14 AM</b>. Completing only the first HIT would be a very bad deal for you (corresponding to a wage of $1.20/hour) and it would be bad for us too. You will be much better of if you complete both HITs (corresponding to a wage of about $15.20/hour.) and we need that for our experiment to work.
</div>",52082,button-response,5
0.0,8011,"<h1 id=""welcomeback"">Welcome back</h1>

<p>Thanks for returning to complete Stage 2!</p>

<p>After practicing on the simple version of Web of Cash in Stage 1, you can now use what you have learned to earn real money in the difficult version.</p>

<p>Before you begin, let us give you a brief refresher of how the game works.</p>",8019,button-response,6
0.0,33280,"<h1 id=""youarebeginningatwostageexperiment"">You are beginning a two-stage experiment</h1>

<p>This experiment has two stages which you will complete in separate HITs.
The total base payment for both HITs is $2.00.</p>

<p>Stage 1 takes about 5 minutes. It pays only  $0.10 but you can earn a performance-dependent but it makes you eligible
to participate in Stage 2 where you can earn $1.90 in 10 minutes plus a performance-dependent
bonus of up to $3.50 ($1.30 is a typical bonus). 
You will complete Stage 2 in a second HIT which you can begin <b>tomorrow
between 12:59 PM
and 12:59 AM</b>.
If you do not begin the HIT within this time frame, you will not receive the
second base payment or any bonus.           </p>

<p>By completing both stages, you can make up to
$5.50, but if you don't complete Stage 2, you will lose your bonus from Stage 1 and the HIT would be a very bad deal for you.</p>

<div class=""alert alert-warning"">
  Please do <b>NOT<b> continue unless you are certain that you will complete the second HIT which
  which becomes available <b>tomorrow
between 12:59 PM
and 12:59 AM</b>. Completing only the first HIT would be a very bad deal for you (corresponding to a wage of $1.20/hour) and it would be bad for us too. You will be much better of if you complete both HITs (corresponding to a wage of about $15.20/hour.) and we need that for our experiment to work.
</div>",33293,button-response,6
0.0,26803,"<h1 id=""youarebeginningatwostageexperiment"">You are beginning a two-stage experiment</h1>

<p>This experiment has two stages which you will complete in separate HITs.
The total base payment for both HITs is $2.00.</p>

<p>Stage 1 takes about 5 minutes. It pays only  $0.10 but you can earn a performance-dependent but it makes you eligible
to participate in Stage 2 where you can earn $1.90 in 10 minutes plus a performance-dependent
bonus of up to $3.50 ($1.30 is a typical bonus). 
You will complete Stage 2 in a second HIT which you can begin <b>tomorrow
between 2:38 PM
and 3:38 AM</b>.
If you do not begin the HIT within this time frame, you will not receive the
second base payment or any bonus.           </p>

<p>By completing both stages, you can make up to
$5.50, but if you don't complete Stage 2, you will lose your bonus from Stage 1 and the HIT would be a very bad deal for you.</p>

<div class=""alert alert-warning"">
  Please do <b>NOT<b> continue unless you are certain that you will complete the second HIT which
  which becomes available <b>tomorrow
between 2:38 PM
and 3:38 AM</b>. Completing only the first HIT would be a very bad deal for you (corresponding to a wage of $1.20/hour) and it would be bad for us too. You will be much better of if you complete both HITs (corresponding to a wage of about $15.20/hour.) and we need that for our experiment to work.
</div>",26823,button-response,7
0.0,9870,"<h1 id=""welcomeback"">Welcome back</h1>

<p>Thanks for returning to complete Stage 2!</p>

<p>If you have already completed Stage 2 of this experiment earlier today, then please return this HIT. You cannot be paid for Stage 2 twice.</p>

<p>After practicing on the simple version of Web of Cash in Stage 1, you can now use what you have learned to earn real money in the difficult version.</p>

<p>Before you begin, let us give you a brief refresher of how the game works.</p>",9887,button-response,7
0.0,1200,"<h1 id=""youarebeginningatwostageexperiment"">You are beginning a two-stage experiment</h1>

<p>This experiment has two stages which you will complete in separate HITs.
The total base payment for both HITs is $2.00.</p>

<p>Stage 1 takes about 5 minutes. It pays only  $0.10 but you can earn a performance-dependent but it makes you eligible
to participate in Stage 2 where you can earn $1.90 in 10 minutes plus a performance-dependent
bonus of up to $3.50 ($1.30 is a typical bonus). 
You will complete Stage 2 in a second HIT which you can begin <b>tomorrow
between 12:28 PM
and 12:28 AM</b>.
If you do not begin the HIT within this time frame, you will not receive the
second base payment or any bonus.           </p>

<p>By completing both stages, you can make up to
$5.50, but if you don't complete Stage 2, you will lose your bonus from Stage 1 and the HIT would be a very bad deal for you.</p>

<div class=""alert alert-warning"">
  Please do <b>NOT<b> continue unless you are certain that you will complete the second HIT which
  which becomes available <b>tomorrow
between 12:28 PM
and 12:28 AM</b>. Completing only the first HIT would be a very bad deal for you (corresponding to a wage of $1.20/hour) and it would be bad for us too. You will be much better of if you complete both HITs (corresponding to a wage of about $15.20/hour.) and we need that for our experiment to work.
</div>",1223,button-response,8
0.0,1994,"<h1 id=""welcomeback"">Welcome back</h1>

<p>Thanks for returning to complete Stage 2!</p>

<p>After practicing on the simple version of Web of Cash in Stage 1, you can now use what you have learned to earn real money in the difficult version.</p>

<p>Before you begin, let us give you a brief refresher of how the game works.</p>",2014,button-response,9
0.0,95639,"<h1 id=""youarebeginningatwostageexperiment"">You are beginning a two-stage experiment</h1>

<p>This experiment has two stages which you will complete in separate HITs.
The total base payment for both HITs is $2.00.</p>

<p>Stage 1 takes about 5 minutes. It pays only  $0.10 but you can earn a performance-dependent but it makes you eligible
to participate in Stage 2 where you can earn $1.90 in 10 minutes plus a performance-dependent
bonus of up to $3.50 ($1.30 is a typical bonus). 
You will complete Stage 2 in a second HIT which you can begin <b>tomorrow
between 12:24 PM
and 12:24 AM</b>.
If you do not begin the HIT within this time frame, you will not receive the
second base payment or any bonus.           </p>

<p>By completing both stages, you can make up to
$5.50, but if you don't complete Stage 2, you will lose your bonus from Stage 1 and the HIT would be a very bad deal for you.</p>

<div class=""alert alert-warning"">
  Please do <b>NOT<b> continue unless you are certain that you will complete the second HIT which
  which becomes available <b>tomorrow
between 12:24 PM
and 12:24 AM</b>. Completing only the first HIT would be a very bad deal for you (corresponding to a wage of $1.20/hour) and it would be bad for us too. You will be much better of if you complete both HITs (corresponding to a wage of about $15.20/hour.) and we need that for our experiment to work.
</div>",95675,button-response,9
0.0,10644,"<h1 id=""youarebeginningatwostageexperiment"">You are beginning a two-stage experiment</h1>

<p>This experiment has two stages which you will complete in separate HITs.
The total base payment for both HITs is $2.00.</p>

<p>Stage 1 takes about 5 minutes. It pays only  $0.10 but you can earn a performance-dependent but it makes you eligible
to participate in Stage 2 where you can earn $1.90 in 10 minutes plus a performance-dependent
bonus of up to $3.50 ($1.30 is a typical bonus). 
You will complete Stage 2 in a second HIT which you can begin <b>tomorrow
between 11:50 AM
and 11:50 PM</b>.
If you do not begin the HIT within this time frame, you will not receive the
second base payment or any bonus.           </p>

<p>By completing both stages, you can make up to
$5.50, but if you don't complete Stage 2, you will lose your bonus from Stage 1 and the HIT would be a very bad deal for you.</p>

<div class=""alert alert-warning"">
  Please do <b>NOT<b> continue unless you are certain that you will complete the second HIT which
  which becomes available <b>tomorrow
between 11:50 AM
and 11:50 PM</b>. Completing only the first HIT would be a very bad deal for you (corresponding to a wage of $1.20/hour) and it would be bad for us too. You will be much better of if you complete both HITs (corresponding to a wage of about $15.20/hour.) and we need that for our experiment to work.
</div>",10653,button-response,10
0.0,2590,"<h1 id=""welcomeback"">Welcome back</h1>

<p>Thanks for returning to complete Stage 2!</p>

<p>If you have already completed Stage 2 of this experiment earlier today, then please return this HIT. You cannot be paid for Stage 2 twice.</p>

<p>After practicing on the simple version of Web of Cash in Stage 1, you can now use what you have learned to earn real money in the difficult version.</p>

<p>Before you begin, let us give you a brief refresher of how the game works.</p>",2602,button-response,10
