action_times,actions,block,path,queries,rewards,rt,score,simulation_mode,state_rewards,time_elapsed,trial_index,trial_time,trial_id,trial_type,pid
"[12270, 19394, 20379, 22975, 24892]","[u'right', u'right', u'right', u'up', u'left']",pre_test,"[u'0', u'12', u'13', u'14', u'15', u'18']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[0, 3, 3, -3, 52]","[12259, 6614, 480, 2079, 1413]",55.0,"[None, None, None, None, None]","[u'', -1, -2, -6, 7, -14, 35, -26, 5, 45, -3, -36, 0, 3, 3, -3, -56, 23, 52, 13, 14, -6, -25, -1, -3, 9, 0, 76, -2, -52, 15, -28, -14, 53]",105950,0.0,27802.0,-6.29884450587e+18,mouselab-mdp,0
"[24086, 24898, 25647]","[u'up', u'up', u'left']",training,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'1', u'2', u'4', u'9', u'10', u'11', u'7', u'3', u'8'], u'time': [3815, 6635, 7958, 9232, 11649, 13243, 14035, 18006, 20848, 21972]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[2, -8, 48]","[24083, 297, 229]",32.0,"[None, None, None]","[u'', 2, -8, -24, 48, -2, -4, -24, -24, 4, 8, 24, 48]",153296,1.0,27739.0,6.51676073779e+18,mouselab-mdp,0
"[15841, 16491, 17166]","[u'left', u'left', u'down']",training,"[u'0', u'9', u'10', u'12']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'7', u'11', u'12', u'3', u'4', u'8'], u'time': [3860, 6467, 7441, 12315, 13179, 14207]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-2, -8, 48]","[15835, 143, 185]",32.0,"[None, None, None]","[u'', 4, -8, -48, -48, -4, 4, 24, 24, -2, -8, -24, 48]",173345,2.0,18986.0,-4.56949664606e+18,mouselab-mdp,0
"[9714, 10290, 11016]","[u'left', u'left', u'down']",training,"[u'0', u'9', u'10', u'12']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'6', u'11', u'12'], u'time': [2668, 5743, 7008, 7723]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-4, -8, 48]","[9708, 73, 216]",32.0,"[None, None, None]","[u'', -4, 4, 24, -24, -2, 4, 48, -24, -4, -8, -48, 48]",186786,3.0,12395.0,8.58865579534e+17,mouselab-mdp,0
"[12765, 13438, 14145]","[u'up', u'up', u'right']",training,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'7', u'8', u'12', u'11', u'4', u'3', u'1'], u'time': [4459, 5415, 6361, 7019, 7910, 9657, 10915]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-4, 4, 48]","[12755, 162, 186]",41.0,"[None, None, None]","[u'', -4, 4, 48, -48, -4, 4, -24, 24, -4, -8, 24, 24]",203690,4.0,15843.0,-5.99530113684e+18,mouselab-mdp,0
"[4340, 5174, 6106]","[u'left', u'left', u'up']",training,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'11'], u'time': [2284]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[4, -8, 48]","[4336, 340, 422]",43.0,"[None, None, None]","[u'', 4, -4, -24, 24, 2, 4, -24, -48, 4, -8, 48, -48]",212495,5.0,7757.0,4.25168764169e+18,mouselab-mdp,0
"[4204, 4968, 5858]","[u'left', u'left', u'up']",training,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'7', u'12', u'11'], u'time': [919, 2172, 2883]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-4, -4, 48]","[4198, 274, 398]",37.0,"[None, None, None]","[u'', -4, 8, 48, 24, 2, -8, -48, -24, -4, -4, 48, -24]",224924,6.0,11378.0,3.41976950562e+18,mouselab-mdp,0
"[17738, 18320, 19030]","[u'up', u'up', u'right']",training,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'8', u'3', u'4', u'11', u'12', u'6', u'10', u'7', u'2', u'1', u'5'], u'time': [1397, 2990, 4123, 4898, 5437, 6372, 7125, 8685, 9680, 14178, 14709]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-2, 4, 24]","[17732, 77, 187]",15.0,"[None, None, None]","[u'', -2, 4, 24, -24, -4, 4, -24, 24, -4, -8, -24, 24]",247462,7.0,21464.0,-3.14224207546e+18,mouselab-mdp,0
"[7890, 8541, 9410]","[u'right', u'right', u'down']",training,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'11', u'8'], u'time': [1896, 3809]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[4, -8, 48]","[7882, 159, 360]",42.0,"[None, None, None]","[u'', 4, -8, 24, 48, 4, -8, -24, 48, -2, -8, 24, -24]",259447,8.0,10939.0,6.60860815513e+18,mouselab-mdp,0
"[6063, 7118, 7817]","[u'left', u'left', u'up']",training,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'11', u'10'], u'time': [1738, 5156]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[4, -8, 48]","[6058, 557, 208]",42.0,"[None, None, None]","[u'', -4, 4, -24, -24, -4, -8, 24, -24, 4, -8, 48, -48]",269979,9.0,9482.0,4.60924718032e+17,mouselab-mdp,0
