bonus,bonusRate,branching,completed,condition,delay_hours,delay_window,feedback,inspectCost,pid,startTime,variance,with_feedback,version
1,0.002,312,TRUE,0,24,12,FALSE,1,0,Fri Mar 09 2018 21:39:10 GMT-0500 (Eastern Standard Time),2_4_24,FALSE,R0.9
1,0.002,312,TRUE,1,24,12,TRUE,1,4,Fri Mar 09 2018 20:54:39 GMT-0500 (Eastern Standard Time),2_4_24,TRUE,R0.9
1,0.002,312,TRUE,1,24,12,TRUE,1,5,Fri Mar 09 2018 14:14:49 GMT-0700 (MST),2_4_24,TRUE,R0.9
1,0.002,312,TRUE,1,24,12,TRUE,1,7,Fri Mar 09 2018 14:38:09 GMT-0500 (Eastern Standard Time),2_4_24,TRUE,R0.9
1,0.002,312,TRUE,1,24,12,TRUE,1,8,Fri Mar 09 2018 12:28:30 GMT-0500 (Eastern Standard Time),2_4_24,TRUE,R0.9
1,0.002,312,TRUE,0,24,12,FALSE,1,10,Fri Mar 09 2018 11:50:21 GMT-0700 (Mountain Standard Time),2_4_24,FALSE,R0.9
1,0.002,312,TRUE,0,24,12,FALSE,1,11,Fri Mar 09 2018 20:22:51 GMT-0800 (Pacific Standard Time),2_4_24,FALSE,R0.9
1,0.002,312,TRUE,0,24,12,FALSE,1,12,Fri Mar 09 2018 11:10:24 GMT-0800 (Pacific Standard Time),2_4_24,FALSE,R0.9
1,0.002,312,TRUE,0,24,12,FALSE,1,13,Fri Mar 09 2018 23:36:33 GMT-0500 (Eastern Standard Time),2_4_24,FALSE,R0.9
1,0.002,312,TRUE,1,24,12,TRUE,1,18,Fri Mar 09 2018 13:37:35 GMT-0700 (MST),2_4_24,TRUE,R0.9
1,0.002,312,TRUE,1,24,12,TRUE,1,20,Fri Mar 09 2018 16:04:31 GMT-0500 (Eastern Standard Time),2_4_24,TRUE,R0.9
1,0.002,312,TRUE,0,24,12,FALSE,1,21,Fri Mar 09 2018 13:42:43 GMT-0500 (Eastern Standard Time),2_4_24,FALSE,R0.9
1,0.002,312,TRUE,1,24,12,TRUE,1,22,Fri Mar 09 2018 11:54:42 GMT-0600 (Central Standard Time),2_4_24,TRUE,R0.9
1,0.002,312,TRUE,1,24,12,TRUE,1,23,Fri Mar 09 2018 21:13:17 GMT-0500 (Eastern Standard Time),2_4_24,TRUE,R0.9
1,0.002,312,TRUE,1,24,12,TRUE,1,28,Fri Mar 09 2018 11:44:39 GMT-0700 (Mountain Standard Time),2_4_24,TRUE,R0.9
1,0.002,312,TRUE,0,24,12,FALSE,1,30,Fri Mar 09 2018 09:26:16 GMT-0800 (Pacific Standard Time),2_4_24,FALSE,R0.9
1,0.002,312,TRUE,1,24,12,TRUE,1,32,Fri Mar 09 2018 14:46:14 GMT-0500 (EST),2_4_24,TRUE,R0.9
