bonus,bonusRate,branching,completed,condition,delay_hours,delay_window,feedback,inspectCost,pid,startTime,variance,with_feedback,version
0.66,0.002,312,True,1,24,12,True,1,0,Wed Mar 07 2018 15:02:46 GMT-0700 (Mountain Standard Time),2_4_24,True,R0.9
0.83,0.002,312,True,0,24,12,False,1,1,Wed Mar 07 2018 17:49:25 GMT-0500 (Eastern Standard Time),2_4_24,False,R0.9
0.54,0.002,312,True,1,24,12,True,1,2,Wed Mar 07 2018 10:49:46 GMT-0600 (CST),2_4_24,True,R0.9
0.97,0.002,312,True,1,24,12,True,1,3,Wed Mar 07 2018 12:59:46 GMT-0500 (Eastern Standard Time),2_4_24,True,R0.9
0.91,0.002,312,True,0,24,12,False,1,4,Wed Mar 07 2018 12:24:04 GMT-0500 (Eastern Standard Time),2_4_24,False,R0.9
0.75,0.002,312,True,0,24,12,False,1,5,Wed Mar 07 2018 12:33:20 GMT-0600 (Central Standard Time),2_4_24,False,R0.9
0.69,0.002,312,True,0,24,12,False,1,6,Wed Mar 07 2018 10:49:08 GMT-0600 (Central Standard Time),2_4_24,False,R0.9
0.64,0.002,312,True,1,24,12,True,1,7,Wed Mar 07 2018 23:18:46 GMT+0300 (EAT),2_4_24,True,R0.9
0.76,0.002,312,True,1,24,12,True,1,8,Wed Mar 07 2018 11:54:33 GMT-0500 (EST),2_4_24,True,R0.9
0.74,0.002,312,True,0,24,12,False,1,9,Wed Mar 07 2018 10:07:20 GMT-0800 (Pacific Standard Time),2_4_24,False,R0.9
0.85,0.002,312,True,1,24,12,True,1,10,Wed Mar 07 2018 11:22:30 GMT-0600 (CST),2_4_24,True,R0.9
0.0,0.002,312,True,0,24,12,False,1,11,Wed Mar 07 2018 12:08:17 GMT-0800 (Pacific Standard Time),2_4_24,False,R0.9
0.53,0.002,312,True,1,24,12,True,1,12,Wed Mar 07 2018 14:44:31 GMT-0600 (Central Standard Time),2_4_24,True,R0.9
0.77,0.002,312,True,0,24,12,False,1,13,Wed Mar 07 2018 11:52:25 GMT-0500 (US Eastern Standard Time),2_4_24,False,R0.9
