key_press,rt,time_elapsed,trial_type,pid
32.0,11839,38015,text,0
32.0,14807,53823,text,0
32.0,5656,60483,text,0
32.0,10302,106526,text,0
32.0,2775,6920,text,0
32.0,7161,15084,text,0
32.0,6992,23077,text,0
32.0,11573,29896,text,1
32.0,88455,119366,text,1
32.0,3626,123996,text,1
32.0,3541,156029,text,1
32.0,10768,31445,text,2
32.0,15540,47994,text,2
32.0,4034,53034,text,2
32.0,7193,99543,text,2
32.0,2486,9024,text,2
32.0,1221,11254,text,2
32.0,5333,17594,text,2
32.0,16204,25227,text,3
32.0,4126,30355,text,3
32.0,22126,53483,text,3
32.0,18493,52788,text,3
32.0,30014,83804,text,3
32.0,17405,102211,text,3
32.0,12527,142635,text,3
32.0,1031,3261,text,4
32.0,3691,7957,text,4
32.0,767,9733,text,4
32.0,4054,28196,text,4
32.0,22041,25060,text,5
32.0,2793,28862,text,5
32.0,7899,37768,text,5
32.0,11300,107990,text,5
32.0,17752,126745,text,5
32.0,8307,136054,text,5
32.0,12994,184823,text,5
32.0,2428,5172,text,6
32.0,3307,9486,text,6
32.0,5596,16087,text,6
32.0,2734,9571,text,6
32.0,4668,15245,text,6
32.0,1470,17718,text,6
32.0,4249,36745,text,6
32.0,6383,13489,text,7
32.0,8509,23012,text,7
32.0,11761,35780,text,7
32.0,17062,47832,text,7
32.0,12607,61469,text,7
32.0,3955,66434,text,7
32.0,15003,120978,text,7
32.0,15189,53180,text,8
32.0,21912,76097,text,8
32.0,5912,83015,text,8
32.0,5461,112420,text,8
32.0,4813,11471,text,8
32.0,7624,20102,text,8
32.0,5014,26126,text,8
32.0,7269,15628,text,9
32.0,9470,26102,text,9
32.0,7855,34963,text,9
32.0,12773,63204,text,9
32.0,22352,86559,text,9
32.0,2462,90023,text,9
32.0,16521,152957,text,9
32.0,11494,607969,text,10
32.0,13209,622183,text,10
32.0,4835,628022,text,10
32.0,11420,657078,text,10
32.0,3163,10843,text,10
32.0,4681,16536,text,10
32.0,6743,24289,text,10
32.0,3584,22555,text,11
32.0,3795,27357,text,11
32.0,1330,29690,text,11
32.0,4254,73605,text,11
32.0,4708,35733,text,12
39.0,5700,42440,text,12
39.0,1515,44981,text,12
32.0,2456,63191,text,12
32.0,8764,16324,text,13
32.0,9934,27265,text,13
32.0,11982,40255,text,13
32.0,29235,62166,text,13
32.0,24093,87266,text,13
32.0,7602,95872,text,13
32.0,30990,187511,text,13
32.0,23262,39260,text,14
32.0,28148,68419,text,14
32.0,11759,81182,text,14
32.0,37359,122059,text,14
39.0,4260,127324,text,14
39.0,2557,130884,text,14
32.0,18478,199556,text,14
32.0,32642,92866,text,15
32.0,70110,163986,text,15
32.0,8360,173352,text,15
32.0,14756,252774,text,15
32.0,13911,60702,text,16
32.0,23956,85659,text,16
32.0,16230,102891,text,16
32.0,20349,150257,text,16
32.0,3308,12927,text,16
32.0,8479,22408,text,16
32.0,9341,32751,text,16
32.0,23432,56002,text,17
32.0,14805,71820,text,17
32.0,5852,78677,text,17
32.0,8566,111932,text,17
32.0,2855,9838,text,17
32.0,3238,14083,text,17
32.0,7047,22138,text,17
32.0,16308,33448,text,18
32.0,6767,41221,text,18
32.0,1881,44106,text,18
