action_times,actions,block,path,queries,rewards,rt,score,simulation_mode,state_rewards,time_elapsed,trial_index,trial_time,trial_id,trial_type,pid
"[7975, 12430, 15959, 17550, 19630]","[u'up', u'up', u'up', u'left', u'left']",pre_test,"[u'0', u'1', u'2', u'3', u'8', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[1, -1, 0, -5, -43]","[7967, 3954, 3030, 1085, 1582]",-48.0,"[None, None, None, None, None]","[u'', 1, -1, 0, 9, 2, -26, -23, -5, 0, 27, -43, -1, -2, -7, 11, -1, 61, -46, 10, -22, -13, -32, -1, -3, 1, -11, -8, 0, 21, 1, 10, 16, -1]",81290,0.0,22342.0,3.45966285876e+18,mouselab-mdp,0
"[6429, 54403, 56251]","[u'right', u'right', u'up']",training,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[2, -8, -24]","[6427, 5442, 1353]",-30.0,"[None, None, None]","[u'', 2, 8, 24, -24, 2, -8, -24, -24, 4, -8, 48, 48]",159201,1.0,58883.0,-3.20049588135e+18,mouselab-mdp,0
"[7994, 49596, 50731]","[u'left', u'left', u'up']",training,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9'], u'time': [6189]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[4, -4, 48]","[7990, 1087, 639]",47.0,"[None, None, None]","[u'', 2, -4, 24, -24, -2, 8, 24, 48, 4, -4, 48, 48]",214576,2.0,54331.0,5.2467434854e+18,mouselab-mdp,0
"[10296, 25505, 26546]","[u'up', u'up', u'right']",training,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'11', u'7', u'3'], u'time': [5260, 7556, 9012]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-2, -4, 24]","[10291, 685, 541]",15.0,"[None, None, None]","[u'', -2, -4, 24, -48, -4, 8, -24, -24, 4, -4, -48, 24]",244322,3.0,28698.0,1.39930365593e+18,mouselab-mdp,0
"[10781, 12402, 13396]","[u'right', u'right', u'down']",training,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'3', u'7', u'8', u'12', u'11'], u'time': [3137, 4779, 6057, 7169, 7992, 8639]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-2, 8, 48]","[10779, 1127, 504]",48.0,"[None, None, None]","[u'', -4, -8, 24, -24, -2, 8, 24, 48, 4, -4, 24, -48]",261825,4.0,16461.0,-1.10044903072e+18,mouselab-mdp,0
"[16945, 18072, 19408]","[u'right', u'right', u'down']",training,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'8', u'7', u'4', u'12', u'11', u'6', u'10'], u'time': [2461, 4540, 5921, 7212, 13184, 14013, 15588]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-4, 8, 48]","[16929, 629, 832]",45.0,"[None, None, None]","[u'', -4, 8, -24, -48, -4, 8, -48, 48, 4, -8, -24, 48]",284471,5.0,21592.0,-1.41484517897e+18,mouselab-mdp,0
"[12787, 13962, 15378]","[u'left', u'left', u'up']",training,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'7', u'8', u'12', u'11', u'4', u'3'], u'time': [2587, 3788, 4939, 6123, 7116, 7947]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[2, 4, 24]","[12783, 687, 902]",24.0,"[None, None, None]","[u'', -2, -4, -48, -48, 2, -8, -24, -24, 2, 4, 24, 24]",302881,6.0,17370.0,-7.65696612779e+18,mouselab-mdp,0
"[11668, 12716, 13604]","[u'right', u'right', u'down']",training,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'7', u'4', u'12', u'11', u'8'], u'time': [4592, 6216, 7337, 8216, 9297]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[2, 4, 48]","[11667, 551, 389]",49.0,"[None, None, None]","[u'', 4, -8, 24, 24, 2, 4, 24, 48, -2, 4, 24, -48]",319008,7.0,15092.0,6.72269827856e+18,mouselab-mdp,0
"[9108, 9924, 10598]","[u'left', u'left', u'up']",training,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'7', u'8', u'12', u'11', u'4', u'3'], u'time': [2577, 3580, 4377, 5160, 5825, 6616]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[4, -4, 24]","[9106, 327, 183]",18.0,"[None, None, None]","[u'', 2, 8, -48, -24, 2, 8, -24, -48, 4, -4, 24, -48]",333047,8.0,13004.0,4.95354184513e+17,mouselab-mdp,0
"[7827, 8707, 9451]","[u'right', u'right', u'down']",training,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'7', u'8', u'12', u'11', u'4', u'3'], u'time': [1943, 3319, 4902, 5511, 6047, 6614]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-2, -8, 48]","[7824, 384, 244]",32.0,"[None, None, None]","[u'', -4, -4, -48, -48, -2, -8, 24, 48, 2, 4, -24, -48]",345622,9.0,11514.0,-1.84824368346e+18,mouselab-mdp,0
