bonus,bonusRate,branching,completed,condition,inspectCost,pid,startTime,with_feedback,version
1.68,0.002,312,True,1,1,0,Mon Mar 05 2018 11:26:12 GMT-0600 (Central Standard Time),True,T1.1
2.17,0.002,312,True,1,1,1,Mon Mar 05 2018 12:31:33 GMT-0500 (Eastern Standard Time),True,T1.1
1.51,0.002,312,True,0,1,2,Mon Mar 05 2018 12:53:22 GMT-0500 (Eastern Standard Time),False,T1.1
2.04,0.002,312,True,0,1,3,Mon Mar 05 2018 10:39:05 GMT-0700 (US Mountain Standard Time),False,T1.1
1.16,0.002,312,True,1,1,4,Mon Mar 05 2018 11:26:42 GMT-0600 (Central Standard Time),True,T1.1
0.24,0.002,312,True,0,1,5,Mon Mar 05 2018 20:55:19 GMT+0200 (Jerusalem Standard Time),False,T1.1
0.37,0.002,312,True,0,1,6,Mon Mar 05 2018 12:28:41 GMT-0500 (Eastern Standard Time),False,T1.1
1.79,0.002,312,True,1,1,7,Mon Mar 05 2018 11:53:58 GMT-0600 (Central Standard Time),True,T1.1
0.76,0.002,312,True,0,1,8,Mon Mar 05 2018 12:31:06 GMT-0500 (Eastern Standard Time),False,T1.1
0.0,0.002,312,True,0,1,9,Mon Mar 05 2018 13:14:37 GMT-0500 (Eastern Standard Time),False,T1.1
1.82,0.002,312,True,1,1,10,Mon Mar 05 2018 11:21:23 GMT-0700 (MST),True,T1.1
1.91,0.002,312,True,0,1,11,Mon Mar 05 2018 12:25:46 GMT-0500 (EST),False,T1.1
1.52,0.002,312,True,1,1,12,Mon Mar 05 2018 12:33:22 GMT-0500 (Eastern Standard Time),True,T1.1
0.42,0.002,312,True,1,1,13,Mon Mar 05 2018 12:36:02 GMT-0500 (EST),True,T1.1
1.75,0.002,312,True,1,1,14,Mon Mar 05 2018 02:37:56 GMT-0500 (Eastern Standard Time),True,T1.1
1.68,0.002,312,True,1,1,15,Mon Mar 05 2018 13:39:28 GMT-0500 (EST),True,T1.1
1.6,0.002,312,True,0,1,16,Mon Mar 05 2018 12:39:15 GMT-0600 (Central Standard Time),False,T1.1
0.13,0.002,312,True,0,1,17,Mon Mar 05 2018 12:36:37 GMT-0500 (EST),False,T1.1
1.76,0.002,312,True,0,1,18,Mon Mar 05 2018 11:24:26 GMT-0600 (Central Standard Time),False,T1.1
1.74,0.002,312,True,1,1,19,Mon Mar 05 2018 11:24:39 GMT-0600 (Central Standard Time),True,T1.1
2.14,0.002,312,True,1,1,20,Mon Mar 05 2018 12:28:53 GMT-0500 (Eastern Standard Time),True,T1.1
0.45,0.002,312,True,0,1,21,Mon Mar 05 2018 09:30:49 GMT-0800 (Pacific Standard Time),False,T1.1
1.86,0.002,312,True,1,1,22,Mon Mar 05 2018 11:59:53 GMT-0600 (Central Standard Time),True,T1.1
1.76,0.002,312,True,0,1,23,Mon Mar 05 2018 09:26:42 GMT-0800 (Pacific Standard Time),False,T1.1
1.63,0.002,312,True,0,1,24,Mon Mar 05 2018 11:31:14 GMT-0600 (Central Standard Time),False,T1.1
1.59,0.002,312,True,1,1,25,Mon Mar 05 2018 11:52:16 GMT-0600 (Central Standard Time),True,T1.1
1.42,0.002,312,True,1,1,26,Mon Mar 05 2018 09:46:11 GMT-0800 (Pacific Standard Time),True,T1.1
1.95,0.002,312,True,0,1,27,Mon Mar 05 2018 10:50:07 GMT-0800 (Pacific Standard Time),False,T1.1
