,0,1,2,3,4,5,6,7,8
0,Not clicking withing the trail,Clicking on the end of the trails,the end of the trails.,When I saw a high number,n/a,,To not be greedy and to stop sometimes sooner when I saw a high number. ,,47
1,I did not go in the direction of low nodes,I started with the farthest nodes and found the highest value,I started with the outside nodes in random order,I stopped clicking when I found a value close to 50,I simply clicked outside nodes until I was satisfied with a value.,It was easy,I learned how to optimize my path,,23
2,"The earlier nodes had very little value and also very little loss, so it wasn't worth clicking the earlier nodes.","I decided to click the end points, since those seemed to have the largest payouts.",The nodes at the end of the paths.,"I thought about stopping if I had a value of 40 or higher, as the odds of me making more than I spent beyond that seemed somewhat low. But I was curious and still clicked the final end-point nodes.","I started the first 5 rounds by clicking every node, and essentially gathering data. After that I determined that the final node points where the highest priority. If two node points with the highest values on different paths had similar values, it seemed best to check the node directly before them to decide which path, and save money by not clicking any other nodes.",It was easy to understand after the practice rounds.,I learned that I should have adapted my strategy much sooner - particularly towards the end where I determined similar high yield nodes on different paths should have the values of the node before them checked.,Thanks - very interesting. All the best with your research!,32
3,no plan,I only clicked on the ends and a different one then paid high the time before,the end of any row,when I felt it was high enough,no,no,to look at the end results,no,60
4,I didn't care so much about the inside nodes,I clicked on the end nodes,on the end nodes,when I found a value that was sufficient or revealed all the end nodes,I tried not clicking any nodes at first but started losing a lot of money,no,Its better to be certain of the end outcomes,No,42
5,My prediction,My Prediction,,My prediction,,,,nice,26
6,Based on previous clicks ,Best guess/process of elimination,Closest to the spider,When I had enough info to proceed,No,no,This game is a combination of luck and strategy,none,23
7,Based on how much negative numbers in row,Followed the green values,Each of the middle intersecting lines,When I saw a larger dollar amount,no,no,I'm not sure,no,57
8,I didn't click on a node closer to the beginning because those don't show much in the way of gains or losses,I clicked on a node at the end because those show the most gains or losses,"I mostly clicked on the same node, and I always clicked on a node at the end of the web",I always chose to click and view one of the nodes in each round,"I clicked on nodes at the end of the web so I could see where they'd lead me.  If they had any gains at all, I went for them.  If not, I went in the opposite direction.",no,"this game has a lot pf luck involved and even if it looks like one path is a good choice, I could be completely wrong.",fun HIT!,25
9,"If I saw a good positive spot before I had clicked everywhere, I just went with that.","At first I chose to click all spaces directly around me, to give as much information for the start as I could.  After a while I just didn't click.",Only the spaces directly around me.,"Once I was already down in the negative, I realized it didn't really matter anymore, since I was already going to lose a bunch.  I just didn't click and went where my gut took me, which rarely worked out.",Not really.,Nope.,"I'm bad at this, and the last spaces matter so much more than the first.",,30
10,"only clicked the highest potential to win/lose, ignored small wins/losses",random ,the end nodes,when i found what i thought was high paying,no,"the airplane tutorial was worse than the actual game, why do i have to wait a minute like some fucked up chinese torture minesweeper game ",nothing,nah ,20
11,None of the path space were worth clicking aka small numbers,Wanted the biggest numbers so I clicked toward the end.,At the ends of each path,I stopped clicking when I found a good number to make profit,Wanted the highest numbers!,No,"The ends of the paths had bigger amounts, I learned quick.",,21
12,If it led to certain amount of loss,I clicked where I thought I would get the most amount of money.,At the bottom left and right.,If I was going to lose more money than I gained,"I chose the ones closest to me and only opened a few nodes, if I found a decent paying one I went for it out right instead of spending more dollars",No,Go where the money is :),Thank you!,23
13,I tried to make a pattern where to click,I tried to do one pattern,The top part of the node,Every time the spider is at the end node,I tried to click on those nodes that gives more money. But I end up getting less when I go to just one route,none,I learn to explore and take risk,I really enjoyed the game. I always participate on your surveys/ studies I hope I can grab some more and explore more of this kind of game in the future!  ,28
14,random,random,top left,when i felt like i had reached the highest number in the web,tried to maximize the amount of moves in hopes that more green numbers would show up along the way,"no, it was pretty clear",I learned a little bit about my decision making,enjoyed the experiment!,33
15,I didn't clink on of the nodes along the route.,I click at the last node to see the best possible outcome with each route.,The last node nearest the start point.,When I reached an amount that I felt comfortable with.,I tried to minimize the numbers of nodes I had to pass through.,No,To minimize my losses.,No,39
