key_press,rt,time_elapsed,trial_type,pid
32.0,17588,17596,text,0
32.0,30104,48705,text,0
32.0,7935,57643,text,0
32.0,16806,99097,text,0
32.0,2258,359971,text,0
32.0,10802,371776,text,0
32.0,10781,10792,text,1
32.0,13117,24912,text,1
32.0,4978,30900,text,1
32.0,6652,69630,text,1
32.0,1505,222586,text,1
32.0,9960,233551,text,1
18.0,28230,28240,text,2
32.0,41232,70479,text,2
32.0,8522,80002,text,2
32.0,25979,142405,text,2
32.0,1633,352806,text,2
32.0,22633,376446,text,2
32.0,35611,35620,text,3
32.0,33593,70226,text,3
32.0,11532,82760,text,3
32.0,17501,136834,text,3
32.0,4511,341210,text,3
32.0,11515,353737,text,3
32.0,3164,3175,text,4
32.0,33470,37655,text,4
32.0,6246,44915,text,4
32.0,15810,133229,text,4
32.0,1840,364572,text,4
32.0,11426,377013,text,4
32.0,29715,29726,text,5
32.0,5974,36709,text,5
32.0,2950,40663,text,5
32.0,14064,72429,text,5
32.0,2699,185125,text,5
32.0,18271,204402,text,5
32.0,2425,2443,text,6
32.0,25046,28495,text,6
32.0,4789,34294,text,6
32.0,12647,74272,text,6
32.0,1881,186723,text,6
32.0,14912,202646,text,6
32.0,49861,49872,text,7
32.0,39527,90414,text,7
32.0,11750,103166,text,7
32.0,16775,183364,text,7
32.0,4105,524613,text,7
32.0,9717,535342,text,7
32.0,19995,20009,text,8
32.0,22209,43241,text,8
32.0,7445,51695,text,8
32.0,15971,89181,text,8
32.0,1254,199920,text,8
32.0,6759,207691,text,8
32.0,9175,9183,text,9
32.0,12657,22846,text,9
32.0,4016,27869,text,9
32.0,10008,58589,text,9
32.0,1244,184764,text,9
32.0,5849,191621,text,9
32.0,12953,12967,text,10
32.0,12442,26414,text,10
32.0,5708,33132,text,10
32.0,21584,75433,text,10
32.0,1896,369505,text,10
32.0,8547,379062,text,10
32.0,8882,8917,text,11
32.0,11588,21531,text,11
32.0,3914,26451,text,11
32.0,4700,68734,text,11
32.0,2021,185852,text,11
32.0,7777,194669,text,11
32.0,13503,13515,text,12
32.0,14501,29019,text,12
32.0,2002,32027,text,12
32.0,9749,63053,text,12
32.0,1645,303410,text,12
32.0,8468,312892,text,12
32.0,46284,46298,text,13
32.0,39360,86672,text,13
32.0,12246,99923,text,13
32.0,32525,168273,text,13
32.0,1875,811422,text,13
32.0,18772,831198,text,13
32.0,23800,23813,text,14
32.0,16581,41398,text,14
32.0,6717,49121,text,14
32.0,19991,133448,text,14
32.0,1841,285732,text,14
32.0,14133,300871,text,14
32.0,36922,36961,text,15
32.0,43216,81185,text,15
32.0,8422,90619,text,15
32.0,34147,177873,text,15
32.0,2454,477397,text,15
32.0,27453,505867,text,15
32.0,17644,17659,text,16
32.0,40669,59337,text,16
32.0,7107,67456,text,16
32.0,11220,121225,text,16
32.0,1603,257905,text,16
32.0,9496,268408,text,16
32.0,44267,44279,text,17
38.0,1429,46719,text,17
32.0,9637,57361,text,17
32.0,19012,88941,text,17
32.0,11337,222962,text,17
32.0,31305,255272,text,17
32.0,31752,31769,text,18
32.0,36121,68900,text,18
32.0,9473,79391,text,18
32.0,25353,161972,text,18
32.0,4702,344858,text,18
32.0,21120,366995,text,18
32.0,12623,12631,text,19
32.0,26492,40141,text,19
32.0,6418,47563,text,19
32.0,15404,89412,text,19
32.0,1648,313822,text,19
32.0,24114,338948,text,19
38.0,17356,17364,text,20
32.0,6809,25187,text,20
32.0,1841,28034,text,20
32.0,6949,52015,text,20
32.0,2471,284227,text,20
32.0,17782,303015,text,20
32.0,30947,30966,text,21
32.0,15349,47328,text,21
32.0,2433,50776,text,21
32.0,18708,97876,text,21
32.0,1414,223474,text,21
32.0,6166,230657,text,21
32.0,8200,8210,text,22
32.0,41431,50645,text,22
32.0,2354,54011,text,22
32.0,13478,105240,text,22
32.0,1359,323772,text,22
32.0,8321,333105,text,22
32.0,1995,2001,text,23
32.0,1275,4278,text,23
32.0,846,6125,text,23
32.0,1103,20082,text,23
32.0,9023,310467,text,23
32.0,1013,312483,text,23
32.0,30091,30104,text,24
32.0,17942,49063,text,24
32.0,7382,57449,text,24
32.0,15561,122688,text,24
32.0,1583,274934,text,24
32.0,12428,288374,text,24
32.0,9563,9569,text,25
32.0,12960,23532,text,25
32.0,7225,31761,text,25
32.0,3764,64303,text,25
32.0,1873,225697,text,25
32.0,7895,234595,text,25
38.0,15300,15313,text,26
32.0,20981,37296,text,26
32.0,7826,46127,text,26
32.0,12647,76543,text,26
32.0,3287,408973,text,26
32.0,19476,429455,text,26
32.0,10188,10198,text,27
32.0,5892,17096,text,27
32.0,5866,23970,text,27
32.0,12926,81772,text,27
32.0,1418,222326,text,27
32.0,9466,232798,text,27
