action_times,actions,block,button_pressed,key_press,path,queries,responses,rewards,rt,score,simulation_mode,stimulus,time_elapsed,trial_index,trial_type,pid
"[4341, 5103, 5762]","[u'down', u'down', u'right']",train_basic,,,"[0, 4, 8, 16]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-8, 8, 24]","[4337, 261, 141]",24.0,"[None, None, None]",,7699,0.0,mouselab-mdp,0
"[5787, 6358, 7388]","[u'up', u'up', u'right']",train_basic,,,"[0, 2, 6, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[24, -8, 24]","[5784, 50, 505]",40.0,"[None, None, None]",,17089,1.0,mouselab-mdp,0
"[1961, 2586, 3192]","[u'down', u'down', u'right']",train_basic,,,"[0, 4, 8, 16]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[24, 8, 24]","[1957, 116, 109]",56.0,"[None, None, None]",,22725,2.0,mouselab-mdp,0
"[6706, 7337, 7942]","[u'right', u'right', u'up']",train_basic,,,"[0, 1, 5, 9]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[24, -24, 40]","[6703, 132, 80]",40.0,"[None, None, None]",,32632,3.0,mouselab-mdp,0
"[1376, 1933, 2488]","[u'up', u'up', u'right']",train_basic,,,"[0, 2, 6, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[8, 8, 40]","[1372, 43, 45]",56.0,"[None, None, None]",,37100,4.0,mouselab-mdp,0
"[3810, 4441, 5030]","[u'left', u'left', u'down']",train_basic,,,"[0, 3, 7, 14]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-24, 24, 8]","[3807, 120, 77]",8.0,"[None, None, None]",,44109,5.0,mouselab-mdp,0
"[3839, 4472, 5064]","[u'down', u'down', u'right']",train_basic,,,"[0, 4, 8, 16]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[8, -8, 24]","[3836, 107, 63]",24.0,"[None, None, None]",,51194,6.0,mouselab-mdp,0
"[2147, 2704, 3338]","[u'up', u'up', u'right']",train_basic,,,"[0, 2, 6, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-8, 24, 24]","[2145, 32, 116]",40.0,"[None, None, None]",,56662,7.0,mouselab-mdp,0
"[2005, 2553, 3165]","[u'up', u'up', u'left']",train_basic,,,"[0, 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[24, 24, 8]","[2002, 30, 93]",56.0,"[None, None, None]",,62781,8.0,mouselab-mdp,0
"[2627, 3284, 3911]","[u'up', u'up', u'right']",train_basic,,,"[0, 2, 6, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[8, 24, 8]","[2624, 136, 98]",40.0,"[None, None, None]",,68720,9.0,mouselab-mdp,0
"[1704, 2541, 3331]","[u'right', u'right', u'up']",train_hidden,,,"[0, 1, 5, 9]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[8, 8, -8]","[1701, 316, 269]",8.0,"[None, None, None]",,75902,10.0,mouselab-mdp,0
"[304, 924, 1988]","[u'up', u'up', u'left']",train_hidden,,,"[0, 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[24, -8, 8]","[301, 104, 564]",24.0,"[None, None, None]",,79981,11.0,mouselab-mdp,0
"[258, 942, 1809]","[u'left', u'left', u'up']",train_hidden,,,"[0, 3, 7, 13]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[24, 8, -8]","[256, 168, 344]",24.0,"[None, None, None]",,83754,12.0,mouselab-mdp,0
