action_times,actions,block,button_pressed,key_press,path,queries,responses,rewards,rt,score,simulation_mode,stimulus,time_elapsed,trial_index,trial_id,trial_type,pid
,,,,32.0,,,,,930,,,,84176,,,text,0
,,,,32.0,,,,,1085,,,,123759,,,text,0
,,,,32.0,,,,,1248,,,,200398,,,text,0
,,,,32.0,,,,,1556,,,,255455,,,text,0
,,,,32.0,,,,,4592,,,,66625,,,text,1
,,,,32.0,,,,,1471,,,,99525,,,text,1
,,,,32.0,,,,,1593,,,,179006,,,text,1
,,,,32.0,,,,,1301,,,,244557,,,text,1
,,,,32.0,,,,,996,,,,75567,,,text,2
,,,,32.0,,,,,919,,,,99143,,,text,2
,,,,32.0,,,,,894,,,,165973,,,text,2
,,,,32.0,,,,,1204,,,,214892,,,text,2
,,,,32.0,,,,,664,,,,41926,,,text,3
,,,,32.0,,,,,1335,,,,68371,,,text,3
,,,,32.0,,,,,1358,,,,142372,,,text,3
,,,,32.0,,,,,919,,,,197466,,,text,3
,,,,32.0,,,,,1893,,,,102651,,,text,4
,,,,32.0,,,,,1250,,,,141665,,,text,4
,,,,32.0,,,,,4118,,,,236798,,,text,4
,,,,32.0,,,,,1205,,,,335876,,,text,4
,,,,32.0,,,,,1020,,,,55573,,,text,5
,,,,32.0,,,,,580,,,,91034,,,text,5
,,,,32.0,,,,,1073,,,,184333,,,text,5
,,,,32.0,,,,,5938,,,,251633,,,text,5
,,,,32.0,,,,,1598,,,,83373,,,text,6
,,,,32.0,,,,,1223,,,,123829,,,text,6
,,,,32.0,,,,,1357,,,,197413,,,text,6
,,,,32.0,,,,,775,,,,282437,,,text,6
,,,,32.0,,,,,3591,,,,214253,,,text,7
,,,,32.0,,,,,2124,,,,288525,,,text,7
,,,,32.0,,,,,4208,,,,457911,,,text,7
,,,,32.0,,,,,5053,,,,608846,,,text,7
,,,,32.0,,,,,853,,,,55281,,,text,8
,,,,32.0,,,,,924,,,,77953,,,text,8
,,,,32.0,,,,,792,,,,125218,,,text,8
,,,,32.0,,,,,673,,,,153427,,,text,8
