key_press,rt,time_elapsed,trial_type,pid
32.0,2351,101506,text,0
32.0,1098,152092,text,0
32.0,2045,229382,text,0
32.0,3272,284239,text,0
32.0,906,87234,text,1
32.0,760,120664,text,1
32.0,5967,147799,text,1
32.0,1925,177937,text,1
32.0,1428,202601,text,2
32.0,1269,261758,text,2
32.0,1144,417376,text,2
32.0,1084,547573,text,2
32.0,2268,220484,text,3
32.0,1088,275877,text,3
32.0,1320,346430,text,3
32.0,1957,425551,text,3
32.0,950,118070,text,4
32.0,787,148783,text,4
32.0,843,198129,text,4
32.0,859,234832,text,4
32.0,1524,154299,text,5
32.0,1197,203203,text,5
32.0,1423,237335,text,5
32.0,892,290322,text,5
32.0,2135,505615,text,6
32.0,1305,623109,text,6
32.0,3456,825427,text,6
32.0,1265,971565,text,6
32.0,1156,178085,text,7
32.0,1032,223878,text,7
32.0,1409,368190,text,7
32.0,1129,457087,text,7
32.0,1637,99465,text,8
32.0,694,149420,text,8
32.0,663,228006,text,8
32.0,634,293908,text,8
32.0,62311,165415,text,9
32.0,1814,210209,text,9
32.0,1005,247092,text,9
32.0,1212,295204,text,9
32.0,1693,181460,text,10
32.0,1405,235568,text,10
32.0,1473,324608,text,10
32.0,1193,379562,text,10
32.0,1515,121547,text,11
32.0,1524,171689,text,11
32.0,1077,210909,text,11
32.0,894,257445,text,11
32.0,1317,132815,text,12
32.0,940,170508,text,12
32.0,1487,343705,text,12
32.0,1264,437502,text,12
32.0,1581,133362,text,13
32.0,1182,179463,text,13
32.0,1130,223762,text,13
32.0,1063,258747,text,13
32.0,988,116020,text,14
32.0,941,157189,text,14
32.0,944,219029,text,14
32.0,776,264200,text,14
32.0,3008,245872,text,15
32.0,681,415749,text,15
32.0,787,710565,text,15
32.0,23532,790461,text,15
32.0,1191,130795,text,16
32.0,990,168756,text,16
32.0,1239,262579,text,16
32.0,1015,319579,text,16
32.0,1032,111961,text,17
32.0,874,145168,text,17
32.0,925,254790,text,17
32.0,606,309445,text,17
32.0,1659,130919,text,18
32.0,1005,181810,text,18
32.0,920,289849,text,18
32.0,903,343169,text,18
32.0,1253,131406,text,19
32.0,1577,193841,text,19
32.0,1526,317073,text,19
32.0,1480,411011,text,19
