bonus,bonusRate,branching,completed,inspectCost,pid,startTime,version
1.15,0.01,312,True,1,0,Mon Jan 29 2018 13:44:18 GMT-0500 (EST),c1.1
0.94,0.01,312,True,1,1,Mon Jan 29 2018 15:10:26 GMT-0600 (Central Standard Time),c1.1
3.73,0.01,312,True,1,2,Mon Jan 29 2018 10:50:32 GMT-0800 (Pacific Standard Time),c1.1
2.52,0.01,312,True,1,3,Mon Jan 29 2018 11:30:30 GMT-0500 (Eastern Standard Time),c1.1
3.1,0.01,312,True,1,4,Mon Jan 29 2018 13:44:21 GMT-0600 (Central Standard Time),c1.1
0.25,0.01,312,True,1,5,Mon Jan 29 2018 09:57:05 GMT-0500 (EST),c1.1
3.4,0.01,312,True,1,6,Mon Jan 29 2018 09:35:35 GMT-0700 (US Mountain Standard Time),c1.1
0.0,0.01,312,True,1,7,Mon Jan 29 2018 12:10:02 GMT-0500 (Eastern Standard Time),c1.1
2.29,0.01,312,True,1,8,Mon Jan 29 2018 13:29:54 GMT-0600 (Central Standard Time),c1.1
0.2,0.01,312,True,1,9,Mon Jan 29 2018 09:45:41 GMT-0500 (Eastern Standard Time),c1.1
0.0,0.01,312,True,1,10,Mon Jan 29 2018 12:43:11 GMT-0800 (Pacific Standard Time),c1.1
2.04,0.01,312,True,1,11,Mon Jan 29 2018 12:42:48 GMT-0600 (Central Standard Time),c1.1
3.62,0.01,312,True,1,12,Mon Jan 29 2018 10:44:52 GMT-0500 (Eastern Standard Time),c1.1
0.05,0.01,312,True,1,13,Mon Jan 29 2018 09:41:24 GMT-0500 (Eastern Standard Time),c1.1
3.63,0.01,312,True,1,14,Mon Jan 29 2018 06:43:10 GMT-0800 (Pacific Standard Time),c1.1
2.73,0.01,312,True,1,15,Mon Jan 29 2018 14:49:59 GMT+0000 (GMT Standard Time),c1.1
2.66,0.01,312,True,1,16,Mon Jan 29 2018 09:58:48 GMT-0500 (Eastern Standard Time),c1.1
2.89,0.01,312,True,1,17,Mon Jan 29 2018 14:47:29 GMT-0500 (Eastern Standard Time),c1.1
1.65,0.01,312,True,1,18,Mon Jan 29 2018 13:43:45 GMT-0500 (EST),c1.1
2.98,0.01,312,True,1,19,Mon Jan 29 2018 09:47:15 GMT-0500 (EST),c1.1
