,0,1,2,3,4,5,6,7
0,Randomly,Randomly,left,Randomly,No,37,No,
1,I trusted my instincts.,"I always chose the lesser of two evils if all the revealed nodes were negative, if they showed positive i chose the highest, then i trusted my instincts on the rest. I am generally a naturally good guesser.",the node to the left.,when i had no more turns.,"sometimes when i clicked all three nodes, only two numbers were revealed, if they were both negative then i took my chance on the one that wasn't revealed. ",35,no.,"The game itself was exciting, but i don't really like to gamble because i hate losing money so it was a little stressful every time my numbers would get up to 160 then drop back down to 20. This is why i don't go to the casino, losing money is not fun for me. i don't understand the appeal of gambling."
2,Where there were high losses,Where there were green numbers and not red,at the branches closest to me. ,when I found a way to get something positive,I would not click further in one direction if a high loss was closest to me.,45,No. It was a fun game,Thank you.
3,Anywhere that started out as -10 I wouldn't click beyond. ,I decided I'd try the first circle of each path until I got a positive number.,The closest circle to the starting point of each path.,When I had enough information to know I would be in the positive.,Nothing else I can think of. ,30,No,
4,the negative numbers,where the spider would go first,the first spots,when i found positive numbers,,52,no,
5,,,,,,28,,
6,"if the amounts were negative to begin with, I didn't click further. ","I started with the first node out, and if that was green I checked the attached nodes. ",in any of the first nodes away from the spider. ,when I found a path that seemed to have the most money possible. ,I just tried to click as few spaces as possible to find my way. ,41,No. It was all pretty clear. ,This was really fun. 
7,random,random,to the left,random,"not really, just random.",38,no,
8,I usually did not want to waste clicks next to the start if I found a 10 at the end. I also did not waste a click if the end value was a -10 since that direction would be too risky to take.,"I tried to select one node from the ends of each web to see if any would be positive and, if so, if they were 10 (felt safer going there) or if they were 5 (could be a negative before the end that would wipe out the 5).",At the end value of the upper right web,"Often I would use up all my clicks but sometimes I would see a 10 at the end, maybe click the second to last node and, if it was also positive I would just take that route with no further clicking.","I tried to use my clicks to explore the greatest area, so I would choose an end value from each of the three trails. If that end value was 10, I figured that I would likely not get two other negative tens on that path, so I would select to go ahead. If the value was a -10 I would avoid that path since I could also be facing a -5 along the way and even with a 10 I would still be losing. If the value was a -5 I might click another node on that path to see if it was 10 so that I could hope to at least break even on the path.",49,"No, the directions were clear and the practice trials were very helpful.",Thank you -- this was fun and challenging!
9,I didn't really.,I went different directions from the last time,Left,When I was out of space,,29,,
10,in the beginning I was going in the direction opposite of a first negative number but that didn't really work,randomly for a while and then I tried the same path a few times in a row ,up,no real method,no,48,no,none
11,"When the last node was negative, I didn't go that way.",I usually tried to find the nodes with the $10.00 value at the end.,At the paths' last node.,I usually stopped when I found the $10.00 at the end.,"Once I found a $10.00 node at the end, I just stopped clicking and hopped for the best.",35,No.  The instructions were clear and the game was a lot of fun.,I had fun!  Keep them coming!!!
12,The obsolete buttons that had little to no bearing in branch decisions.,I strategized by clicking the balls that mattered the most and connected to most branch options.,The branch node that had three branches.,When I found the maximum possible output.,no,41,no,fun survey thanks!
13,Based on doing it before and it not turning out right,I tried to remember patterns before that paid a decent amount of money.,"I just used the arrows to go right, never clicked.",I never clicked because I didn't want to loose money,"Just tried to remember from practice what was best.
",33,I did better during the practice than the other rounds.,"I didn't see anywhere how long this would take, and it took much longer than expected for pay since it was determined by bonus."
14,If I saw -10,If I found a green I'd follow that path until I see 3 green or if it was good enough to go down.,If I saw a green.,If I ran into a -10 or a -5 in the first 3 clicks.,Nope.,27,Nope,Thanks!
15,I tried to avoid directions in which I would lose money.,I tried to discover most nodes and then went with what gave me more money.,In the blocks directly to the sides.,When I was losing more money than I could possibly make in that round.,No.,22,Nothing was hard or confusing.,
16,If I got two reds in a row I'd stop that path,I started with the closer ones to me and followed the path if it was green,On the left bubble closest to me,If the reds added to more than I can make in the path then I would stop that path and start another,I was looking for large green numbers to start and following that path first.,39,No it was not confusing at all,Thank you so much for this study
17,By clicking the nodes closest to me first and gauging their values.,Yes,The nodes closest to the spider.,When an amount looked attractive.,No.,21, No.,
18,It was just by instinct ,Just went with my gut in an area where I was doing well in the beginning but that changed later in the game.,Right is my favorite direction and it seemed to be working for a while.,I felt like I would lose too much money by clicking,No if I had a better strategy I would have made more money. I was doing well in the beginning but that did not continue.,63,No,
19,Same as above.,I used the node inspector ,To the right.,I just did.,No,30,No,No
20,Clicking anywhere but the end was a waste of money,Always click the end of any stem. Stop clicks when 10 is found.,top left of left quadrant,10 was the greatest value so it was pursued whenever found,"It is simple, don't waste clicks, guess for a 10, pursue 10",23,No,None
21,i avoided -10s,"after using the information tool, i just went down the best route",to the right,when i saw an advantageous route,not really,36,no ,
22,random choices,random choices,to the left,got to the end,no,31,no,no
23,once there was a very large subtraction of funds.,I just went for the first one in each direction,The first node to the left,When I saw a good final outcome,no,42,No,none
24,At first I didn't really have a method but clicking the end of the paths was smarter than what I was doing at first.,I wanted to try to start on a node with the highest possible amount and I checked the end of the paths as well.,The first 3 possible directions. ,If I got at least 1-2 10's I felt there was no point to keep looking.,Not really. I actually feel like it could end up being worth it to check all of them.,24,No it was really fun,
25,If I lost money on two consecutive clicks I tried another path.,I worked out from the center to try and decide which way I should try first.,A the beginning of the path that paid the best on the previous round.,When it looked like there was no upside to be had.,My strategy stayed the same but there seemed to be fewer chances to win money as the game progressed.,66,No,That was a fun game!
26,I tried to not waste too many clicks.,I tried to click on just a few.,Random,Tried to click as few as possible,No,51,No,No
27,Try to avoid the negatives.,Tried to look for the best option.,The end of the routes.,Go to the end of the route.,Try to find the most money.,48,No.,This study was interesting.
28,"Once I found a $10 node, I quit.","I just tried to click on the first node to move to and if it was $10, I would quick clicking and move in that direction.",One of the first nodes at random.,After finding a $10 node,Not really.  Just guessing.,60,no pretty simple,
