bonus,bonusRate,branching,completed,inspectCost,pid,startTime,variance,version
1.71,0.002,312,True,1,0,Tue Jan 30 2018 17:51:03 GMT-0500 (Eastern Standard Time),24_4_2,c2.1
1.34,0.002,312,True,1,1,Tue Jan 30 2018 18:05:41 GMT-0500 (Eastern Standard Time),24_4_2,c2.1
0.0,0.002,312,True,1,2,Tue Jan 30 2018 16:52:11 GMT-0600 (Central Standard Time),2_4_24,c2.1
1.9,0.002,312,True,1,3,Tue Jan 30 2018 18:34:36 GMT-0500 (Eastern Standard Time),24_4_2,c2.1
2.67,0.002,312,True,1,4,Tue Jan 30 2018 17:50:16 GMT-0500 (Eastern Standard Time),2_4_24,c2.1
1.95,0.002,312,True,1,5,Tue Jan 30 2018 19:04:08 GMT-0500 (Eastern Standard Time),24_4_2,c2.1
0.39,0.002,312,True,1,6,Tue Jan 30 2018 17:58:11 GMT-0500 (EST),2_4_24,c2.1
2.0,0.002,312,True,1,7,Tue Jan 30 2018 17:02:46 GMT-0600 (Central Standard Time),24_4_2,c2.1
1.57,0.002,312,True,1,8,Tue Jan 30 2018 15:42:44 GMT-0800 (PST),24_4_2,c2.1
2.71,0.002,312,True,1,9,Tue Jan 30 2018 16:47:59 GMT-0500 (Eastern Standard Time),2_4_24,c2.1
2.04,0.002,312,True,1,10,Tue Jan 30 2018 17:09:36 GMT-0600 (CST),24_4_2,c2.1
1.38,0.002,312,True,1,11,Tue Jan 30 2018 15:54:15 GMT-0600 (Central Standard Time),24_4_2,c2.1
1.13,0.002,312,True,1,12,Tue Jan 30 2018 13:11:45 GMT-0700 (Mountain Standard Time),24_4_2,c2.1
1.52,0.002,312,True,1,13,Tue Jan 30 2018 19:53:51 GMT-0500 (EST),24_4_2,c2.1
0.0,0.002,312,False,1,14,Tue Jan 30 2018 17:56:08 GMT-0700 (MST),2_4_24,c2.1
0.8,0.002,312,True,1,15,Tue Jan 30 2018 18:55:43 GMT-0600 (CST),24_4_2,c2.1
2.22,0.002,312,True,1,16,Tue Jan 30 2018 16:50:36 GMT-0600 (CST),24_4_2,c2.1
2.55,0.002,312,True,1,17,Tue Jan 30 2018 17:07:48 GMT-0800 (Pacific Standard Time),2_4_24,c2.1
