pid,assignment_id,worker_id
0,32AT8R96GL9QBDP3IFFV8UWAY1USUJ,A12JKH1G046CI7
1,35BLDD71I6XNP40HIXJ809VWZDJVZC,A13R19R7EQQNVA
1,3NGI5ARFTT5DPOIDOA1H2NM20D5P12,A13R19R7EQQNVA
2,39DD6S19JPB6NTEVN7UY057AZIJEZS,A1591LK9JIOJU1
3,3DBQWDE4Y6YCAL7J9IQ11OUOCACN5H,A15WCNO32MHBAF
3,3LUY3GC63Z0R0AXFDQIQ3XDF31BP79,A15WCNO32MHBAF
4,36AHBNMV1RC1QXQQVQHVGGGNTLODYZ,A16MDZ7O8KL9EC
5,3DR23U6WE5EA1H5WHF5GEH6TEU1ETW,A17XO6FHLR6NYZ
6,36AHBNMV1RC1QXQQVQHVGGGNTG1YDN,A1AGPPFSUSJSZN
6,3J88R45B2GYLFP36V3MOXWQ35OWPXY,A1AGPPFSUSJSZN
7,36ZN444YTRY64U2AHH985MYY7FCOIE,A1BM01KSNLDTPV
8,3JNQLM5FT4MUNOLBFM8OQPNNNDSL2Z,A1C1YCP428CQ7E
9,32SVAV9L3F92CNQQMVX30LC4ZBE3AN,A1CXB0JXEY20NV
9,34FNN24DCM96MKBXGKZCI4SVGUHY5J,A1CXB0JXEY20NV
10,3P1L2B7AD1P8UVAG2K6LX2QQOJYOLK,A1EMBQB8FM6EZH
11,3P59JYT76LKI61TGOVAFCGX4HTZ2TA,A1F115XEEG8UX8
12,3DYGAII7PL816S2U9PRW3OUA8UIPQS,A1FOETNZPX6EE7
13,34HJIJKLP5W7M7CSX4TI6DINYS84VL,A1KFIQBETMB81I
14,31N2WW6R9RQX8E7YXBJVEMNVWRZF3K,A1KIKDBI04LCZL
14,3MX2NQ3YC9UHMFLNBODAZQLMEOMX5B,A1KIKDBI04LCZL
15,3PWWM24LHSYZ8H1SLXZKLK1H3AJ82K,A1MM2YSKUVTXH0
15,3YDGXNSEOZU9BVGFPBI8EZYFNJJ486,A1MM2YSKUVTXH0
16,37W3JXSD6680Z3QHCLML84580S6WYL,A1N91AUYC0H7S4
16,3FE7TXL1LIN5EL1O7RGK7BMHXFN2Q5,A1N91AUYC0H7S4
17,3UNH76FOCS54URW38JGYZ63H2T4YME,A1NYIG31PDS832
17,3W92K5RLWUHPIQGSB9CSB5O1YDF5VH,A1NYIG31PDS832
18,3XLBSAQ9Z4CLEEZL0ZGSUVFTD3DZ75,A1PVWZ8ZYJHCOJ
19,3LWJHTCVCCMPFFD0VMVRRUG66FNQF0,A1VK5SS431NA46
19,3PPTZCWALQKVKW40WYPYUMWOIO5QZK,A1VK5SS431NA46
20,3A1PQ49WVHHLC7KP5XTCTEKBERSH1W,A1VXPFX14EQQQ7
21,34BBWHLWHABE93BC830IMGBKAGUIW1,A1WGAGT5ZN4A3X
22,33CKWXB73JKA8WZB38QR1R44X1A11T,A1XFAUNS2LQL9H
23,32KTQ2V7RDFPTQOV07OI0PAQTQYM94,A2051CN5YPVQD
24,39N5ACM9HENVETL8SNGAHT4LYPUP9C,A21KGPIP2Y7HHS
24,3TU5ZICBRD1G003DN8PLH2ZKJB28QT,A21KGPIP2Y7HHS
25,34BBWHLWHABE93BC830IMGBKAD4WIJ,A21ZQJHXJQD557
25,3S3AMIZX3U5ONUPLZYZ6JPO4QOJCDL,A21ZQJHXJQD557
26,3UN61F00HWPXPJZB2P7IA8ZYD8T5RH,A23OWTM4N480J
27,3CN4LGXD5XOOQ17X2FG2DCMHGYLY4D,A24DSECWUBZC0Z
27,3JAOYWH7VI45N86A0VN30CV1TFQL97,A24DSECWUBZC0Z
28,3QY7M81QH7MQPJ0Z0YDI7GRG9T9K7B,A24R4CCATCC2XP
29,33FBRBDW6OZC6ZTUIQOQXXA3FXUC8N,A24WDE3E887KCO
29,3PDJHANYK5GGJTLMB35TOABSMXDH6P,A24WDE3E887KCO
30,3Q8GYXHFEP2TJHASKSHNLD0CDE55C4,A2581F7TDPAMBQ
31,3L6L49WXW0XQODXDRDB52FOOLUG454,A26HH5XUH214F7
31,3WMINLGALB3QPNM9FO84TOGY5O6CA9,A26HH5XUH214F7
32,3X65QVEQI0N7L6DDCFXU22W9Z5PCLL,A26JIHKBORI9X
33,31UV0MXWNQCKWKWSC2D9WGY7QFOI5A,A27MFQYC1WKOM8
33,3ZQIG0FLQEGJV9VC7AZ1151EIAPVWU,A27MFQYC1WKOM8
34,37Z929RLG98BB0AEIAPL3YA8FIEST9,A29EL77Y1V21Q7
34,39L1G8WVWQR6IZDQQC4APKJ1VDV13C,A29EL77Y1V21Q7
35,33PPO7FECVFF0XBLR8VSUSMZ3TEDIZ,A29GNU19VJN3Q6
35,3HFNH7HEMHEVTF9V66199FGI7YJQG3,A29GNU19VJN3Q6
36,39RP059MEHT8HJ3SYR2ERV5GHGPBM7,A29XOZWPN4AQDV
36,3P4RDNWND56S3JBD14H3XQHC8G9JIN,A29XOZWPN4AQDV
37,3I02618YA06TYL9BQYB1DPRZBEDPUK,A2A2PCKG5Q3U2G
38,37TRT2X24QRIGBX7VUPMB3DZDVEJBD,A2APPZDU0VS9LN
39,36TFCYNS44AT285ICQEJONOCJ5NXHI,A2COAUZ1TISD2Q
40,3VELCLL3GKJ1YBTJA75CQT8YYE51FC,A2CYF2YSAXGB3G
41,37W3JXSD6680Z3QHCLML84580ZTYWO,A2ECXGDFC0NJEL
42,3PIWWX1FJJ6OYUVJJM239RWCLZDJJM,A2FQ8LV896AJ20
43,34BBWHLWHABE93BC830IMGBKA94WIB,A2H0I4FX8JHJDS
43,3LWJHTCVCCMPFFD0VMVRRUG66LGQF5,A2H0I4FX8JHJDS
44,3LO69W1SU3DK2ITIE1TDSTHOXW5GLL,A2L73JKDFWI0KJ
45,32EYX73OY09EAYPQ3QFQIKRECTOURY,A2LSWV5HVILUWB
45,3F6HPJW4JD0AYIXAJ0FQZ043LDY2WX,A2LSWV5HVILUWB
46,30ZX6P7VF8VOSYXBC1WBAAAVJONJ2V,A2MHF5UTV5RFMZ
47,3LKC68YZ3A3O5PMF6YDN6D76MPSWO9,A2NL38BFEE3BVY
48,32AT8R96GL9QBDP3IFFV8UWAY0WSUJ,A2QMHQXR8K4VJ2
49,3JJVG1YBEBXA9CIM6SLSATUUVUH5BB,A2R2FD7LEWSW7
50,354GIDR5ZB6AUITBB6IR9H2KNHZ00N,A2R6RDZ07V4KWB
51,39GXDJN2OTE858ZU97JVNPYS04C8VK,A2TCX20FIMNWSS
51,3X73LLYYQ1EOQEREAKRAQLXEHO1HN0,A2TCX20FIMNWSS
52,373ERPL3YO8ZALA13LPGDO5CTKITRH,A2UCKZZI9KBBCV
53,3TXMY6UCAEOIC3TQ4K5QJOV39ASCQO,A2UOJVCT74AZ9S
54,3IOEN3P9S7J5FI089E28WNVL5CS16T,A2W8XV3TQEJK7G
55,3A7Y0R2P2OOPTE080QH4004RWY8XJ6,A2Z6EQWA4XJQGI
56,3NPI0JQDAO5EY8UMQTLR8T5XS06PTT,A301GGK0MOB5QD
