pid,assignment_id,worker_id
0,3KRVW3HTZNL7Y5KU9DO9HKFGLX4SM4,A1CI20SHHTUP0R
1,3N1FSUEFL50LSQC66JTO0RCGY394DR,A1F42D4L22K5ND
2,382M9COHEHFP1UKLHKVQJDSVXSXUEW,A1UKAS30R0MFI6
3,32SCWG5HIH48WAJAUGDYXJDJ8DHP6A,A1WPAJXO9G3B0F
4,3DQQ64TANGL6QPYGLYQ2VDCWWFAWPI,A20VKYV1BCNFFV
5,308XBLVESI4ZEZGK3ZYVDUZQNWIBRB,A247FJ235YHG9J
6,39N5ACM9HENVETL8SNGAHT4LYEQ9P6,A2SS9IDO14UWU8
7,3LKC68YZ3A3O5PMF6YDN6D76MAEWO1,A2WVCXVSE0YGML
8,3K4J6M3CXET36Z2EHA4NJF1D35MAGJ,A3CMRD0ZMKYWJS
9,3KWTYT08703MML4YX5AMOWQZ7875LE,AAKCH7WUTD65M
10,3JMSRU9HQIUPE99LMA5VFZUEBZ9EV8,AIK9W79I4TPJW
11,3WYP994K17R25OBBL39HAA6VCIL6YM,AJBR603DHJCYJT
12,3TUI152ZZBNYP0JSONG62SCC5YO1QG,AV22FQTJNBUZT
13,3QY5DC2MXRKH78KHCVFW1VDV9TCUFE,AY4B7SUM68J3G
