pid,worker_id,assignment_id,bonus,status
0,A1CI20SHHTUP0R,3KRVW3HTZNL7Y5KU9DO9HKFGLX4SM4,1.86,bonused
1,A1F42D4L22K5ND,3N1FSUEFL50LSQC66JTO0RCGY394DR,2.1,bonused
2,A1UKAS30R0MFI6,382M9COHEHFP1UKLHKVQJDSVXSXUEW,2.07,bonused
3,A1WPAJXO9G3B0F,32SCWG5HIH48WAJAUGDYXJDJ8DHP6A,2.23,bonused
4,A20VKYV1BCNFFV,3DQQ64TANGL6QPYGLYQ2VDCWWFAWPI,2.42,bonused
5,A247FJ235YHG9J,308XBLVESI4ZEZGK3ZYVDUZQNWIBRB,2.3,bonused
6,A2SS9IDO14UWU8,39N5ACM9HENVETL8SNGAHT4LYEQ9P6,0.43,bonused
7,A2WVCXVSE0YGML,3LKC68YZ3A3O5PMF6YDN6D76MAEWO1,2.33,bonused
8,A3CMRD0ZMKYWJS,3K4J6M3CXET36Z2EHA4NJF1D35MAGJ,2.3,bonused
9,AAKCH7WUTD65M,3KWTYT08703MML4YX5AMOWQZ7875LE,1.95,bonused
10,AIK9W79I4TPJW,3JMSRU9HQIUPE99LMA5VFZUEBZ9EV8,2.39,bonused
11,AJBR603DHJCYJT,3WYP994K17R25OBBL39HAA6VCIL6YM,1.89,approved
12,AV22FQTJNBUZT,3TUI152ZZBNYP0JSONG62SCC5YO1QG,0.12,bonused
13,AY4B7SUM68J3G,3QY5DC2MXRKH78KHCVFW1VDV9TCUFE,0.0,no bonus
