pid,assignment_id,worker_id
0,3QILPRALQ5VVX3QL7GX4D84FCFCN8A,A10Z4QVBJIA914
1,3JCG6DTRV3QM6439926L3TKKBWOQQE,A120PN22KW0VPY
2,3LOZAJ85YDDPNI20T5BC1JIASTUX21,A13DAZN4KKE0FG
3,3DEL4X4EL6LFO3V7MQI7ANJF78UXYN,A14P3ZTCQI6B3S
4,3RJSC4XJ10U9PPFC8CO3QCYB2W150G,A150XGQ7KWLBWN
5,32Q90QCQ1SLBYYF9N6RODQJXTN5KE1,A17J1CE7N49Z9D
6,3YGXWBAF70HBNY6S6NYDGLUYBP4C4C,A17XAIW2RJZ2CV
7,3QBD8R3Z21JCWN3VWS74BLOF03RO4P,A1EV66QWCULDE5
8,3HFNH7HEMHEVTF9V66199FGI597QGB,A1HG1MAPMIJM82
9,3QEMNNSB2XZIBDUP8HRV33WQNR9D70,A1IRLAHEZA0SBT
10,3Q8GYXHFEP2TJHASKSHNLD0CBLTC5B,A1LR0VQIHQUJAM
11,37UQDCYH6XV45UUBZ2RP9P2XNYYV72,A1O299EPNHZ5O4
12,3YMTUJH0DSGS9F83S9T35VU2ZB34TM,A1W12SRVWD66S9
13,345LHZDEDXSMRW4OS0EU0MOY4P3U37,A292QSLC0BUT0O
14,38F71OA9GTWYU0F83TOAALW1UTHMFS,A29NAIQPF7WGL
15,3PJ71Z61R42SX1267L5KGXMNTKQ91E,A2AM62BHO8G9MB
16,3RWE2M8QWHADFELICCKPKTYXTH5N0S,A2G8UI423QZYJJ
17,3U5JL4WY5K9ZQWHNXJU0UYF8C7R4X5,A2IAIFEQXABTAO
18,3BXQMRHWKZYNDICYYIJ9WLX44GUUMX,A2P44QU8NYNKGR
19,378XPAWRUCDH2Q897Y4Q4RETG4NAIQ,A31J9CLIOT9626
20,3TYCR1GOTCJKTZON4TH2D0XU6TJZLP,A33S6Y64WIA1T6
21,3QEMNNSB2XZIBDUP8HRV33WQNR57DQ,A34RRC4E4QMFI2
22,3QUO65DNQUOBDLXABYYMOPM9ZG0OUX,A3ACUGH5N9VQO2
23,3HMVI3QICJS7Y2AEFXX0FEFE2TB1YV,A3GM78FCDY293T
24,38F71OA9GTWYU0F83TOAALW1UTJMFU,A3I4PK485Z5QP9
25,3ATTHHXXWAOTY3G2I8W4OZPRHPKXI5,A3IF13XHP5UPO2
26,3TY7ZAOG5FKC780FFZS9S1HTZMM0KM,A3V2LUYXBLBAPS
27,3XIQGXAUMC8W9JZ6ZHS7XAZI39GX7H,A6ZAKE3FP8YKY
28,3NPFYT4IZC4F2CA7SKW13NCB2CPXGA,AE60SK1Y79RGK
29,3BGYGHDBBXKOM2Z35GQJBTOEFKK22M,AHKH0JN22XQWL
30,3U8YCDAGXPGYIBYAS4C6ONT2YSNQ0D,AKP3UXJ0TDPVO
31,3QL2OFSM96IX96GYOSD9FU0Y26XNCG,AOHE56L0POV6
32,3H7Z272LX77QFVMHHKJ0M2VGWU2LPG,AS68QSR9OKM0N
33,3HSYG7LRBJYEKY7JJS2RBLW2DK1KKL,AZY06QHJVQNWP
