bonus,bonusRate,branching,completed,condition,delay_hours,delay_window,demo,feedback,inspectCost,pid,principle_only,stage,startTime,variance,with_feedback,version
4,0.002,31123,TRUE,,24,12,,0,1,53,,2,Thu Apr 19 2018 05:58:48 GMT+0900 (Korea Standard Time),1_2_4_8_32,,I0.9
0.96,0.002,312,TRUE,0,24,12,,FALSE,1,155,,1,Tue Apr 17 2018 00:09:59 GMT-0700 (Pacific Daylight Time),2_4_24,FALSE,I0.9
0.55,0.002,312,TRUE,0,20,12,FALSE,FALSE,1,12,TRUE,1,Tue Apr 17 2018 13:51:07 GMT-0700 (MST),2_4_24,FALSE,I0.9
0.55,0.002,312,TRUE,1,20,12,TRUE,FALSE,1,97,FALSE,1,Tue Apr 17 2018 13:51:07 GMT-0700 (Pacific Daylight Time),2_4_24,FALSE,I0.9
0.55,0.002,312,TRUE,2,20,12,FALSE,TRUE,1,24,FALSE,1,Tue Apr 17 2018 13:51:40 GMT-0700 (Pacific Daylight Time),2_4_24,TRUE,I0.9
0.55,0.002,312,TRUE,0,20,12,FALSE,FALSE,1,108,TRUE,1,Tue Apr 17 2018 13:55:11 GMT-0700 (Pacific Daylight Time),2_4_24,FALSE,I0.9
0.55,0.002,312,TRUE,2,20,12,FALSE,TRUE,1,84,FALSE,1,Tue Apr 17 2018 13:56:42 GMT-0700 (Pacific Daylight Time),2_4_24,TRUE,I0.9
0.55,0.002,312,TRUE,2,20,12,FALSE,TRUE,1,48,FALSE,1,Tue Apr 17 2018 13:58:40 GMT-0700 (PDT),2_4_24,TRUE,I0.9
0.55,0.002,312,TRUE,1,20,12,TRUE,FALSE,1,128,FALSE,1,Tue Apr 17 2018 13:59:27 GMT-0700 (PDT),2_4_24,FALSE,I0.9
0.55,0.002,312,TRUE,2,20,12,FALSE,TRUE,1,144,FALSE,1,Tue Apr 17 2018 14:05:46 GMT-0700 (Pacific Daylight Time),2_4_24,TRUE,I0.9
0.55,0.002,312,TRUE,2,20,12,FALSE,TRUE,1,58,FALSE,1,Tue Apr 17 2018 14:11:30 GMT-0700 (Pacific Daylight Time),2_4_24,TRUE,I0.9
0.55,0.002,312,TRUE,1,20,12,TRUE,FALSE,1,69,FALSE,1,Tue Apr 17 2018 14:13:28 GMT-0700 (Pacific Daylight Time),2_4_24,FALSE,I0.9
0.55,0.002,312,TRUE,1,20,12,TRUE,FALSE,1,31,FALSE,1,Tue Apr 17 2018 14:16:52 GMT-0700 (PDT),2_4_24,FALSE,I0.9
0.55,0.002,312,TRUE,0,20,12,FALSE,FALSE,1,150,TRUE,1,Tue Apr 17 2018 14:20:42 GMT-0700 (US Mountain Standard Time),2_4_24,FALSE,I0.9
