key_press,rt,time_elapsed,trial_type,pid
32.0,13804,50096,text,0
32.0,6598,57702,text,0
32.0,8822,92526,text,0
32.0,17142,110682,text,0
32.0,15076,126764,text,0
32.0,13982,141764,text,0
32.0,5802,148574,text,0
32.0,3200,7696,text,0
32.0,10688,19390,text,0
32.0,9540,29940,text,0
32.0,18192,30276,text,1
32.0,6781,38066,text,1
32.0,11454,66698,text,1
32.0,2715,70417,text,1
32.0,18377,25110,text,1
32.0,12689,38805,text,1
32.0,7685,47493,text,1
32.0,9839,17093,text,2
32.0,3224,21317,text,2
32.0,10554,32874,text,2
32.0,12446,38414,text,2
32.0,9654,49068,text,2
32.0,5322,192784,text,2
38.0,32465,226250,text,2
32.0,17716,244967,text,2
32.0,10587,256554,text,2
32.0,2508,260064,text,2
32.0,9081,15333,text,3
32.0,14277,30615,text,3
32.0,14354,45972,text,3
32.0,3596,9889,text,3
32.0,10829,21720,text,3
32.0,5217,57236,text,3
32.0,24930,83176,text,3
32.0,18267,102450,text,3
32.0,21619,125075,text,3
32.0,12146,138224,text,3
32.0,14929,34964,text,4
32.0,7095,43063,text,4
32.0,14173,98878,text,4
32.0,32194,132077,text,4
32.0,28285,161366,text,4
32.0,24098,186468,text,4
32.0,9024,196498,text,4
32.0,11340,16617,text,4
32.0,10067,27696,text,4
32.0,7992,36693,text,4
32.0,23944,31541,text,5
32.0,23049,55601,text,5
32.0,7237,63841,text,5
32.0,20611,74573,text,5
32.0,11181,86758,text,5
32.0,14019,138909,text,5
32.0,5612,145526,text,5
32.0,19361,62339,text,6
32.0,9359,72700,text,6
32.0,9090,200516,text,6
32.0,4136,205657,text,6
32.0,23124,29481,text,6
32.0,32630,63118,text,6
32.0,14964,79083,text,6
32.0,20059,25485,text,7
32.0,19158,45646,text,7
32.0,16564,63213,text,7
32.0,24428,56844,text,7
32.0,10105,67955,text,7
32.0,8032,103529,text,7
32.0,3140,107670,text,7
32.0,21346,62442,text,8
32.0,53465,116911,text,8
32.0,7489,180937,text,8
32.0,39523,221462,text,8
173.0,5999,228464,text,8
32.0,17429,246895,text,8
32.0,21922,269820,text,8
32.0,19747,25573,text,8
32.0,35614,62193,text,8
32.0,8190,71393,text,8
32.0,14160,51906,text,9
32.0,11386,64303,text,9
32.0,8343,108006,text,9
17.0,27775,136791,text,9
32.0,38111,43465,text,9
32.0,25021,69499,text,9
32.0,14657,85168,text,9
32.0,19414,32555,text,10
32.0,11536,45096,text,10
32.0,5290,90245,text,10
40.0,17281,108530,text,10
32.0,12663,122198,text,10
32.0,9814,133018,text,10
32.0,5987,140009,text,10
32.0,14613,17216,text,10
32.0,13485,31704,text,10
32.0,13775,46483,text,10
32.0,7425,13226,text,11
32.0,6595,20822,text,11
32.0,7396,29222,text,11
32.0,17885,93283,text,11
32.0,6263,100551,text,11
32.0,5349,122532,text,11
32.0,11119,134653,text,11
32.0,11744,147402,text,11
32.0,13279,161682,text,11
32.0,6445,169129,text,11
32.0,19774,28436,text,12
32.0,21729,51172,text,12
32.0,10578,62762,text,12
32.0,19585,56346,text,12
32.0,12574,69926,text,12
32.0,17166,138326,text,12
32.0,9751,149083,text,12
32.0,28214,72611,text,13
32.0,13215,86829,text,13
32.0,7067,149579,text,13
32.0,30600,181180,text,13
32.0,15357,197541,text,13
32.0,21179,219724,text,13
32.0,6219,226947,text,13
32.0,29122,81929,text,14
32.0,11990,94935,text,14
32.0,10574,169565,text,14
32.0,47917,218487,text,14
32.0,21230,240720,text,14
32.0,25545,267271,text,14
32.0,23568,291840,text,14
32.0,17014,23763,text,14
32.0,15136,39906,text,14
32.0,7282,48191,text,14
32.0,19990,62379,text,15
32.0,7454,70834,text,15
32.0,6932,115250,text,15
32.0,19637,135890,text,15
32.0,20910,157802,text,15
32.0,36942,195746,text,15
32.0,16981,213731,text,15
32.0,5884,27264,text,15
32.0,5691,33960,text,15
32.0,6779,41744,text,15
32.0,19447,73760,text,16
32.0,11837,86602,text,16
32.0,15411,136801,text,16
32.0,24291,162096,text,16
32.0,18528,181630,text,16
32.0,22510,205143,text,16
32.0,24217,230362,text,16
32.0,14105,22975,text,16
32.0,7520,31498,text,16
32.0,7678,40182,text,16
32.0,17953,24508,text,17
17.0,11865,37378,text,17
17.0,3215,41607,text,17
32.0,9942,41394,text,17
32.0,6192,48597,text,17
32.0,17818,93252,text,17
39.0,21382,115638,text,17
32.0,15530,132172,text,17
39.0,25636,158813,text,17
39.0,9135,168952,text,17
32.0,17013,73362,text,18
32.0,11346,85714,text,18
32.0,7508,125520,text,18
32.0,2664,129187,text,18
32.0,36140,45110,text,18
32.0,32284,78406,text,18
32.0,10430,89840,text,18
32.0,5447,8148,text,19
32.0,2852,12006,text,19
32.0,6780,19788,text,19
