bonus,bonusRate,branching,completed,condition,inspectCost,pid,startTime,with_feedback,version
1.29,0.002,312,True,2,1,0,Thu May 31 2018 13:53:19 GMT-0500 (Central Daylight Time),True,IR0.9
1.21,0.002,312,True,2,1,1,Thu May 31 2018 13:06:00 GMT-0500 (Central Daylight Time),True,IR0.9
0.98,0.002,312,True,3,1,2,Thu May 31 2018 12:15:15 GMT-0500 (SA Pacific Standard Time),True,IR0.9
1.25,0.002,312,True,2,1,3,Thu May 31 2018 15:29:04 GMT-0400 (EDT),True,IR0.9
1.34,0.002,312,True,2,1,4,Thu May 31 2018 13:56:26 GMT-0400 (Eastern Daylight Time),True,IR0.9
1.27,0.002,312,True,3,1,5,Thu May 31 2018 15:10:40 GMT-0500 (Central Daylight Time),True,IR0.9
0.0,0.002,312,True,0,1,6,Thu May 31 2018 15:50:57 GMT-0400 (Eastern Daylight Time),True,IR0.9
1.05,0.002,312,True,0,1,7,Thu May 31 2018 12:30:18 GMT-0500 (CDT),True,IR0.9
1.07,0.002,312,True,0,1,8,Thu May 31 2018 12:26:37 GMT-0500 (Central Daylight Time),True,IR0.9
1.28,0.002,312,True,2,1,9,Thu May 31 2018 13:42:21 GMT-0400 (Eastern Daylight Time),True,IR0.9
1.34,0.002,312,True,2,1,10,Thu May 31 2018 10:23:43 GMT-0700 (Pacific Daylight Time),True,IR0.9
1.24,0.002,312,True,2,1,11,Thu May 31 2018 15:24:57 GMT-0400 (US Eastern Daylight Time),True,IR0.9
1.42,0.002,312,True,0,1,12,Thu May 31 2018 15:15:50 GMT-0400 (Eastern Daylight Time),True,IR0.9
1.31,0.002,312,True,2,1,13,Thu May 31 2018 14:51:11 GMT-0400 (Eastern Daylight Time),True,IR0.9
1.4,0.002,312,True,0,1,14,Thu May 31 2018 11:47:40 GMT-1000 (HST),True,IR0.9
1.26,0.002,312,True,1,1,15,Thu May 31 2018 13:29:45 GMT-0400 (Eastern Daylight Time),True,IR0.9
1.26,0.002,312,True,1,1,16,Thu May 31 2018 13:30:59 GMT-0500 (Central Daylight Time),True,IR0.9
1.35,0.002,312,True,2,1,17,Thu May 31 2018 14:02:20 GMT-0700 (Pacific Daylight Time),True,IR0.9
0.08,0.002,312,True,0,1,18,Thu May 31 2018 14:22:13 GMT-0400 (Eastern Daylight Time),True,IR0.9
0.25,0.002,312,True,3,1,19,Thu May 31 2018 15:20:08 GMT-0400 (Eastern Daylight Time),True,IR0.9
1.22,0.002,312,True,2,1,20,Thu May 31 2018 16:39:28 GMT-0400 (EDT),True,IR0.9
1.52,0.002,312,True,3,1,21,Thu May 31 2018 14:30:59 GMT-0500 (Central Daylight Time),True,IR0.9
1.13,0.002,312,True,3,1,22,Thu May 31 2018 10:38:06 GMT-0700 (Pacific Daylight Time),True,IR0.9
1.05,0.002,312,True,3,1,23,Thu May 31 2018 13:28:11 GMT-0400 (EDT),True,IR0.9
0.0,0.002,312,True,0,1,24,Wed May 30 2018 16:12:02 GMT-0400 (Eastern Daylight Time),True,IR0.9
1.34,0.002,312,True,2,1,25,Thu May 31 2018 14:08:37 GMT-0500 (Central Daylight Time),True,IR0.9
1.38,0.002,312,True,0,1,26,Thu May 31 2018 02:54:45 GMT+0530 (India Standard Time),True,IR0.9
1.36,0.002,312,True,0,1,27,Thu May 31 2018 12:38:39 GMT-0700 (Pacific Daylight Time),True,IR0.9
0.19,0.002,312,True,1,1,28,Thu May 31 2018 13:23:08 GMT-0500 (Central Daylight Time),True,IR0.9
1.3,0.002,312,True,1,1,29,Thu May 31 2018 13:24:19 GMT-0400 (Eastern Daylight Time),True,IR0.9
0.0,0.002,312,True,3,1,30,Thu May 31 2018 13:28:24 GMT-0400 (Eastern Daylight Time),True,IR0.9
0.97,0.002,312,True,0,1,31,Thu May 31 2018 10:54:32 GMT-0700 (Pacific Daylight Time),True,IR0.9
1.18,0.002,312,True,1,1,32,Thu May 31 2018 13:15:05 GMT-0400 (Eastern Daylight Time),True,IR0.9
0.0,0.002,312,True,3,1,33,Thu May 31 2018 14:43:02 GMT-0500 (Central Daylight Time),True,IR0.9
1.31,0.002,312,True,3,1,34,Thu May 31 2018 12:24:33 GMT-0500 (Central Daylight Time),True,IR0.9
0.75,0.002,312,True,3,1,35,Thu May 31 2018 14:46:53 GMT-0400 (Eastern Daylight Time),True,IR0.9
0.56,0.002,312,True,1,1,36,Thu May 31 2018 14:32:08 GMT-0500 (Central Daylight Time),True,IR0.9
1.3,0.002,312,True,3,1,37,Thu May 31 2018 14:40:49 GMT-0500 (Central Daylight Time),True,IR0.9
1.31,0.002,312,True,2,1,38,Thu May 31 2018 18:00:23 GMT-0500 (Central Daylight Time),True,IR0.9
0.97,0.002,312,True,2,1,39,Thu May 31 2018 14:23:21 GMT-0400 (EDT),True,IR0.9
1.25,0.002,312,True,1,1,40,Thu May 31 2018 13:19:28 GMT-0400 (Eastern Daylight Time),True,IR0.9
1.27,0.002,312,True,3,1,41,Thu May 31 2018 13:39:18 GMT-0400 (Eastern Daylight Time),True,IR0.9
1.44,0.002,312,True,3,1,42,Thu May 31 2018 15:00:10 GMT-0400 (Eastern Daylight Time),True,IR0.9
1.19,0.002,312,True,0,1,43,Thu May 31 2018 13:20:17 GMT-0400 (EDT),True,IR0.9
1.13,0.002,312,True,0,1,44,Thu May 31 2018 20:16:15 GMT+0300 (Jordan Daylight Time),True,IR0.9
1.3,0.002,312,True,2,1,45,Thu May 31 2018 13:25:08 GMT-0400 (Eastern Summer Time),True,IR0.9
0.97,0.002,312,True,1,1,46,Thu May 31 2018 14:40:35 GMT-0500 (Central Daylight Time),True,IR0.9
0.32,0.002,312,True,0,1,47,Thu May 31 2018 10:33:41 GMT-0700 (Pacific Daylight Time),True,IR0.9
1.26,0.002,312,True,1,1,48,Thu May 31 2018 10:16:22 GMT-0700 (Pacific Daylight Time),True,IR0.9
1.28,0.002,312,True,2,1,49,Thu May 31 2018 10:31:02 GMT-0700 (Pacific Daylight Time),True,IR0.9
1.35,0.002,312,True,0,1,50,Thu May 31 2018 14:54:10 GMT-0500 (Central Daylight Time),True,IR0.9
1.36,0.002,312,True,2,1,51,Thu May 31 2018 15:16:43 GMT-0400 (Eastern Daylight Time),True,IR0.9
1.21,0.002,312,True,2,1,52,Thu May 31 2018 14:01:55 GMT-0500 (Central Daylight Time),True,IR0.9
0.18,0.002,312,True,1,1,53,Thu May 31 2018 22:51:04 GMT+0530 (India Standard Time),True,IR0.9
1.24,0.002,312,True,2,1,54,Thu May 31 2018 12:27:34 GMT-0500 (Central Daylight Time),True,IR0.9
0.36,0.002,312,True,1,1,55,Thu May 31 2018 13:04:46 GMT-0500 (CDT),True,IR0.9
1.38,0.002,312,True,2,1,56,Thu May 31 2018 13:24:07 GMT-0500 (Central Daylight Time),True,IR0.9
0.07,0.002,312,True,1,1,57,Thu May 31 2018 13:29:51 GMT-0700 (Pacific Daylight Time),True,IR0.9
0.0,0.002,312,True,1,1,58,Thu May 31 2018 15:07:26 GMT-0500 (Central Daylight Time),True,IR0.9
1.41,0.002,312,True,3,1,59,Thu May 31 2018 14:24:39 GMT-0400 (EDT),True,IR0.9
1.18,0.002,312,True,0,1,60,Thu May 31 2018 12:03:00 GMT-0700 (Pacific Daylight Time),True,IR0.9
1.23,0.002,312,True,0,1,61,Thu May 31 2018 14:43:21 GMT-0400 (Eastern Daylight Time),True,IR0.9
1.38,0.002,312,True,2,1,62,Thu May 31 2018 12:17:31 GMT-0500 (CDT),True,IR0.9
1.15,0.002,312,True,0,1,63,Thu May 31 2018 14:22:11 GMT-0500 (CDT),True,IR0.9
1.34,0.002,312,True,2,1,64,Thu May 31 2018 14:42:56 GMT-0500 (Central Daylight Time),True,IR0.9
1.36,0.002,312,True,2,1,65,Thu May 31 2018 11:21:47 GMT-0600 (Mountain Daylight Time),True,IR0.9
1.43,0.002,312,True,3,1,66,Thu May 31 2018 12:20:44 GMT-0500 (CDT),True,IR0.9
1.27,0.002,312,True,2,1,67,Thu May 31 2018 13:21:51 GMT-0600 (Mountain Daylight Time),True,IR0.9
1.32,0.002,312,True,1,1,68,Thu May 31 2018 11:28:09 GMT-0700 (US Mountain Standard Time),True,IR0.9
1.05,0.002,312,True,2,1,69,Thu May 31 2018 15:39:16 GMT-0400 (Eastern Daylight Time),True,IR0.9
0.51,0.002,312,True,0,1,70,Thu May 31 2018 23:44:48 GMT+0530 (India Standard Time),True,IR0.9
0.85,0.002,312,True,3,1,71,Thu May 31 2018 13:19:23 GMT-0400 (Eastern Daylight Time),True,IR0.9
0.02,0.002,312,True,0,1,72,Thu May 31 2018 23:28:56 GMT+0530 (India Standard Time),True,IR0.9
1.28,0.002,312,True,2,1,73,Thu May 31 2018 12:25:44 GMT-0500 (CDT),True,IR0.9
1.19,0.002,312,True,1,1,74,Thu May 31 2018 12:43:38 GMT-0500 (CDT),True,IR0.9
1.29,0.002,312,True,0,1,75,Thu May 31 2018 12:25:15 GMT-0500 (Central Daylight Time),True,IR0.9
1.26,0.002,312,True,0,1,76,Thu May 31 2018 10:17:36 GMT-0700 (Pacific Daylight Time),True,IR0.9
1.3,0.002,312,True,2,1,77,Thu May 31 2018 15:32:45 GMT-0400 (Eastern Daylight Time),True,IR0.9
1.26,0.002,312,True,2,1,78,Thu May 31 2018 15:37:52 GMT-0400 (EDT),True,IR0.9
1.37,0.002,312,True,0,1,79,Thu May 31 2018 13:15:54 GMT-0400 (EDT),True,IR0.9
0.43,0.002,312,True,2,1,80,Thu May 31 2018 13:15:08 GMT-0400 (Eastern Daylight Time),True,IR0.9
1.06,0.002,312,True,3,1,81,Thu May 31 2018 16:39:16 GMT-0500 (Central Daylight Time),True,IR0.9
0.47,0.002,312,True,3,1,82,Thu May 31 2018 11:35:55 GMT-0700 (PDT),True,IR0.9
1.42,0.002,312,True,1,1,83,Thu May 31 2018 13:16:49 GMT-0400 (Eastern Daylight Time),True,IR0.9
0.0,0.002,312,True,1,1,84,Thu May 31 2018 11:10:59 GMT-0700 (PDT),True,IR0.9
1.32,0.002,312,True,3,1,85,Thu May 31 2018 16:52:32 GMT-0400 (Eastern Daylight Time),True,IR0.9
1.46,0.002,312,True,2,1,86,Thu May 31 2018 12:11:24 GMT-0500 (Central Daylight Time),True,IR0.9
1.47,0.002,312,True,0,1,87,Thu May 31 2018 13:23:39 GMT-0400 (Eastern Daylight Time),True,IR0.9
0.99,0.002,312,True,1,1,88,Thu May 31 2018 15:13:41 GMT-0400 (Eastern Daylight Time),True,IR0.9
1.27,0.002,312,True,1,1,89,Thu May 31 2018 12:36:32 GMT-0500 (Central Daylight Time),True,IR0.9
0.71,0.002,312,True,3,1,90,Thu May 31 2018 20:24:13 GMT+0200 (Egypt Standard Time),True,IR0.9
0.0,0.002,312,True,3,1,91,Thu May 31 2018 13:39:21 GMT-0400 (Eastern Daylight Time),True,IR0.9
1.33,0.002,312,True,0,1,92,Thu May 31 2018 13:26:18 GMT-0400 (Eastern Daylight Time),True,IR0.9
1.16,0.002,312,True,3,1,93,Thu May 31 2018 19:27:32 GMT+0000 (GMT),True,IR0.9
1.15,0.002,312,True,1,1,94,Thu May 31 2018 14:56:55 GMT-0400 (Eastern Daylight Time),True,IR0.9
0.11,0.002,312,True,0,1,95,Thu May 31 2018 21:56:59 GMT-0400 (Eastern Daylight Time),True,IR0.9
1.34,0.002,312,True,1,1,96,Thu May 31 2018 15:05:50 GMT-0700 (Pacific Daylight Time),True,IR0.9
0.0,0.002,312,True,3,1,97,Thu May 31 2018 21:41:58 GMT+0300 (E. Africa Standard Time),True,IR0.9
1.32,0.002,312,True,1,1,98,Thu May 31 2018 13:33:56 GMT-0500 (CDT),True,IR0.9
1.39,0.002,312,True,1,1,99,Thu May 31 2018 13:30:11 GMT-0400 (Eastern Daylight Time),True,IR0.9
1.22,0.002,312,True,1,1,100,Thu May 31 2018 21:35:22 GMT+0200 (W. Europe Daylight Time),True,IR0.9
1.13,0.002,312,True,0,1,101,Thu May 31 2018 13:15:29 GMT-0400 (Eastern Daylight Time),True,IR0.9
1.18,0.002,312,True,0,1,102,Thu May 31 2018 12:46:05 GMT-0700 (Pacific Daylight Time),True,IR0.9
0.06,0.002,312,True,2,1,103,Wed May 30 2018 14:22:50 GMT-0400 (Eastern Daylight Time),True,IR0.9
1.27,0.002,312,True,2,1,104,Thu May 31 2018 16:45:37 GMT-0500 (CDT),True,IR0.9
1.47,0.002,312,True,0,1,105,Thu May 31 2018 13:15:00 GMT-0400 (Eastern Daylight Time),True,IR0.9
0.0,0.002,312,True,3,1,106,Thu May 31 2018 14:56:22 GMT-0400 (EDT),True,IR0.9
0.16,0.002,312,True,3,1,107,Wed May 30 2018 11:36:59 GMT-0700 (Pacific Daylight Time),True,IR0.9
0.3,0.002,312,True,0,1,108,Thu May 31 2018 12:15:14 GMT-0500 (Central Daylight Time),True,IR0.9
1.19,0.002,312,True,0,1,109,Thu May 31 2018 12:33:06 GMT-0500 (Central Daylight Time),True,IR0.9
1.13,0.002,312,True,1,1,110,Wed May 30 2018 11:38:54 GMT-0400 (Eastern Daylight Time),True,IR0.9
0.51,0.002,312,True,1,1,111,Thu May 31 2018 14:59:01 GMT-0400 (EDT),True,IR0.9
0.97,0.002,312,True,1,1,112,Thu May 31 2018 12:17:52 GMT-0700 (Pacific Daylight Time),True,IR0.9
1.31,0.002,312,True,1,1,113,Thu May 31 2018 14:39:48 GMT-0400 (Eastern Daylight Time),True,IR0.9
1.22,0.002,312,True,0,1,114,"Thu May 31 2018 13:35:04 GMT-0600 (Hora est&#225;ndar, Am&#233;rica Central)",True,IR0.9
1.19,0.002,312,True,0,1,115,Thu May 31 2018 14:06:16 GMT-0400 (Eastern Daylight Time),True,IR0.9
1.21,0.002,312,True,2,1,116,Thu May 31 2018 14:07:45 GMT-0500 (Central Daylight Time),True,IR0.9
1.2,0.002,312,True,2,1,117,Thu May 31 2018 12:39:10 GMT-0600 (Mountain Daylight Time),True,IR0.9
0.57,0.002,312,True,1,1,118,Thu May 31 2018 14:30:58 GMT-0500 (Central Daylight Time),True,IR0.9
1.43,0.002,312,True,0,1,119,Thu May 31 2018 13:19:46 GMT-0700 (Pacific Daylight Time),True,IR0.9
1.26,0.002,312,True,0,1,120,Thu May 31 2018 13:02:34 GMT-0500 (CDT),True,IR0.9
1.34,0.002,312,True,1,1,121,Thu May 31 2018 12:16:51 GMT-0500 (CDT),True,IR0.9
0.45,0.002,312,True,3,1,122,Thu May 31 2018 17:32:53 GMT-0400 (Eastern Daylight Time),True,IR0.9
1.34,0.002,312,True,2,1,123,Thu May 31 2018 11:56:47 GMT-0700 (Pacific Daylight Time),True,IR0.9
1.36,0.002,312,True,1,1,124,Thu May 31 2018 15:24:09 GMT-0400 (Eastern Standard Time),True,IR0.9
1.06,0.002,312,True,2,1,125,Thu May 31 2018 12:32:50 GMT-0500 (Central Daylight Time),True,IR0.9
1.32,0.002,312,True,1,1,126,Wed May 30 2018 09:55:15 GMT-0500 (Central Daylight Time),True,IR0.9
1.23,0.002,312,True,0,1,127,Thu May 31 2018 14:26:20 GMT-0700 (Pacific Daylight Time),True,IR0.9
1.19,0.002,312,True,3,1,128,Thu May 31 2018 13:26:27 GMT-0400 (Eastern Daylight Time),True,IR0.9
1.27,0.002,312,True,1,1,129,Thu May 31 2018 10:15:03 GMT-0700 (Pacific Daylight Time),True,IR0.9
