,0,1,2,3,4,5,6,7,8
0,"If I had all end points clicked already, there wasn't much of a point to clicking the ones close to the middle unless I uncovered 2 with 48 points.",I figured the amounts would shuffle with each round so I tried to click different nodes first in each round.,The end points (corners),When I found 1 or both with a value of 48,Just hoped for the best.,No.,I learned that it's not as easy as it sounds.,I did have to restart the survey 1 time because one of the pages  would not load. It sailed right through this time. Thank you.,45
1,no negative 48 nodes,I tried to figure out which node ended in the highest value,the ends of each node line,when I found the positive 48,,no,Sometimes there wasn't a postive 48 node at all,,33
2,I used the click to select the nodes at the corners and if it was green I went to the,I used the click to select the nodes at the corners and if it was green I went to the,in the corners,when I saw at least the value of 24,No nothing special,no,to make decisions without so much information,"I think that there is no way to get 5 usd bonus, then they should not put that value, it seems a little cheating",26
3,"If the dollar amount of the last node was negative, I did not go that route.",I decided where to click based on the dollar amount of the last node.,I was more likely to click on the node that would lead to me going a shorter route.,I stopped clicking when I get a favorable amount.,,It was not confusing but it was hard to understand. I did not realize that I could reveal the amount under all the nodes.,I didn't learn anything from this experiment.,Fun experiment.,29
4,I looked for the nodes with negative dollar amounts at the end of the web.,I clicked the nodes at the end to determine where to click. ,One of the nodes at the end,When I found the green $48 node at the end of the web.,I continued clicking the nodes at the end of the web until I found one worth $48,I was originally under the impression that I could only click one node per round. ,Training block. ,This was a fun task. I look forward to doing more,33
5,the ones near the center did not matter,The last node you could end on,An outer most node,When I found a big dollar amount,no,no,I clicked enough to be sure,NA,55
6,First or second level node.,Third level node. ,Third-level node.,After revealing a third-level node.,"No other strategy, it seemed random. ",No.,That the game is mostly random.,Waiting several seconds between clicks and movements disrupted flow. ,35
7,tried to stay away from the red,just random ,right ,random more less,,no,noting,,34
8,I decide NOT to choose the path when the node is negative LOLz,"I click the edge of the last nodes and decide choose the path if it is the highest ( +48) right away, if it is (+24) I wait and see if there is higher nodes",I was most likely to click the last nodes to see rather it is positive and if it is the highest nodes. ,"I decide to stop clicking when the edge of the nodes are all clicked because sometimes they follow a pattern, the opposite side is it's positive, but sometimes the opposite is not the same. ","1) I click on the last nodes
2) I choose the highest positive numerical value
3) If it is tie, I click on the first and second nodes to see if the numbers added together are higher than if choosing the other path. 
4) I think pick the side that gives me the highest positive net worth ","Nothing was confusing except during practice, I didn't click $1 at first, but during the trial I did realize to use the niffy clue. ",I learn best to confirm last nodes as other chances to get higher numerical value. ,Pretty fun. ,20
9,I always inspected the end of the path.,By spending to reveal the nodes.,At the end of one of the nodes.,When I found the highest value.,It was better to spend to reveal than not to.,No.,Interesting way of gambling.,Fun game.,31
10,I did not click on the first and second nodes because the money they added or subtracted was small. ,I clicked on the last nodes because the last nodes gave the most money.,I tend to click on the on the last node on the left side of the web and from there went clockwise.,"I stopped clicking after I found a green 48, if it did not appear I would choose  the  next highest, green 24. ",I don't have any else to describe about my strategy. ,I thought it was easy to understand. ,I don't think I learn anything. ,,31
11,If i already had a node discovered that was on the outside I would generally stop clicking,I clicked on the outside nodes to determine the best path,The outer nodes,When I knew I would only lose money if I continued clicking,,no,That I enjoy HITs that are games,,26
12,"I did not want to spend money clicking on the nodes between the beginning node and the ending node, because the gains/losses of those nodes were insignificant compared to the ending nodes.","I specifically focused on the end nodes, as they granted the highest gains/losses. I wanted to make sure that I ended the round with the highest possible gain.","I was most likely to start clicking at the end node in the bottom-left corner, and move in a clockwise fashion around the web.","I stopped clicking as soon as I revealed the number ""48"" on the end node, as it is the highest possible gain.",I basically began each round with the end in mind. The gains/losses between the beginning and end node were insignificant compared to the larger values of the end node. Any losses obtained along the way would've been offset by the large gain provided by the ending node.,"The instructions were fairly easy to follow. Having the trial runs definitely helped bolster my understanding of the game mechanics, because it certainly took a few tries for the details to sink in. It was kind of like learning how to ride a bike - there's some trouble at first, but practice makes perfect.","By playing this game, I learned that you have to sometimes spend money in order to make money. Aimlessly navigating the web without spending the money to reveal the nodes was a certain way to lose money. In a manner of speaking, it is like a return on an investment.",This was a really fun and interesting game. Thank you for the opportunity to participate!,29
13,If I had a 48 revealed there was no point in clicking the other branching path.,I wanted to find the 48s first and then I would see what path had the most points.,At the end of the paths.,When I knew I had the best path for a 48.,If I found a 48 the other path didn't matter. The only button that mattered would be the previous buttons before any 48s that I revealed in order to get the most points.,I was confused about the correct strategy at first.,I learned to eliminate other possibilities bases on the information I already had.,This was fun!,25
14,i tried not to click on the closets ones to myself,i learned to click on all the end nodes,randomly on one of the end nodes,when i found the 48,there was nothing else.,no.,to strategize based on where i knew i might find the largest number.,none,30
15,"once the furthest nodes have negative amounts, i don't click on the intermediate ones that will lead to that route",based on the nodes that have the highest values (outermost),the outermost nodes,"once I see the max 48 on a node, I decide on that route and don't bother testing other routes even if it could mean another route with a slightly better payout","once I see the max 48 on an node I don't bother to test other routes for a slightly bigger payout, and just go with that max 48 route as testing other routes could lead to lower payout too. not worth the slightly higher payout.",no,"I am willing to lose a little money for a bigger payout, but I am not willing to lose a little money when I already know I have a decently large payout, even if it means a slightly higher payout.",,33
16,There was no reason not to click on anything other than the last nodes.,"I only clicked on the last nodes, because they were the true deciders of a profitable round or not.",randomly on the last nodes.,"When i found a +48, or until i knew there wasnt a +48 to be had.","Using a dollar to make 4 isnt worth it, but using one to make 24-48 is.",No,Efficiency.,"Didn't the study say it was possible to make $5 bonus?
That seems... unlikely.",24
