key_press,rt,time_elapsed,trial_type,pid
32.0,1941,1979,text,0
32.0,3690,6696,text,0
32.0,10952,121338,text,0
32.0,4207,597002,text,0
32.0,40273,638315,text,0
78.0,12643,12662,text,1
32.0,17124,30807,text,1
32.0,11213,179250,text,1
32.0,3148,384270,text,1
32.0,12561,397870,text,1
32.0,93542,93562,text,2
32.0,21562,116141,text,2
32.0,8287,204900,text,2
32.0,2913,678458,text,2
32.0,17541,697006,text,2
32.0,17456,17464,text,3
32.0,16322,34795,text,3
32.0,7932,103060,text,3
32.0,1943,337153,text,3
32.0,8813,346978,text,3
32.0,1845,1857,text,4
32.0,913,3775,text,4
32.0,895,57007,text,4
32.0,1872,284799,text,4
32.0,13560,299367,text,4
32.0,15794,15802,text,5
32.0,16620,33425,text,5
32.0,6995,115384,text,5
32.0,1740,320776,text,5
32.0,6511,328298,text,5
32.0,57970,57976,text,6
39.0,1857,60839,text,6
32.0,9230,126969,text,6
32.0,2151,293924,text,6
32.0,11442,306369,text,6
32.0,28940,28957,text,7
32.0,44845,74813,text,7
32.0,7925,148796,text,7
32.0,2179,324283,text,7
32.0,19467,344760,text,7
32.0,30863,30872,text,8
39.0,2151,34031,text,8
32.0,9395,105565,text,8
32.0,1531,454826,text,8
32.0,12166,467995,text,8
32.0,3111,3122,text,9
32.0,4556,8690,text,9
32.0,3085,88336,text,9
32.0,2069,284269,text,9
32.0,7097,292373,text,9
32.0,60866,60880,text,10
32.0,46507,108398,text,10
32.0,12714,253503,text,10
32.0,1825,397180,text,10
32.0,15744,413934,text,10
32.0,11145,11154,text,11
32.0,19619,31777,text,11
32.0,4181,99730,text,11
32.0,1389,277882,text,11
32.0,16922,295813,text,11
32.0,17439,17455,text,12
32.0,18236,36692,text,12
32.0,7710,118238,text,12
32.0,2867,362174,text,12
32.0,11894,375073,text,12
32.0,15722,15727,text,13
32.0,16687,33418,text,13
32.0,4795,111204,text,13
32.0,1962,286385,text,13
32.0,8157,295545,text,13
32.0,21319,21337,text,14
32.0,22792,45136,text,14
32.0,5335,170448,text,14
32.0,2631,427900,text,14
32.0,11805,440715,text,14
32.0,14437,14449,text,15
32.0,14844,30296,text,15
32.0,11503,139950,text,15
32.0,2014,496374,text,15
32.0,10837,508221,text,15
32.0,9581,9588,text,16
32.0,15823,26415,text,16
32.0,4546,112801,text,16
32.0,1753,351843,text,16
32.0,11469,364316,text,16
32.0,17708,17715,text,17
32.0,41552,60272,text,17
32.0,11920,156358,text,17
