key_press,rt,time_elapsed,trial_type,pid
32.0,1111,97408,text,0
32.0,1007,169632,text,0
32.0,859,214508,text,0
32.0,978,371644,text,0
32.0,1081,435032,text,0
32.0,1454,132841,text,1
32.0,1319,328638,text,1
32.0,1598,394104,text,1
32.0,1641,506409,text,1
32.0,1467,678383,text,1
32.0,1106,54570,text,2
32.0,843,103777,text,2
32.0,774,137422,text,2
32.0,891,195517,text,2
32.0,1059,242043,text,2
32.0,1157,73635,text,3
32.0,778,122595,text,3
32.0,1284,163821,text,3
32.0,1206,249619,text,3
32.0,1470,327942,text,3
32.0,973,55658,text,4
32.0,852,119363,text,4
32.0,636,163549,text,4
32.0,1042,232175,text,4
32.0,992,295330,text,4
32.0,2237,88978,text,5
32.0,1062,160130,text,5
32.0,1199,204364,text,5
32.0,1382,306713,text,5
32.0,1196,374232,text,5
32.0,869,42613,text,6
32.0,571,66324,text,6
37.0,165,91836,text,6
39.0,68,112795,text,6
37.0,214,132443,text,6
32.0,1147,82013,text,7
32.0,1035,147163,text,7
32.0,1149,197502,text,7
32.0,918,270275,text,7
32.0,862,339315,text,7
32.0,852,59092,text,8
32.0,1005,116209,text,8
32.0,699,153813,text,8
32.0,722,207225,text,8
32.0,658,257294,text,8
32.0,1135,83487,text,9
32.0,1647,163863,text,9
32.0,766,220254,text,9
32.0,806,300615,text,9
32.0,776,367224,text,9
32.0,981,72416,text,10
32.0,811,129821,text,10
32.0,794,164637,text,10
32.0,1073,246510,text,10
32.0,896,306126,text,10
32.0,1187,44960,text,11
32.0,1013,93485,text,11
32.0,895,120909,text,11
32.0,632,185228,text,11
32.0,777,229556,text,11
32.0,775,65994,text,12
32.0,1233,111605,text,12
32.0,616,141483,text,12
32.0,776,165467,text,12
32.0,729,259451,text,12
32.0,3497,66450,text,13
32.0,2728,103858,text,13
32.0,990,142732,text,13
32.0,1159,215695,text,13
32.0,1042,271226,text,13
32.0,1348,53155,text,14
32.0,2268,89502,text,14
32.0,2477,120301,text,14
32.0,965,144801,text,14
32.0,695,168793,text,14
32.0,1004,91668,text,15
32.0,836,159974,text,15
32.0,834,211615,text,15
32.0,788,274070,text,15
32.0,1262,328743,text,15
32.0,788,78195,text,16
32.0,801,142922,text,16
32.0,677,182972,text,16
32.0,974,282804,text,16
32.0,759,336848,text,16
32.0,1562,63266,text,17
32.0,1556,117404,text,17
32.0,993,146837,text,17
32.0,884,218886,text,17
32.0,721,265338,text,17
32.0,1199,102595,text,18
32.0,1288,160037,text,18
32.0,1008,195554,text,18
32.0,1230,238490,text,18
32.0,1335,276602,text,18
32.0,1381,108717,text,19
32.0,809,194982,text,19
32.0,401,234534,text,19
32.0,2182,318181,text,19
32.0,570,379577,text,19
32.0,972,73768,text,20
32.0,1021,118151,text,20
32.0,785,148792,text,20
32.0,915,229018,text,20
32.0,1014,286008,text,20
32.0,1133,104293,text,21
32.0,1672,170225,text,21
32.0,1217,223489,text,21
32.0,1276,355618,text,21
32.0,817,434138,text,21
32.0,1283,86387,text,22
32.0,989,156720,text,22
32.0,1030,191072,text,22
