pid,assignment_id,worker_id
0,3IAEQB9FMEKX1SVQGPZ7VJV7PWWWD0,A014297063OPPUEBTOLM
1,3CFVK00FWLLI5P4C2OKRG24ZA33L62,A106ENULARV9YI
2,3KIBXJ1WD5UXAPSYHKUKI2DB62POKM,A10HOQZSWUIYHC
3,3J2UYBXQQLC58TFQDVY8IICB75Y06E,A11ECAX3S2P9FA
4,3RUIQRXJBBO0OA7JPSQT5LMW0XRLL7,A123B1BJFECI7X
5,3PS7W85Z8Z2T6LEF94PUM35IUH69TD,A12VSA5C02M3FT
6,36H9ULYP62U8TS9N0WBIUT4KZD8FJ4,A133N4QDFCRKM
7,34J10VATJFY9P6FQWU1CURTYTZJQIM,A13VTVP3F6DJZJ
8,34S6N1K2ZVJY2EOTY7BVDTTPJGHLHZ,A15Y9VMQ1AZ90V
9,3LYA37P8IQNDRV3PDFPYCIDCZ36KBE,A17ELSQUMU0QT6
10,32VNZTT0A74FT0VBOKO85GTKK3JR48,A188SHJZPHE8BA
11,37Q970SNZE8A2GY5GR5BXSRDUM0S1U,A18PFPO5K63ZL2
12,3YHH42UU5BFNREIX0Z4A71U8X0LL05,A18V3RFUE8SU7R
13,3BDCF01OGXUKO9EI87FJZTOS9CTYLA,A18WF86GTKUN3V
14,3WOKGM4L71GVXZLUDRK2ZIY2S510OC,A19YVPULKT3XJ5
15,3JWH6J9I9SDEZ1OSASHE4AUGTYCNBN,A1A7B93TND6OIG
16,3VA45EW49NNV4O6C9AO2DNHCXWQ1OX,A1AYYDLZ60894L
17,3TK8OJTYM1LTB0YBVOL69BTIW68VPE,A1AZ97YYFVWFGC
18,3RGU30DZTA8EZ214MJFVPJOTWDAMJ6,A1B76WYZ47BQJ
19,32XVDSJFPZXET63WFY93Q22CU3W2M9,A1BA1HVF140OC7
20,3OSWBBLG1EXCQS0GQUVTX29EYY4DXC,A1BIN5R8FF4FQR
21,3EJJQNKU9R595CJ63R8RZ52OP9CRH3,A1C2EP2A9P8QE4
22,3GGAI1SQEVYRROVYCRY92FBY6T1MCS,A1C7XI68SED8JE
23,3JWH6J9I9SDEZ1OSASHE4AUGTYCBNB,A1DDNPNUO1TNRC
24,3EWIJTFFVO79L885JDH6U64OO1IE05,A1DPSC5CV2W7GU
25,3IAS3U3I0FGIAFZZO9JUCMRII4R2BJ,A1DZMZTXWOM9MR
26,3M23Y66PO27592Z2MXHSSOIU2VSS60,A1EP1BT7SH6S1C
27,3IGI0VL647KYIVD1EXM0AUUF0Y3ON2,A1G6F1HWIS2K2K
28,3DQQ64TANGL6QPYGLYQ2VDCW3EWPW2,A1GYW4MZ6NIN1O
29,3NVC2EB65QZ385OT21BJ37UB9Q33Y2,A1H767UXHIT5IC
30,352YTHGROVD246H8SFCERCREXULH41,A1HCD5NKP8G2KK
31,3K3R2QNK8B386YT499F4RZRKDU1U9B,A1HIQZEC2ER7GS
32,38F5OAUN5NCZNTZRUDALUOBOOWBH7L,A1HMO9XPRPUPWJ
33,32KTQ2V7RDFPTQOV07OI0PAQ097M9M,A1HNNX44U3OF0X
34,3X31TUMD7XMNY33FWI8AL6DI2RL1LG,A1HXEXQTZCJ1DW
35,3JRJSWSMQHL5207220ZPW42VRF2E34,A1IUY8XKI9HJLS
36,3YDTZAI2WXGR0VWUQQ9TZPB7G6Y14X,A1J5BF2YM2BIX5
37,3QFUFYSY9YFIQAQ2XPOEORF1HGHF4C,A1JI69KTHNS7PJ
38,37UEWGM5HT8Y11YS12567IMH8KSR1G,A1KTPYX40PRLVW
39,3WJ1OXY92AGODKWWYCSZR2KFMMV8AU,A1KUXDQ9VECR4V
40,34PGFRQONOBA4EVIQLLIYHQKUFOJWU,A1KYPXUBSBWJBY
41,39JEC7537U1AHBP7QJZ0PBUBXMECV0,A1MB4S8HFLPII1
42,3YT88D1N08Y8O0ZCYMASUZF0BBU3K7,A1PTNLOGVFST94
43,3K772S5NP8BKW8E1HLOR0Y35AJFHE7,A1PXXMC3GQT2II
44,3MMN5BL1WZ43EOZFJYN89C740GOM3U,A1R4QL8Q72FY1Z
45,37WLF8U1WPQ7LJMUHO8Q12RKL2VK6T,A1SO9QOKYVLZZM
