action_times,actions,correct,delays,path,queries,questions,responses,rt,score,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
,,,,,,,,181390,,181392,,,instructions,"[{""page_index"":0,""viewing_time"":24986},{""page_index"":1,""viewing_time"":32385},{""page_index"":2,""viewing_time"":86295},{""page_index"":3,""viewing_time"":37723}]",0
,,,,,,,,50686,,50688,,,instructions,"[{""page_index"":0,""viewing_time"":40445},{""page_index"":1,""viewing_time"":4260},{""page_index"":2,""viewing_time"":4589},{""page_index"":3,""viewing_time"":1390}]",1
,,,,,,,,14545,,80198,,,instructions,"[{""page_index"":0,""viewing_time"":2247},{""page_index"":1,""viewing_time"":738},{""page_index"":2,""viewing_time"":4733},{""page_index"":3,""viewing_time"":6825}]",1
,,,,,,,,13561,,119016,,,instructions,"[{""page_index"":0,""viewing_time"":4975},{""page_index"":1,""viewing_time"":5921},{""page_index"":2,""viewing_time"":1651},{""page_index"":3,""viewing_time"":1013}]",1
,,,,,,,,21220,,21223,,,instructions,"[{""page_index"":0,""viewing_time"":6270},{""page_index"":1,""viewing_time"":5159},{""page_index"":2,""viewing_time"":2690},{""page_index"":3,""viewing_time"":7097}]",2
,,,,,,,,118735,,118736,,,instructions,"[{""page_index"":0,""viewing_time"":47891},{""page_index"":1,""viewing_time"":18338},{""page_index"":2,""viewing_time"":30933},{""page_index"":3,""viewing_time"":21573}]",3
,,,,,,,,32883,,246387,,,instructions,"[{""page_index"":0,""viewing_time"":6225},{""page_index"":1,""viewing_time"":7378},{""page_index"":2,""viewing_time"":10168},{""page_index"":1,""viewing_time"":1087},{""page_index"":0,""viewing_time"":1331},{""page_index"":1,""viewing_time"":895},{""page_index"":2,""viewing_time"":909},{""page_index"":3,""viewing_time"":4888}]",3
,,,,,,,,78432,,78433,,,instructions,"[{""page_index"":0,""viewing_time"":31192},{""page_index"":1,""viewing_time"":21021},{""page_index"":2,""viewing_time"":15535},{""page_index"":3,""viewing_time"":10683}]",4
,,,,,,,,24623,,131468,,,instructions,"[{""page_index"":0,""viewing_time"":6213},{""page_index"":1,""viewing_time"":2786},{""page_index"":2,""viewing_time"":10275},{""page_index"":3,""viewing_time"":5348}]",4
,,,,,,,,43006,,195943,,,instructions,"[{""page_index"":0,""viewing_time"":17948},{""page_index"":1,""viewing_time"":6073},{""page_index"":2,""viewing_time"":14084},{""page_index"":3,""viewing_time"":4901}]",4
,,,,,,,,18118,,236801,,,instructions,"[{""page_index"":0,""viewing_time"":3180},{""page_index"":1,""viewing_time"":1282},{""page_index"":0,""viewing_time"":495},{""page_index"":1,""viewing_time"":1171},{""page_index"":0,""viewing_time"":2673},{""page_index"":1,""viewing_time"":1595},{""page_index"":0,""viewing_time"":3149},{""page_index"":1,""viewing_time"":1307},{""page_index"":2,""viewing_time"":1495},{""page_index"":3,""viewing_time"":1771}]",4
,,,,,,,,155501,,155501,,,instructions,"[{""page_index"":0,""viewing_time"":78161},{""page_index"":1,""viewing_time"":32971},{""page_index"":2,""viewing_time"":31496},{""page_index"":3,""viewing_time"":12872}]",5
,,,,,,,,90961,,297458,,,instructions,"[{""page_index"":0,""viewing_time"":13344},{""page_index"":1,""viewing_time"":35876},{""page_index"":2,""viewing_time"":14720},{""page_index"":3,""viewing_time"":27021}]",5
,,,,,,,,192969,,192970,,,instructions,"[{""page_index"":0,""viewing_time"":73483},{""page_index"":1,""viewing_time"":48820},{""page_index"":2,""viewing_time"":43958},{""page_index"":3,""viewing_time"":26708}]",6
