action_times,actions,correct,delays,path,queries,questions,responses,rt,score,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
"[11887, 25236, 48932]","[u'right', u'right', u'down']",,"[1, 3, 0]","[1, 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'6', u'10', u'11'], u'time': [6038, 20438, 31366, 32889]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[11886, 11075, 19882]",-0.4,280083,1.0,5.0,mouselab-mdp,,0
"[32378, 37522, 40140]","[u'down', u'down', u'right']",,"[2, 0, 0]","[1, 5, 9, 17]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'11', u'3', u'13', u'4', u'15', u'5', u'17', u'9'], u'time': [12366, 14308, 17426, 18634, 21652, 22828, 25639, 26922, 31191]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[32378, 1241, 1952]",19.6,336411,2.0,7.0,mouselab-mdp,,0
"[29324, 33651, 36526]","[u'left', u'left', u'down']",,"[2, 0, 0]","[1, 4, 8, 15]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'13', u'11', u'17', u'15', u'4', u'8'], u'time': [4043, 6518, 9133, 11015, 13873, 25410]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[29323, 650, 2218]",4.4,390717,3.0,1.0,mouselab-mdp,,0
"[37357, 40132, 41956]","[u'right', u'right', u'up']",,"[0, 0, 0]","[1, 2, 6, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'11', u'17', u'15', u'13', u'5', u'2', u'4', u'10'], u'time': [2941, 5221, 7559, 10316, 14467, 16281, 18646, 36155]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[37356, 891, 1191]",9.2,440150,4.0,10.0,mouselab-mdp,,0
"[14388, 21204, 23100]","[u'right', u'right', u'up']",,"[4, 0, 0]","[1, 2, 6, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'10', u'2', u'6'], u'time': [3317, 6140, 8094]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[14388, 1331, 1220]",29.2,491767,5.0,2.0,mouselab-mdp,,0
"[25832, 30633, 32361]","[u'up', u'up', u'right']",,"[1, 0, 3]","[1, 3, 7, 13]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'10', u'14', u'4', u'8', u'17', u'13', u'3'], u'time': [1739, 4152, 6864, 12320, 15864, 18451, 24659]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[25831, 1968, 1072]",-2.2,543841,6.0,6.0,mouselab-mdp,,0
"[15584, 17436, 18940]","[u'left', u'left', u'down']",,"[0, 0, 0]","[1, 4, 8, 15]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'11', u'17', u'15', u'4', u'8'], u'time': [3643, 7261, 9616, 12447, 14344]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[15584, 167, 846]",32.0,592249,7.0,0.0,mouselab-mdp,,0
"[17103, 19624, 21128]","[u'up', u'up', u'left']",,"[0, 0, 0]","[1, 3, 7, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'10', u'2', u'17', u'15', u'12', u'3'], u'time': [3719, 5712, 8278, 10672, 12909, 15206]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[17102, 723, 814]",27.4,640931,8.0,9.0,mouselab-mdp,,0
"[17388, 19740, 21597]","[u'down', u'down', u'right']",,"[0, 0, 0]","[1, 5, 9, 17]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'10', u'17', u'15', u'5'], u'time': [4856, 11355, 14098, 15893]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[17387, 817, 1196]",11.6,692757,9.0,11.0,mouselab-mdp,,0
"[15789, 20861, 22381]","[u'right', u'right', u'up']",,"[3, 0, 0]","[1, 2, 6, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'10', u'17', u'2', u'15', u'4'], u'time': [1770, 3470, 5879, 8421, 10410]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[15788, 390, 841]",26.0,753165,10.0,3.0,mouselab-mdp,,0
