PR_type,bonus,completed,info_cost,message,pid,start_time,version
2,0.0,False,1.6,full,0,Mon May 29 2017 21:01:56 GMT-0700 (PDT),0.1
2,0.0,False,1.6,full,1,Mon May 29 2017 20:21:14 GMT-0700 (Pacific Daylight Time),0.1
2,6.0,True,2.8,full,2,Mon May 29 2017 23:08:17 GMT-0400 (EDT),0.1
2,0.0,False,1.6,full,3,Mon May 29 2017 22:59:42 GMT-0400 (Eastern Standard Time),0.1
2,0.0,False,0.01,full,4,Mon May 29 2017 21:42:20 GMT-0500 (CDT),0.1
2,0.0,False,2.8,full,5,Mon May 29 2017 23:17:25 GMT-0400 (Eastern Daylight Time),0.1
2,0.0,False,2.8,full,6,Tue May 30 2017 09:14:48 GMT+0530 (India Standard Time),0.1
2,0.0,False,2.8,full,7,Mon May 29 2017 23:24:28 GMT-0500 (Central Daylight Time),0.1
2,0.0,False,0.01,full,8,Mon May 29 2017 20:15:08 GMT-0600 (Mountain Daylight Time),0.1
2,0.0,False,0.01,full,9,Mon May 29 2017 23:18:48 GMT-0400 (Eastern Daylight Time),0.1
2,0.0,False,0.01,full,10,Mon May 29 2017 23:47:22 GMT-0400 (Eastern Daylight Time),0.1
2,0.0,False,0.01,full,11,Mon May 29 2017 19:25:08 GMT-0700 (Pacific Daylight Time),0.1
2,0.0,False,2.8,full,12,Mon May 29 2017 22:33:39 GMT-0400 (Eastern Daylight Time),0.1
2,0.0,False,1.6,full,13,Mon May 29 2017 22:26:52 GMT-0400 (EDT),0.1
2,0.0,False,1.6,full,14,Mon May 29 2017 23:27:34 GMT-0400 (EDT),0.1
2,0.0,False,1.6,full,15,Mon May 29 2017 22:17:01 GMT-0400 (Eastern Daylight Time),0.1
