action_times,actions,button_pressed,correct,delays,path,queries,questions,responses,rt,score,stimulus,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
,,,,,,,,,198371,,,198372,,,instructions,"[{""page_index"":0,""viewing_time"":50794},{""page_index"":1,""viewing_time"":70765},{""page_index"":2,""viewing_time"":53955},{""page_index"":3,""viewing_time"":22857}]",0
,,,,,,,,,17351,,,17355,,,instructions,"[{""page_index"":0,""viewing_time"":7230},{""page_index"":1,""viewing_time"":4413},{""page_index"":2,""viewing_time"":5706}]",1
,,,,,,,,,45056,,,88959,,,instructions,"[{""page_index"":0,""viewing_time"":6696},{""page_index"":1,""viewing_time"":18048},{""page_index"":2,""viewing_time"":20310}]",1
,,,,,,,,,10640,,,10641,,,instructions,"[{""page_index"":0,""viewing_time"":4714},{""page_index"":1,""viewing_time"":1621},{""page_index"":2,""viewing_time"":2315},{""page_index"":3,""viewing_time"":1989}]",2
,,,,,,,,,34698,,,95991,,,instructions,"[{""page_index"":0,""viewing_time"":8676},{""page_index"":1,""viewing_time"":5879},{""page_index"":2,""viewing_time"":12671},{""page_index"":3,""viewing_time"":7472}]",2
,,,,,,,,,165853,,,165854,,,instructions,"[{""page_index"":0,""viewing_time"":78441},{""page_index"":1,""viewing_time"":34024},{""page_index"":2,""viewing_time"":40586},{""page_index"":3,""viewing_time"":12801}]",3
,,,,,,,,,63150,,,63150,,,instructions,"[{""page_index"":0,""viewing_time"":16457},{""page_index"":1,""viewing_time"":12374},{""page_index"":2,""viewing_time"":22494},{""page_index"":3,""viewing_time"":11824}]",4
,,,,,,,,,15224,,,98333,,,instructions,"[{""page_index"":0,""viewing_time"":8782},{""page_index"":1,""viewing_time"":4186},{""page_index"":2,""viewing_time"":1430},{""page_index"":3,""viewing_time"":826}]",4
,,,,,,,,,26651,,,136187,,,instructions,"[{""page_index"":0,""viewing_time"":7419},{""page_index"":1,""viewing_time"":7446},{""page_index"":2,""viewing_time"":5638},{""page_index"":3,""viewing_time"":6148}]",4
,,,,,,,,,76189,,,76190,,,instructions,"[{""page_index"":0,""viewing_time"":16873},{""page_index"":1,""viewing_time"":17542},{""page_index"":2,""viewing_time"":22802},{""page_index"":3,""viewing_time"":18971}]",5
,,,,,,,,,125090,,,125092,,,instructions,"[{""page_index"":0,""viewing_time"":35572},{""page_index"":1,""viewing_time"":23399},{""page_index"":2,""viewing_time"":36995},{""page_index"":3,""viewing_time"":29119}]",6
,,,,,,,,,285507,,,285508,,,instructions,"[{""page_index"":0,""viewing_time"":165977},{""page_index"":1,""viewing_time"":4684},{""page_index"":0,""viewing_time"":1718},{""page_index"":1,""viewing_time"":1477},{""page_index"":2,""viewing_time"":86729},{""page_index"":3,""viewing_time"":24922}]",7
,,,,,,,,,64214,,,505042,,,instructions,"[{""page_index"":0,""viewing_time"":16288},{""page_index"":1,""viewing_time"":28059},{""page_index"":2,""viewing_time"":13912},{""page_index"":3,""viewing_time"":5955}]",7
,,,,,,,,,45343,,,45343,,,instructions,"[{""page_index"":0,""viewing_time"":21813},{""page_index"":1,""viewing_time"":9224},{""page_index"":2,""viewing_time"":9912},{""page_index"":3,""viewing_time"":4393}]",8
,,,,,,,,,251517,,,251518,,,instructions,"[{""page_index"":0,""viewing_time"":134030},{""page_index"":1,""viewing_time"":33558},{""page_index"":2,""viewing_time"":60096},{""page_index"":3,""viewing_time"":23831}]",9
,,,,,,,,,107834,,,107835,,,instructions,"[{""page_index"":0,""viewing_time"":25545},{""page_index"":1,""viewing_time"":26103},{""page_index"":2,""viewing_time"":42914},{""page_index"":3,""viewing_time"":13271}]",10
