PR_type,bonus,completed,condition,feedback,info_cost,message,pid,version
featureBased,0.52,True,3,True,2.8,full,0,0.4
none,1.6985000000000001,True,0,False,0.01,none,1,0.4
none,1.42,True,1,False,2.8,none,2,0.4
featureBased,0.0,True,3,True,2.8,full,3,0.4
none,0.0,False,1,False,2.8,none,4,0.4
none,1.2000000000000002,True,0,False,0.01,none,5,0.4
featureBased,0.24,True,3,True,2.8,full,6,0.4
none,0.0,False,0,False,0.01,none,7,0.4
featureBased,1.6920000000000002,True,2,True,0.01,full,8,0.4
none,1.62,True,1,False,2.8,none,9,0.4
none,1.0970000000000002,True,0,False,0.01,none,10,0.4
none,0.25,True,0,False,0.01,none,11,0.4
featureBased,1.848,True,2,True,0.01,full,12,0.4
featureBased,0.1975,True,2,True,0.01,full,13,0.4
none,0.30000000000000004,True,0,False,0.01,none,14,0.4
fullObservation,2.2925,True,4,True,0.01,full,15,0.4
none,0.1,True,1,False,2.8,none,16,0.4
none,1.55,True,1,False,2.8,none,17,0.4
featureBased,0.0,True,3,True,2.8,full,18,0.4
none,1.8920000000000003,True,0,False,0.01,none,19,0.4
none,1.249,True,0,False,0.01,none,20,0.4
fullObservation,1.6920000000000002,True,4,True,0.01,full,21,0.4
fullObservation,2.0420000000000003,True,4,True,0.01,full,22,0.4
fullObservation,0.75,True,5,True,2.8,full,23,0.4
featureBased,1.1300000000000001,True,3,True,2.8,full,24,0.4
none,1.05,True,0,False,0.01,none,25,0.4
none,1.01,True,1,False,2.8,none,26,0.4
featureBased,0.05,True,3,True,2.8,full,27,0.4
featureBased,1.9940000000000002,True,2,True,0.01,full,28,0.4
featureBased,1.34,True,3,True,2.8,full,29,0.4
none,2.0420000000000003,True,0,False,0.01,none,30,0.4
featureBased,0.0,True,3,True,2.8,full,31,0.4
featureBased,0.4,True,3,True,2.8,full,32,0.4
fullObservation,0.0,True,5,True,2.8,full,33,0.4
featureBased,0.0,False,2,True,0.01,full,34,0.4
fullObservation,0.020000000000000004,True,5,True,2.8,full,35,0.4
fullObservation,1.42,True,5,True,2.8,full,36,0.4
fullObservation,0.0,False,4,True,0.01,full,37,0.4
featureBased,0.0,False,2,True,0.01,full,38,0.4
none,0.25,True,1,False,2.8,none,39,0.4
fullObservation,1.9925000000000002,True,4,True,0.01,full,40,0.4
none,0.9,True,1,False,2.8,none,41,0.4
featureBased,0.0,True,3,True,2.8,full,42,0.4
featureBased,0.13999999999999999,True,3,True,2.8,full,43,0.4
fullObservation,2.294,True,4,True,0.01,full,44,0.4
fullObservation,0.42000000000000004,True,5,True,2.8,full,45,0.4
featureBased,1.4400000000000002,True,3,True,2.8,full,46,0.4
fullObservation,1.6920000000000002,True,4,True,0.01,full,47,0.4
none,0.0,False,0,False,0.01,none,48,0.4
none,0.63,True,1,False,2.8,none,49,0.4
none,0.8,True,1,False,2.8,none,50,0.4
featureBased,0.0,False,3,True,2.8,full,51,0.4
featureBased,0.0,False,3,True,2.8,full,52,0.4
none,1.6965000000000001,True,0,False,0.01,none,53,0.4
featureBased,0.0,True,3,True,2.8,full,54,0.4
fullObservation,0.0,False,4,True,0.01,full,55,0.4
fullObservation,2.0425,True,4,True,0.01,full,56,0.4
featureBased,0.8,True,3,True,2.8,full,57,0.4
featureBased,2.092,True,2,True,0.01,full,58,0.4
fullObservation,0.04000000000000001,True,5,True,2.8,full,59,0.4
featureBased,0.0,True,3,True,2.8,full,60,0.4
fullObservation,0.91,True,5,True,2.8,full,61,0.4
featureBased,1.8420000000000003,True,2,True,0.01,full,62,0.4
fullObservation,1.8925,True,4,True,0.01,full,63,0.4
fullObservation,1.6920000000000002,True,4,True,0.01,full,64,0.4
none,0.0,False,1,False,2.8,none,65,0.4
featureBased,2.2945,True,2,True,0.01,full,66,0.4
none,1.6920000000000002,True,0,False,0.01,none,67,0.4
none,1.5955000000000001,True,0,False,0.01,none,68,0.4
none,0.0,False,0,False,0.01,none,69,0.4
fullObservation,0.0,True,5,True,2.8,full,70,0.4
featureBased,0.26,True,3,True,2.8,full,71,0.4
featureBased,0.76,True,3,True,2.8,full,72,0.4
featureBased,0.30000000000000004,True,2,True,0.01,full,73,0.4
featureBased,0.9199999999999999,True,3,True,2.8,full,74,0.4
featureBased,1.9920000000000002,True,2,True,0.01,full,75,0.4
featureBased,0.0,False,3,True,2.8,full,76,0.4
fullObservation,0.8,True,5,True,2.8,full,77,0.4
fullObservation,0.0,True,4,True,0.01,full,78,0.4
none,0.0,True,1,False,2.8,none,79,0.4
fullObservation,1.9945000000000002,True,4,True,0.01,full,80,0.4
fullObservation,1.893,True,4,True,0.01,full,81,0.4
fullObservation,1.895,True,4,True,0.01,full,82,0.4
fullObservation,1.27,True,5,True,2.8,full,83,0.4
fullObservation,0.7400000000000001,True,5,True,2.8,full,84,0.4
none,0.7000000000000001,True,1,False,2.8,none,85,0.4
none,1.092,True,0,False,0.01,none,86,0.4
none,1.6920000000000002,True,0,False,0.01,none,87,0.4
featureBased,0.0995,True,2,True,0.01,full,88,0.4
fullObservation,1.6920000000000002,True,4,True,0.01,full,89,0.4
featureBased,1.6300000000000001,True,3,True,2.8,full,90,0.4
none,2.295,True,0,False,0.01,none,91,0.4
fullObservation,1.8920000000000003,True,4,True,0.01,full,92,0.4
none,1.4300000000000002,True,1,False,2.8,none,93,0.4
featureBased,0.0,False,2,True,0.01,full,94,0.4
featureBased,1.9960000000000002,True,2,True,0.01,full,95,0.4
fullObservation,0.4,True,5,True,2.8,full,96,0.4
none,2.0455,True,0,False,0.01,none,97,0.4
none,0.4,True,1,False,2.8,none,98,0.4
featureBased,0.16000000000000003,True,3,True,2.8,full,99,0.4
none,0.4965,True,0,False,0.01,none,100,0.4
none,0.30000000000000004,True,0,False,0.01,none,101,0.4
none,2.3000000000000003,True,0,False,0.01,none,102,0.4
fullObservation,0.0,True,5,True,2.8,full,103,0.4
featureBased,1.092,True,2,True,0.01,full,104,0.4
none,1.32,True,1,False,2.8,none,105,0.4
fullObservation,0.0,True,5,True,2.8,full,106,0.4
featureBased,2.0940000000000003,True,2,True,0.01,full,107,0.4
none,1.6985000000000001,True,0,False,0.01,none,108,0.4
fullObservation,2.092,True,4,True,0.01,full,109,0.4
featureBased,1.6,True,2,True,0.01,full,110,0.4
fullObservation,1.693,True,4,True,0.01,full,111,0.4
fullObservation,1.1500000000000001,True,5,True,2.8,full,112,0.4
featureBased,1.6920000000000002,True,2,True,0.01,full,113,0.4
none,1.1199999999999999,True,1,False,2.8,none,114,0.4
fullObservation,0.0,False,4,True,0.01,full,115,0.4
featureBased,1.6945000000000001,True,2,True,0.01,full,116,0.4
fullObservation,1.2800000000000002,True,5,True,2.8,full,117,0.4
fullObservation,0.0,False,5,True,2.8,full,118,0.4
fullObservation,1.895,True,4,True,0.01,full,119,0.4
none,1.6800000000000002,True,1,False,2.8,none,120,0.4
none,0.0,False,1,False,2.8,none,121,0.4
fullObservation,0.32000000000000006,True,5,True,2.8,full,122,0.4
none,0.9500000000000001,True,1,False,2.8,none,123,0.4
fullObservation,0.6000000000000001,True,5,True,2.8,full,124,0.4
fullObservation,1.9935,True,4,True,0.01,full,125,0.4
fullObservation,0.0,False,4,True,0.01,full,126,0.4
none,0.30000000000000004,True,1,False,2.8,none,127,0.4
none,0.0,False,0,False,0.01,none,128,0.4
featureBased,2.02,True,3,True,2.8,full,129,0.4
featureBased,0.91,True,3,True,2.8,full,130,0.4
none,0.6000000000000001,True,1,False,2.8,none,131,0.4
fullObservation,0.0,False,5,True,2.8,full,132,0.4
featureBased,1.7600000000000002,True,3,True,2.8,full,133,0.4
none,0.5,True,1,False,2.8,none,134,0.4
featureBased,1.092,True,2,True,0.01,full,135,0.4
fullObservation,1.0985,True,4,True,0.01,full,136,0.4
none,0.75,True,1,False,2.8,none,137,0.4
featureBased,1.04,True,3,True,2.8,full,138,0.4
none,1.6920000000000002,True,0,False,0.01,none,139,0.4
fullObservation,1.6800000000000002,True,5,True,2.8,full,140,0.4
featureBased,0.0,True,3,True,2.8,full,141,0.4
fullObservation,1.8420000000000003,True,4,True,0.01,full,142,0.4
featureBased,1.6980000000000002,True,2,True,0.01,full,143,0.4
featureBased,2.295,True,2,True,0.01,full,144,0.4
none,1.8420000000000003,True,0,False,0.01,none,145,0.4
fullObservation,0.45,True,5,True,2.8,full,146,0.4
fullObservation,2.2920000000000003,True,4,True,0.01,full,147,0.4
featureBased,0.7925,True,2,True,0.01,full,148,0.4
featureBased,0.0,False,2,True,0.01,full,149,0.4
featureBased,0.0,False,3,True,2.8,full,150,0.4
