action_times,actions,button_pressed,correct,delays,path,queries,questions,responses,rt,score,stimulus,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
"[33292, 51350, 52408]","[u'left', u'left', u'down']",,,"[5, 0, 1]","[u'1', 4, 8, 15]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'6', u'11', u'5', u'9', u'16', u'3', u'7', u'12'], u'time': [2650, 7777, 9897, 16490, 18103, 19414, 23097, 25958, 26828]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[33290, 9953, 257]",-2.0,,231748,1.0,11.0,mouselab-mdp,,0
"[4830, 13917, 32223]","[u'up', u'up', u'right']",,,"[5, 0, 1]","[u'1', 3, 7, 13]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'7', u'13', u'12'], u'time': [2630, 12133, 16265, 17877]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[4830, 2395, 17307]",17.0,,287773,2.0,0.0,mouselab-mdp,,0
"[18668, 27044, 28539]","[u'up', u'up', u'left']",,,"[5, 0, 1]","[u'1', 3, 7, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'4', u'2', u'3', u'9', u'16', u'17', u'7', u'13', u'12'], u'time': [1885, 2787, 4346, 5245, 8074, 10380, 11296, 12475, 15524, 16233]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[18668, 514, 848]",34.0,,345790,3.0,1.0,mouselab-mdp,,0
"[11983, 20366, 22805]","[u'up', u'up', u'left']",,,"[5, 0, 1]","[u'1', 3, 7, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'2', u'4', u'3', u'7', u'6', u'13', u'12', u'10', u'11'], u'time': [1510, 2169, 3135, 3796, 5134, 6219, 7237, 8171, 9367, 9971]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[11981, 590, 1801]",24.0,,401942,4.0,7.0,mouselab-mdp,,0
"[15830, 23838, 25613]","[u'left', u'left', u'down']",,,"[5, 0, 1]","[u'1', 4, 8, 15]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'4', u'3', u'2', u'7', u'8', u'14', u'15'], u'time': [5135, 5858, 6443, 6985, 8221, 9931, 11619, 12397]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[15830, 550, 1079]",2.0,,457212,5.0,3.0,mouselab-mdp,,0
"[11241, 20834, 23682]","[u'right', u'right', u'up']",,,"[5, 0, 1]","[u'1', 2, 6, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'3', u'2', u'5', u'8', u'6', u'10', u'11'], u'time': [1706, 3015, 3857, 4506, 5515, 6533, 7631, 8315]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[11240, 1959, 2126]",29.0,,512477,6.0,5.0,mouselab-mdp,,0
"[22136, 32087, 33944]","[u'left', u'left', u'down']",,,"[5, 0, 1]","[u'1', 4, 8, 15]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'4', u'3', u'2', u'9', u'16', u'8', u'14', u'15', u'7', u'12', u'13'], u'time': [3549, 5420, 7037, 8086, 9012, 9759, 11004, 11742, 12467, 15554, 16904, 18732]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[22136, 1899, 1219]",29.0,,568700,7.0,9.0,mouselab-mdp,,0
"[20412, 44909, 46660]","[u'up', u'up', u'left']",,,"[5, 0, 1]","[u'1', 3, 7, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'4', u'5', u'2', u'8', u'7', u'12', u'13', u'14', u'15'], u'time': [3255, 4386, 5345, 5939, 7119, 8473, 9313, 10260, 11196, 11856]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[20412, 16629, 1082]",30.0,,624859,8.0,10.0,mouselab-mdp,,0
"[26503, 37438, 39004]","[u'down', u'down', u'right']",,,"[5, 0, 1]","[u'1', 5, 9, 17]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'5', u'2', u'3', u'8', u'9', u'7', u'16', u'17'], u'time': [1143, 1954, 2646, 3286, 4253, 4975, 5855, 7283, 8003]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[26503, 3215, 820]",33.0,,686331,9.0,4.0,mouselab-mdp,,0
"[17665, 26705, 29776]","[u'left', u'left', u'down']",,,"[5, 0, 1]","[u'1', 4, 8, 15]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'4', u'3', u'2', u'9', u'8', u'7', u'15', u'14', u'16', u'17'], u'time': [2792, 3394, 3916, 4598, 5799, 6500, 7300, 8297, 8940, 12215, 12839]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[17665, 782, 2386]",39.0,,771701,10.0,8.0,mouselab-mdp,,0
